      3,552,673 100% - ...
      3,552,673 100%  - #<primitive-function call-interactively>
      3,552,673 100%   - funcall-interactively
      3,552,673 100%    - smex
      3,552,673 100%     - smex-read-and-run
      3,552,673 100%      - execute-extended-command
      3,552,673 100%       - command-execute
      3,552,673 100%        - call-interactively
      3,552,673 100%         - apply
      3,552,673 100%          - call-interactively@ido-cr+-record-current-command
      3,552,673 100%           - #<primitive-function call-interactively>
      3,552,673 100%            - funcall-interactively
      3,552,673 100%             - pel-profile-all
      3,552,673 100%              - pel-profile-dir
      3,552,673 100%               - pel-profile-indent
      3,552,673 100%                - pel-profile-indentation-test-of
      1,991,589  56%                 - call-interactively
      1,991,589  56%                  - apply
      1,991,589  56%                   - call-interactively@ido-cr+-record-current-command
      1,991,589  56%                    - #<primitive-function call-interactively>
      1,991,589  56%                     - funcall-interactively
      1,991,573  56%                      - seed7-complete-statement-or-indent
      1,991,573  56%                       - seed7-indent-region
      1,991,573  56%                        - seed7--indent-one-line
      1,991,573  56%                         - seed7-calc-indent
        478,160  13%                          - seed7-line-is-defun-end
        168,126   4%                           - seed7-line-starts-with-any
        168,126   4%                              seed7-line-starts-with
        164,087   4%                           - seed7-beg-of-defun
         58,669   1%                            - seed7-re-search-backward-closest
         58,669   1%                             - seed7-re-search-backward
         30,976   0%                              - run-with-timer
         30,976   0%                               - run-at-time
         15,104   0%                                - timer-activate
         15,104   0%                                 - timer--activate
         15,104   0%                                    timer--time-less-p
          9,728   0%                                  timer-relative-time
          6,144   0%                                - timer-set-time
          6,144   0%                                   timer--time-setter
         27,693   0%                                re-search-backward
         49,034   1%                            - seed7-re-search-backward
         29,674   0%                               re-search-backward
         19,360   0%                             - run-with-timer
         19,360   0%                              - run-at-time
          9,440   0%                               - timer-activate
          9,440   0%                                - timer--activate
          9,440   0%                                   timer--time-less-p
          6,080   0%                                 timer-relative-time
          3,840   0%                               - timer-set-time
          3,840   0%                                  timer--time-setter
          8,184   0%                            - user-error
          8,184   0%                               format-message
        107,631   3%                             looking-back
         32,768   0%                           - seed7-move-to-line
         32,768   0%                              seed7-to-previous-non-empty-line
          5,548   0%                           - seed7--safe-current-line-defun-start-indent
          5,548   0%                            - seed7-to-block-backward
          5,548   0%                             - seed7-re-search-backward
          2,904   0%                              - run-with-timer
          2,904   0%                               - run-at-time
          1,416   0%                                - timer-activate
          1,416   0%                                 - timer--activate
          1,416   0%                                    timer--time-less-p
            912   0%                                  timer-relative-time
            576   0%                                - timer-set-time
            576   0%                                   timer--time-setter
          2,644   0%                                re-search-backward
        356,471  10%                          - seed7-line-inside-a-block-cached
        356,471  10%                           - seed7-line-inside-a-block
        174,119   4%                            - seed7--safe-enclosing-block-bounds
        174,119   4%                             - seed7--block-end-pos-for
        164,903   4%                              - seed7-to-block-forward
         70,652   1%                               - seed7-end-of-defun
         47,772   1%                                - seed7-top-block-name
         43,728   1%                                 - seed7--to-top
         32,112   0%                                  - seed7-re-search-backward
         29,040   0%                                   - run-with-timer
         29,040   0%                                    - run-at-time
         14,160   0%                                     - timer-activate
         14,160   0%                                      - timer--activate
         14,160   0%                                         timer--time-less-p
          9,120   0%                                       timer-relative-time
          5,760   0%                                     - timer-set-time
          5,760   0%                                        timer--time-setter
          3,072   0%                                     re-search-backward
         11,616   0%                                  - run-with-timer
         11,616   0%                                   - run-at-time
          5,664   0%                                    - timer-activate
          5,664   0%                                     - timer--activate
          5,664   0%                                        timer--time-less-p
          3,648   0%                                      timer-relative-time
          2,304   0%                                    - timer-set-time
          2,304   0%                                       timer--time-setter
          4,044   0%                                 - seed7--block-name
          4,044   0%                                    seed7-re-search-forward
         11,616   0%                                - seed7-re-search-backward
         11,616   0%                                 - run-with-timer
         11,616   0%                                  - run-at-time
          5,664   0%                                   - timer-activate
          5,664   0%                                    - timer--activate
          5,664   0%                                       timer--time-less-p
          3,648   0%                                     timer-relative-time
          2,304   0%                                   - timer-set-time
          2,304   0%                                      timer--time-setter
          6,144   0%                                  seed7-re-search-forward
         45,115   1%                                 seed7-re-search-forward
         29,696   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         19,440   0%                               - seed7--current-line-nth-word
         19,440   0%                                - thing-at-point
         19,440   0%                                 - bounds-of-thing-at-point
         16,368   0%                                  - #<byte-code-function 601>
         16,368   0%                                   - forward-thing
         16,368   0%                                      format
          3,072   0%                                    re-search-forward
          9,216   0%                              - seed7--line-ends-a-statement-p
          9,216   0%                                 looking-at
         93,032   2%                            - seed7-re-search-backward
         48,400   1%                             - run-with-timer
         48,400   1%                              - run-at-time
         23,600   0%                               - timer-activate
         23,600   0%                                - timer--activate
         23,600   0%                                   timer--time-less-p
         15,200   0%                                 timer-relative-time
          9,600   0%                               - timer-set-time
          9,600   0%                                  timer--time-setter
         44,632   1%                               re-search-backward
         59,624   1%                            - seed7-calc-indent
         33,616   0%                             - seed7-line-is-defun-end
         19,448   0%                              - seed7-line-starts-with-any
         19,448   0%                                 seed7-line-starts-with
         10,072   0%                              - seed7-beg-of-defun
          3,984   0%                               - seed7-re-search-backward-closest
          3,984   0%                                - seed7-re-search-backward
          2,048   0%                                   re-search-backward
          1,936   0%                                 - run-with-timer
          1,936   0%                                  - run-at-time
            944   0%                                   - timer-activate
