     44,059,884  99% - ...
     44,059,884  99%  - #<primitive-function call-interactively>
     44,059,884  99%   - funcall-interactively
     44,059,884  99%    - smex
     44,059,884  99%     - smex-read-and-run
     44,059,884  99%      - execute-extended-command
     44,059,884  99%       - command-execute
     44,059,884  99%        - call-interactively
     44,059,884  99%         - apply
     44,059,884  99%          - call-interactively@ido-cr+-record-current-command
     44,059,884  99%           - #<primitive-function call-interactively>
     44,059,884  99%            - funcall-interactively
     44,059,884  99%             - pel-profile-all
     44,059,884  99%              - pel-profile-dir
     44,059,884  99%               - pel-profile-indent
     44,059,884  99%                - pel-profile-indentation-test-of
     42,490,352  96%                 - call-interactively
     42,490,352  96%                  - apply
     42,490,352  96%                   - call-interactively@ido-cr+-record-current-command
     42,490,352  96%                    - #<primitive-function call-interactively>
     42,490,352  96%                     - funcall-interactively
     42,490,336  96%                      - seed7-complete-statement-or-indent
     42,490,336  96%                       - seed7-indent-region
     42,490,336  96%                        - seed7--indent-one-line
     42,490,336  96%                         - seed7-calc-indent
     10,906,449  24%                          - seed7-line-inside-a-block-cached
     10,906,449  24%                           - seed7-line-inside-a-block
      6,958,423  15%                            - seed7--safe-enclosing-block-bounds
      6,958,423  15%                             - seed7--block-end-pos-for
      6,616,983  14%                              - seed7-to-block-forward
      4,930,262  11%                               - seed7-end-of-defun
      4,244,745   9%                                - seed7-top-block-name
      4,148,575   9%                                 - seed7--to-top
      3,974,335   9%                                  - seed7-re-search-backward
      3,920,400   8%                                   - run-with-timer
      3,920,400   8%                                    - run-at-time
      1,911,600   4%                                     - timer-activate
      1,911,600   4%                                      - timer--activate
      1,911,600   4%                                         timer--time-less-p
      1,231,200   2%                                       timer-relative-time
        777,600   1%                                     - timer-set-time
        777,600   1%                                        timer--time-setter
         41,472   0%                                     re-search-backward
         12,463   0%                                   - seed7-inside-comment-p
         12,463   0%                                    - syntax-ppss
         12,463   0%                                     - syntax-propertize
         12,463   0%                                        seed7-mode-syntax-propertize
        174,240   0%                                  - run-with-timer
        174,240   0%                                   - run-at-time
         84,960   0%                                    - timer-activate
         84,960   0%                                     - timer--activate
         84,960   0%                                        timer--time-less-p
         54,720   0%                                      timer-relative-time
         34,560   0%                                    - timer-set-time
         34,560   0%                                       timer--time-setter
         96,170   0%                                 - seed7--block-name
         96,170   0%                                    seed7-re-search-forward
        421,673   0%                                - seed7-re-search-forward
        214,970   0%                                 - internal--syntax-propertize
        214,970   0%                                  - syntax-propertize
        214,970   0%                                     seed7-mode-syntax-propertize
         24,210   0%                                 - seed7-inside-comment-p
         24,210   0%                                  - syntax-ppss
         24,210   0%                                   - syntax-propertize
         24,210   0%                                      seed7-mode-syntax-propertize
        174,240   0%                                - seed7-re-search-backward
        174,240   0%                                 - run-with-timer
        174,240   0%                                  - run-at-time
         84,960   0%                                   - timer-activate
         84,960   0%                                    - timer--activate
         84,960   0%                                       timer--time-less-p
         54,720   0%                                     timer-relative-time
         34,560   0%                                   - timer-set-time
         34,560   0%                                      timer--time-setter
          1,016   0%                                  match-string
        848,313   1%                                 seed7-re-search-forward
        533,632   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        255,672   0%                               - seed7--current-line-nth-word
