          27  69% - ...
          27  69%  - pel-profile-dir
          27  69%   - pel-profile-indent
          27  69%    - pel-profile-indentation-test-of
          27  69%     - call-interactively
          27  69%      - apply
          27  69%       - call-interactively@ido-cr+-record-current-command
          27  69%        - #<primitive-function call-interactively>
          27  69%         - funcall-interactively
          27  69%          - seed7-complete-statement-or-indent
          27  69%           - seed7-indent-region
          27  69%            - seed7--indent-one-line
          27  69%             - seed7-calc-indent
          14  35%              - seed7-comment-column
          13  33%               - seed7-calc-indent
           5  12%                - seed7-line-inside-parens-pair-column
           5  12%                 - seed7-line-inside-parens-pair
           5  12%                  - seed7-re-search-backward
           4  10%                   - seed7-inside-comment-p
           4  10%                    - syntax-ppss
           4  10%                       parse-partial-sexp
           1   2%                     re-search-backward
           3   7%                - seed7-line-is-defun-end
           3   7%                 - seed7-move-to-line
           3   7%                  - seed7-to-previous-non-empty-line
           3   7%                   - seed7-inside-comment-p
           3   7%                    - syntax-ppss
           3   7%                       parse-partial-sexp
           2   5%                - seed7-line-starts-with-open-paren-after-logic-operator
           2   5%                 - seed7-move-to-line
           2   5%                  - seed7-to-previous-non-empty-line
           2   5%                   - seed7-inside-comment-p
           2   5%                    - syntax-ppss
           2   5%                       parse-partial-sexp
           1   2%                - seed7-line-at-endof-array-definition-block
           1   2%                 - seed7-move-to-line
           1   2%                  - seed7-to-previous-non-empty-line
           1   2%                   - seed7-inside-comment-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           1   2%                - seed7-line-after-short-func-end
           1   2%                 - seed7-move-to-line
           1   2%                  - seed7-to-previous-non-empty-line
           1   2%                   - seed7-inside-comment-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           1   2%                - seed7-line-after-func-return-logic-operator-column
           1   2%                 - seed7-move-to-line
           1   2%                  - seed7-to-previous-non-empty-line
           1   2%                   - seed7-inside-comment-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           1   2%               - seed7-line-code-ends-with
           1   2%                - seed7-move-to-line
           1   2%                 - seed7-to-previous-non-empty-line
           1   2%                  - seed7-inside-comment-p
           1   2%                   - syntax-ppss
           1   2%                      parse-partial-sexp
           5  12%              - seed7-line-inside-a-block-cached
           5  12%               - seed7-line-inside-a-block
           4  10%                - seed7--safe-enclosing-block-bounds
           4  10%                 - seed7--block-end-pos-for
           4  10%                  - seed7-to-block-forward
           2   5%                   - seed7-end-of-defun
           1   2%                    - seed7-re-search-forward
           1   2%                     - seed7-inside-string-p
           1   2%                      - syntax-ppss
           1   2%                         parse-partial-sexp
           1   2%                    - seed7-top-block-name
           1   2%                     - seed7--to-top
           1   2%                      - seed7-re-search-backward
           1   2%                       - seed7-inside-comment-p
           1   2%                        - syntax-ppss
           1   2%                           parse-partial-sexp
           1   2%                   - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   2%                    - seed7-inside-line-indent-before-comment-p
           1   2%                     - seed7-inside-comment-p
           1   2%                      - syntax-ppss
           1   2%                         parse-partial-sexp
           1   2%                   - seed7--current-line-nth-word
           1   2%                    - thing-at-point
           1   2%                     - bounds-of-thing-at-point
           1   2%                      - #<byte-code-function B80>
           1   2%                       - forward-thing
           1   2%                          forward-word
           1   2%                - seed7-calc-indent
           1   2%                 - seed7-line-inside-parens-pair-column
           1   2%                  - seed7-line-inside-parens-pair
           1   2%                   - seed7-re-search-backward
           1   2%                    - seed7-inside-comment-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           3   7%              - seed7-line-is-defun-end
           3   7%               - seed7-end-of-defun
           3   7%                - seed7-top-block-name
           2   5%                 - seed7--block-name
           2   5%                  - seed7-re-search-forward
           1   2%                   - seed7-inside-comment-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           1   2%                   - seed7-inside-string-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           1   2%                 - seed7--to-top
           1   2%                  - seed7-re-search-backward
           1   2%                   - run-with-timer
           1   2%                    - run-at-time
           1   2%                     - timer-activate
           1   2%                      - timer--activate
           1   2%                         timer--time-less-p
           1   2%              - seed7-current-line-start-inside-comment-p
           1   2%               - seed7-inside-comment-p
           1   2%                - syntax-ppss
           1   2%                   parse-partial-sexp
           1   2%              - seed7-line-after-short-func-end
           1   2%               - seed7-move-to-line
           1   2%                - seed7-to-previous-non-empty-line
           1   2%                 - seed7-inside-comment-p
           1   2%                  - syntax-ppss
           1   2%                     parse-partial-sexp
           1   2%              - seed7-line-inside-assign-statement-continuation
           1   2%               - seed7-assign-op-pos
           1   2%                - seed7-re-search-backward
           1   2%                 - run-with-timer
           1   2%                  - run-at-time
           1   2%                   - timer-activate
           1   2%                    - timer--activate
           1   2%                       timer--time-less-p
           1   2%              - seed7--indent-search-boundary
           1   2%               - seed7--indent-search-boundary-uncached
           1   2%                - syntax-ppss
           1   2%                   parse-partial-sexp
           1   2%              - seed7-line-inside-parens-pair-column
           1   2%               - seed7-line-inside-parens-pair
           1   2%                - seed7-re-search-backward
           1   2%                 - seed7-inside-string-p
           1   2%                  - syntax-ppss
           1   2%                     parse-partial-sexp
          12  30%   Automatic GC
