          36  73% - ...
          36  73%  - pel-profile-all
          36  73%   - pel-profile-dir
          36  73%    - pel-profile-indent
          36  73%     - pel-profile-indentation-test-of
          36  73%      - call-interactively
          36  73%       - apply
          36  73%        - call-interactively@ido-cr+-record-current-command
          36  73%         - #<primitive-function call-interactively>
          36  73%          - funcall-interactively
          36  73%           - seed7-complete-statement-or-indent
          36  73%            - seed7-indent-region
          36  73%             - seed7--indent-one-line
          36  73%              - seed7-calc-indent
          16  32%               - seed7-comment-column
          13  26%                - seed7-calc-indent
           3   6%                 - seed7-line-starts-with-open-paren-after-logic-operator
           3   6%                  - seed7-move-to-line
           3   6%                   - seed7-to-previous-non-empty-line
           3   6%                    - seed7-inside-comment-p
           3   6%                     - syntax-ppss
           3   6%                        parse-partial-sexp
           2   4%                 - seed7-line-inside-parens-pair-column
           2   4%                  - seed7-line-inside-parens-pair
           2   4%                   - seed7-re-search-backward
           2   4%                    - seed7-inside-comment-p
           2   4%                     - syntax-ppss
           2   4%                        parse-partial-sexp
           2   4%                 - seed7-line-after-func-return-logic-operator-column
           2   4%                  - seed7-move-to-line
           2   4%                   - seed7-to-previous-non-empty-line
           2   4%                    - seed7-inside-comment-p
           2   4%                     - syntax-ppss
           2   4%                        parse-partial-sexp
           2   4%                 - seed7-line-at-endof-set-definition-block
           2   4%                  - seed7-move-to-line
           2   4%                   - seed7-to-previous-non-empty-line
           2   4%                    - seed7-inside-comment-p
           2   4%                     - syntax-ppss
           2   4%                        parse-partial-sexp
           1   2%                 - seed7-line-after-short-func-end
           1   2%                  - seed7-move-to-line
           1   2%                   - seed7-to-previous-non-empty-line
           1   2%                    - seed7-inside-comment-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           1   2%                 - seed7-line-at-endof-array-definition-block
           1   2%                  - seed7-move-to-line
           1   2%                   - seed7-to-previous-non-empty-line
           1   2%                    - seed7-inside-comment-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           1   2%                 - seed7-line-is-defun-end
           1   2%                  - seed7-move-to-line
           1   2%                   - seed7-to-previous-non-empty-line
           1   2%                    - seed7-inside-comment-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           1   2%                 - seed7--indent-search-boundary
           1   2%                  - seed7--indent-search-boundary-uncached
           1   2%                   - syntax-ppss
           1   2%                      parse-partial-sexp
           3   6%                - seed7-line-code-ends-with
           3   6%                 - seed7-move-to-line
           3   6%                  - seed7-to-previous-non-empty-line
           2   4%                   - seed7-inside-comment-p
           2   4%                    - syntax-ppss
           2   4%                       parse-partial-sexp
           6  12%               - seed7-line-inside-a-block-cached
           6  12%                - seed7-line-inside-a-block
           4   8%                 - seed7--safe-enclosing-block-bounds
           4   8%                  - seed7--block-end-pos-for
           4   8%                   - seed7-to-block-forward
           3   6%                    - seed7-end-of-defun
           1   2%                       seed7-re-search-forward
           1   2%                     - seed7-top-block-name
           1   2%                      - seed7--to-top
           1   2%                       - seed7-re-search-backward
           1   2%                        - seed7-inside-string-p
           1   2%                         - syntax-ppss
           1   2%                            parse-partial-sexp
           1   2%                     - seed7-re-search-backward
           1   2%                      - run-with-timer
           1   2%                       - run-at-time
           1   2%                        - timer-activate
           1   2%                         - timer--activate
           1   2%                            timer--time-less-p
           1   2%                    - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   2%                     - seed7-inside-comment-p
           1   2%                      - syntax-ppss
           1   2%                         parse-partial-sexp
           2   4%                 - seed7-re-search-backward
           2   4%                  - seed7-inside-comment-p
           2   4%                   - syntax-ppss
           2   4%                      parse-partial-sexp
           3   6%               - seed7-line-inside-set-definition-block
           3   6%                - seed7-re-search-backward
           2   4%                 - run-with-timer
           2   4%                  - run-at-time
           1   2%                   - timer-set-time
           1   2%                      timer--time-setter
           1   2%                   - timer-activate
           1   2%                    - timer--activate
           1   2%                       timer--time-less-p
           1   2%                   re-search-backward
           3   6%               - seed7-line-is-defun-end
           1   2%                - seed7--current-line-nth-word
           1   2%                 - thing-at-point
           1   2%                  - bounds-of-thing-at-point
           1   2%                     re-search-forward
           1   2%                - seed7-line-starts-with-any
           1   2%                   seed7-line-starts-with
           1   2%                - seed7--safe-current-line-defun-start-indent
           1   2%                 - seed7-to-block-backward
           1   2%                  - seed7-re-search-backward
           1   2%                     re-search-backward
           3   6%               - seed7--indent-search-boundary
           3   6%                - seed7--indent-search-boundary-uncached
           3   6%                 - syntax-ppss
           3   6%                    parse-partial-sexp
           2   4%               - seed7-current-line-start-inside-comment-p
           2   4%                - seed7-inside-comment-p
           2   4%                 - syntax-ppss
           2   4%                    parse-partial-sexp
           1   2%               - seed7-line-inside-logic-check-expression
           1   2%                - seed7-to-previous-line-starts-with
           1   2%                 - seed7-re-search-backward
           1   2%                  - run-with-timer
           1   2%                   - run-at-time
           1   2%                    - timer-activate
           1   2%                     - timer--activate
           1   2%                        timer--time-less-p
           1   2%               - seed7-line-inside-argument-list-section
           1   2%                - seed7-re-search-backward
           1   2%                 - run-with-timer
           1   2%                  - run-at-time
           1   2%                   - timer-activate
           1   2%                    - timer--activate
           1   2%                       timer--time-less-p
           1   2%               - seed7-line-inside-parens-pair-column
           1   2%                - seed7-line-inside-parens-pair
           1   2%                 - seed7-re-search-backward
           1   2%                  - run-with-timer
           1   2%                   - run-at-time
           1   2%                    - timer-set-time
           1   2%                       timer--time-setter
          13  26%   Automatic GC
