         593  75% - ...
         593  75%  - funcall-interactively
         593  75%   - pel-profile-all
         593  75%    - pel-profile-dir
         593  75%     - pel-profile-indent
         593  75%      - pel-profile-indentation-test-of
         593  75%       - call-interactively
         593  75%        - apply
         593  75%         - call-interactively@ido-cr+-record-current-command
         593  75%          - #<primitive-function call-interactively>
         593  75%           - funcall-interactively
         397  50%            - seed7-complete-statement-or-indent
         397  50%             - seed7-indent-region
         397  50%              - seed7--indent-one-line
         397  50%               - seed7-calc-indent
         162  20%                - seed7-line-inside-parens-pair-column
         162  20%                 - seed7-line-inside-parens-pair
         160  20%                  - seed7-re-search-backward
         118  15%                   - seed7-inside-comment-p
         115  14%                    - syntax-ppss
         112  14%                       parse-partial-sexp
           1   0%                       #<byte-code-function B2A>
           1   0%                       syntax-ppss--update-stats
          26   3%                   - run-with-timer
          26   3%                    - run-at-time
          18   2%                     - timer-activate
          18   2%                      - timer--activate
          18   2%                         timer--time-less-p
           7   0%                     - timer-set-time
           7   0%                        timer--time-setter
           1   0%                       timer-relative-time
          13   1%                     re-search-backward
           3   0%                   - seed7-inside-string-p
           3   0%                    - syntax-ppss
           1   0%                       make-closure
           1   0%                       syntax-propertize
           2   0%                  - seed7-line-inside-syntax-parens-pair
           2   0%                   - syntax-ppss
           2   0%                      parse-partial-sexp
          63   8%                - seed7-line-inside-assign-statement-continuation
          63   8%                 - seed7-assign-op-pos
          63   8%                  - seed7-re-search-backward
          50   6%                   - seed7-inside-comment-p
          50   6%                    - syntax-ppss
          50   6%                       parse-partial-sexp
          10   1%                     re-search-backward
           2   0%                   - run-with-timer
           2   0%                    - run-at-time
           2   0%                     - timer-activate
           2   0%                      - timer--activate
           2   0%                         timer--time-less-p
           1   0%                   - seed7-inside-string-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
          40   5%                - seed7-line-at-endof-array-definition-block
          38   4%                 - seed7-line-code-ends-with
          38   4%                  - seed7-re-search-backward
          19   2%                   - seed7-inside-comment-p
          19   2%                    - syntax-ppss
          18   2%                       parse-partial-sexp
          14   1%                   - seed7-inside-string-p
          13   1%                    - syntax-ppss
          12   1%                       parse-partial-sexp
           5   0%                   - run-with-timer
           5   0%                    - run-at-time
           4   0%                     - timer-activate
           4   0%                      - timer--activate
           4   0%                         timer--time-less-p
           1   0%                       timer-relative-time
           2   0%                 - seed7-move-to-line
           2   0%                  - seed7-to-previous-non-empty-line
           2   0%                   - seed7-inside-comment-p
           2   0%                    - syntax-ppss
           2   0%                       parse-partial-sexp
          34   4%                - seed7-line-at-endof-set-definition-block
          33   4%                 - seed7-line-code-ends-with
          33   4%                  - seed7-re-search-backward
          18   2%                   - seed7-inside-string-p
          16   2%                    - syntax-ppss
          15   1%                       parse-partial-sexp
           1   0%                       #<byte-code-function 044>
          10   1%                   - seed7-inside-comment-p
           9   1%                    - syntax-ppss
           9   1%                       parse-partial-sexp
           4   0%                   - run-with-timer
           4   0%                    - run-at-time
           2   0%                     - timer-activate
           2   0%                      - timer--activate
           2   0%                         timer--time-less-p
           2   0%                     - timer-set-time
           2   0%                        timer--time-setter
           1   0%                     re-search-backward
           1   0%                 - seed7-move-to-line
           1   0%                  - seed7-to-previous-non-empty-line
           1   0%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
          30   3%                - seed7-line-inside-a-block-cached
          30   3%                 - seed7-line-inside-a-block
          19   2%                  - seed7-re-search-backward
          10   1%                   - run-with-timer
          10   1%                    - run-at-time
           7   0%                     - timer-activate
           7   0%                      - timer--activate
           7   0%                         timer--time-less-p
           2   0%                     - timer-set-time
           2   0%                        timer--time-setter
           1   0%                       timer-relative-time
           5   0%                   - seed7-inside-comment-p
           5   0%                    - syntax-ppss
           5   0%                       parse-partial-sexp
           4   0%                     re-search-backward
           9   1%                  - seed7--safe-enclosing-block-bounds
           9   1%                   - seed7--block-end-pos-for
           9   1%                    - seed7-to-block-forward
           4   0%                     - seed7-end-of-defun
           4   0%                      - seed7-top-block-name
           4   0%                       - seed7--to-top
           4   0%                        - seed7-re-search-backward
           2   0%                         - seed7-inside-comment-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
           2   0%                         - run-with-timer
           2   0%                          - run-at-time
           1   0%                           - timer-activate
           1   0%                            - timer--activate
           1   0%                               timer--time-less-p
           1   0%                           - timer-set-time
           1   0%                              timer--time-setter
