     24,545,681  99% - ...
     24,545,681  99%  - #<primitive-function call-interactively>
     24,545,681  99%   - funcall-interactively
     24,545,681  99%    - smex
     24,545,681  99%     - smex-read-and-run
     24,545,681  99%      - execute-extended-command
     24,545,681  99%       - command-execute
     24,545,681  99%        - call-interactively
     24,545,681  99%         - apply
     24,545,681  99%          - call-interactively@ido-cr+-record-current-command
     24,545,681  99%           - #<primitive-function call-interactively>
     24,545,681  99%            - funcall-interactively
     24,545,681  99%             - pel-profile-all
     24,545,681  99%              - pel-profile-dir
     24,545,681  99%               - pel-profile-indent
     24,545,681  99%                - pel-profile-indentation-test-of
     22,981,781  93%                 - call-interactively
     22,981,781  93%                  - apply
     22,981,781  93%                   - call-interactively@ido-cr+-record-current-command
     22,981,781  93%                    - #<primitive-function call-interactively>
     22,981,781  93%                     - funcall-interactively
     22,981,765  93%                      - seed7-complete-statement-or-indent
     22,981,765  93%                       - seed7-indent-region
     22,981,765  93%                        - seed7--indent-one-line
     22,981,765  93%                         - seed7-calc-indent
      4,648,585  18%                          - seed7-line-is-defun-end
      1,574,119   6%                           - seed7-line-starts-with-any
      1,574,119   6%                              seed7-line-starts-with
      1,267,621   5%                             looking-back
      1,083,316   4%                           - seed7-beg-of-defun
        392,648   1%                            - seed7-re-search-backward-closest
        392,648   1%                             - seed7-re-search-backward
        264,872   1%                                re-search-backward
        127,776   0%                              - run-with-timer
        127,776   0%                               - run-at-time
         62,304   0%                                - timer-activate
         62,304   0%                                 - timer--activate
         62,304   0%                                    timer--time-less-p
         40,128   0%                                  timer-relative-time
         25,344   0%                                - timer-set-time
         25,344   0%                                   timer--time-setter
        325,807   1%                            - seed7-re-search-backward
        180,607   0%                               re-search-backward
        145,200   0%                             - run-with-timer
        145,200   0%                              - run-at-time
         70,800   0%                               - timer-activate
         70,800   0%                                - timer--activate
         70,800   0%                                   timer--time-less-p
         45,600   0%                                 timer-relative-time
         28,800   0%                               - timer-set-time
         28,800   0%                                  timer--time-setter
         21,887   0%                            - seed7-top-block-name
         12,032   0%                             - seed7--to-top
          8,160   0%                              - seed7-re-search-backward
          4,288   0%                                 re-search-backward
          3,872   0%                               - run-with-timer
          3,872   0%                                - run-at-time
          1,888   0%                                 - timer-activate
          1,888   0%                                  - timer--activate
          1,888   0%                                     timer--time-less-p
          1,216   0%                                   timer-relative-time
            768   0%                                 - timer-set-time
            768   0%                                    timer--time-setter
          3,872   0%                              - run-with-timer
          3,872   0%                               - run-at-time
          1,888   0%                                - timer-activate
          1,888   0%                                 - timer--activate
          1,888   0%                                    timer--time-less-p
          1,216   0%                                  timer-relative-time
            768   0%                                - timer-set-time
            768   0%                                   timer--time-setter
          9,855   0%                             - seed7--block-name
          9,855   0%                                seed7-re-search-forward
          8,184   0%                            - user-error
          8,184   0%                               format-message
          1,016   0%                              match-string
        316,536   1%                           - seed7-move-to-line
        316,536   1%                              seed7-to-previous-non-empty-line
        197,392   0%                           - seed7--current-line-nth-word
        197,392   0%                            - thing-at-point
        173,912   0%                             - bounds-of-thing-at-point
        122,760   0%                              - #<byte-code-function 883>
        122,760   0%                               - forward-thing
        122,760   0%                                  format
         49,104   0%                              - #<byte-code-function 037>
         49,104   0%                               - forward-thing
         49,104   0%                                  format
          2,048   0%                                re-search-forward
        179,008   0%                           - seed7-end-of-defun
        147,136   0%                            - seed7-top-block-name
        147,136   0%                             - seed7--to-top
        131,648   0%                              - seed7-re-search-backward
        131,648   0%                               - run-with-timer
        131,648   0%                                - run-at-time
         64,192   0%                                 - timer-activate
         64,192   0%                                  - timer--activate
         64,192   0%                                     timer--time-less-p
         41,344   0%                                   timer-relative-time
         26,112   0%                                 - timer-set-time
         26,112   0%                                    timer--time-setter
         15,488   0%                              - run-with-timer
         15,488   0%                               - run-at-time
          7,552   0%                                - timer-activate
          7,552   0%                                 - timer--activate
          7,552   0%                                    timer--time-less-p
          4,864   0%                                  timer-relative-time
          3,072   0%                                - timer-set-time
          3,072   0%                                   timer--time-setter
         15,488   0%                            - seed7-re-search-backward
         15,488   0%                             - run-with-timer
         15,488   0%                              - run-at-time
          7,552   0%                               - timer-activate
          7,552   0%                                - timer--activate
          7,552   0%                                   timer--time-less-p
          4,864   0%                                 timer-relative-time
          3,072   0%                               - timer-set-time
          3,072   0%                                  timer--time-setter
          8,192   0%                              seed7-re-search-forward
         30,593   0%                           - seed7--safe-current-line-defun-start-indent
         30,593   0%                            - seed7-to-block-backward
         29,577   0%                             - seed7-re-search-backward
         16,993   0%                                re-search-backward
         12,584   0%                              - run-with-timer
         12,584   0%                               - run-at-time
          6,136   0%                                - timer-activate
          6,136   0%                                 - timer--activate
          6,136   0%                                    timer--time-less-p
          3,952   0%                                  timer-relative-time
          2,496   0%                                - timer-set-time
          2,496   0%                                   timer--time-setter
          1,016   0%                             - seed7--current-line-nth-word
          1,016   0%                                thing-at-point
      4,120,723  16%                          - seed7-line-inside-a-block-cached
      4,120,723  16%                           - seed7-line-inside-a-block
      1,799,603   7%                            - seed7-re-search-backward
      1,301,960   5%                             - run-with-timer
      1,301,960   5%                              - run-at-time
        634,840   2%                               - timer-activate
        634,840   2%                                - timer--activate
        634,840   2%                                   timer--time-less-p
        408,880   1%                                 timer-relative-time
        258,240   1%                               - timer-set-time
        258,240   1%                                  timer--time-setter
        497,643   2%                               re-search-backward
      1,793,648   7%                            - seed7--safe-enclosing-block-bounds
      1,793,648   7%                             - seed7--block-end-pos-for
      1,741,688   7%                              - seed7-to-block-forward
        647,577   2%                               - seed7-re-search-forward
         29,641   0%                                - seed7-inside-comment-p
         29,641   0%                                 - syntax-ppss
         29,641   0%                                  - syntax-propertize
         29,641   0%                                     seed7-mode-syntax-propertize
        509,983   2%                               - seed7-end-of-defun
        390,662   1%                                - seed7-top-block-name
        355,520   1%                                 - seed7--to-top
        320,672   1%                                  - seed7-re-search-backward
        296,208   1%                                   - run-with-timer
        296,208   1%                                    - run-at-time
        144,432   0%                                     - timer-activate
        144,432   0%                                      - timer--activate
        144,432   0%                                         timer--time-less-p
         93,024   0%                                       timer-relative-time
         58,752   0%                                     - timer-set-time
         58,752   0%                                        timer--time-setter
         14,544   0%                                   - seed7-inside-comment-p
         14,544   0%                                    - syntax-ppss
         14,544   0%                                     - syntax-propertize
         14,544   0%                                        seed7-mode-syntax-propertize
          9,920   0%                                     re-search-backward
         34,848   0%                                  - run-with-timer
         34,848   0%                                   - run-at-time
         16,992   0%                                    - timer-activate
         16,992   0%                                     - timer--activate
         16,992   0%                                        timer--time-less-p
         10,944   0%                                      timer-relative-time
          6,912   0%                                    - timer-set-time
          6,912   0%                                       timer--time-setter
         35,142   0%                                 - seed7--block-name
         35,142   0%                                    seed7-re-search-forward
         57,569   0%                                - seed7-re-search-forward
         29,355   0%                                 - seed7-inside-comment-p
         29,355   0%                                  - syntax-ppss
         29,355   0%                                   - syntax-propertize
         29,355   0%                                      seed7-mode-syntax-propertize
         34,848   0%                                - seed7-re-search-backward
         34,848   0%                                 - run-with-timer
         34,848   0%                                  - run-at-time
         16,992   0%                                   - timer-activate
         16,992   0%                                    - timer--activate
         16,992   0%                                       timer--time-less-p
         10,944   0%                                     timer-relative-time
          6,912   0%                                   - timer-set-time
          6,912   0%                                      timer--time-setter
          8,184   0%                                  match-string
        293,888   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        282,056   1%                               - seed7--current-line-nth-word
        282,056   1%                                - thing-at-point
        181,080   0%                                 - bounds-of-thing-at-point
        139,128   0%                                  - #<byte-code-function 31B>
        139,128   0%                                   - forward-thing
        139,128   0%                                      format
         32,736   0%                                  - #<byte-code-function 88B>
         32,736   0%                                   - forward-thing
         32,736   0%                                      format
          9,216   0%                                    re-search-forward
          8,184   0%                                 seed7--end-regexp-for
         37,624   0%                              - seed7--line-ends-a-statement-p
         27,384   0%                                 looking-at
         10,240   0%                               - forward-sexp
         10,240   0%                                  seed7--forward-sexp-function
          4,096   0%                              - seed7-to-next-line-starts-with
          4,096   0%                                 seed7-re-search-forward
        377,904   1%                            - replace-regexp-in-string
         16,368   0%                               concat
         27,888   0%                            - seed7-calc-indent
          4,224   0%                             - seed7-line-is-defun-end
          3,200   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
          2,960   0%                             - seed7-line-inside-a-block-cached
          2,960   0%                              - seed7-line-inside-a-block
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,960   0%                             - seed7-line-at-endof-array-definition-block
          2,960   0%                              - seed7-line-code-ends-with
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
