       65418  90% - ...
       65418  90%  - pel-profile-dir
       65418  90%   - pel-profile-indent
       65418  90%    - pel-profile-indentation-test-of
       65418  90%     - call-interactively
       65418  90%      - apply
       65418  90%       - call-interactively@ido-cr+-record-current-command
       65418  90%        - #<primitive-function call-interactively>
       65418  90%         - funcall-interactively
       57085  79%          - pel-profile-all
       57085  79%           - pel-profile-dir
       57085  79%            - pel-profile-indent
       57085  79%             - pel-profile-indentation-test-of
       57085  79%              - call-interactively
       57085  79%               - apply
       57085  79%                - call-interactively@ido-cr+-record-current-command
       57085  79%                 - #<primitive-function call-interactively>
       57085  79%                  - funcall-interactively
       57085  79%                   - seed7-complete-statement-or-indent
       57085  79%                    - seed7-indent-region
       57085  79%                     - seed7--indent-one-line
       57084  79%                      - seed7-calc-indent
       42118  58%                       - seed7-line-inside-parens-pair-column
       42118  58%                        - seed7-line-inside-parens-pair
       41606  57%                         - seed7-re-search-backward
       20744  28%                          - run-with-timer
       20742  28%                           - run-at-time
       15498  21%                            - timer-activate
       15495  21%                             - timer--activate
       15480  21%                              - timer--time-less-p
          23   0%                                 timer--time
           1   0%                                timerp
        4797   6%                            - timer-set-time
        4796   6%                               timer--time-setter
         432   0%                              timer-relative-time
           4   0%                              timer-create
           2   0%                            - timer-set-function
           1   0%                               timerp
       20582  28%                          - seed7-inside-comment-p
       20554  28%                           - syntax-ppss
       20477  28%                              parse-partial-sexp
          10   0%                            - #<byte-code-function CAD>
           3   0%                               set-syntax-table
           7   0%                              syntax-ppss--update-stats
           7   0%                              syntax-ppss--data
           6   0%                              syntax-propertize
           6   0%                              syntax-ppss-toplevel-pos
           5   0%                              syntax-table
           4   0%                              set-syntax-table
           3   0%                              make-closure
         122   0%                          - seed7-inside-string-p
          83   0%                           - syntax-ppss
          37   0%                              parse-partial-sexp
          11   0%                            - #<byte-code-function FAE>
           1   0%                               set-syntax-table
           7   0%                              make-closure
           6   0%                              syntax-ppss--update-stats
           3   0%                              syntax-propertize
           3   0%                              syntax-ppss--data
           2   0%                              syntax-table
           1   0%                              set-syntax-table
          13   0%                           - #<byte-code-function 91D>
           9   0%                              set-match-data
          99   0%                            re-search-backward
          12   0%                          - #<byte-code-function 7C8>
          10   0%                           - cancel-timer
           3   0%                              timerp
           6   0%                            make-closure
         161   0%                         - forward-sexp
         155   0%                          - seed7--forward-sexp-function
           1   0%                             seed7--at-line-comment-start-p
          18   0%                         - seed7-line-inside-syntax-parens-pair
          18   0%                          - syntax-ppss
          18   0%                             parse-partial-sexp
       14279  19%                       - seed7--indent-search-boundary
