     97,961,900  99% - ...
     97,961,900  99%  - #<primitive-function call-interactively>
     97,961,900  99%   - funcall-interactively
     97,961,900  99%    - smex
     97,961,900  99%     - smex-read-and-run
     97,961,900  99%      - execute-extended-command
     97,961,900  99%       - command-execute
     97,961,900  99%        - call-interactively
     97,961,900  99%         - apply
     97,961,900  99%          - call-interactively@ido-cr+-record-current-command
     97,961,900  99%           - #<primitive-function call-interactively>
     97,961,900  99%            - funcall-interactively
     97,961,900  99%             - pel-profile-all
     97,961,900  99%              - pel-profile-dir
     97,961,900  99%               - pel-profile-indent
     97,961,900  99%                - pel-profile-indentation-test-of
     96,392,368  98%                 - call-interactively
     96,392,368  98%                  - apply
     96,392,368  98%                   - call-interactively@ido-cr+-record-current-command
     96,392,368  98%                    - #<primitive-function call-interactively>
     96,392,368  98%                     - funcall-interactively
     96,392,352  98%                      - seed7-complete-statement-or-indent
     96,392,352  98%                       - seed7-indent-region
     96,392,352  98%                        - seed7--indent-one-line
     96,392,352  98%                         - seed7-calc-indent
     24,565,284  25%                          - seed7-line-inside-a-block-cached
     24,565,284  25%                           - seed7-line-inside-a-block
     15,460,436  15%                            - seed7--safe-enclosing-block-bounds
     15,460,436  15%                             - seed7--block-end-pos-for
     15,242,260  15%                              - seed7-to-block-forward
      9,456,191   9%                               - seed7-end-of-defun
      8,882,647   9%                                - seed7-top-block-name
      8,734,938   8%                                 - seed7--to-top
      8,482,266   8%                                  - seed7-re-search-backward
      8,294,720   8%                                   - run-with-timer
      8,294,720   8%                                    - run-at-time
      5,100,480   5%                                     - timer-activate
      5,100,480   5%                                      - timer--activate
      5,100,480   5%                                         timer--time-less-p
      1,957,760   1%                                       timer-relative-time
      1,236,480   1%                                     - timer-set-time
      1,236,480   1%                                        timer--time-setter
        139,957   0%                                   - seed7-inside-comment-p
        139,957   0%                                    - syntax-ppss
        139,957   0%                                     - syntax-propertize
        139,957   0%                                        seed7-mode-syntax-propertize
         47,589   0%                                     re-search-backward
        252,672   0%                                  - run-with-timer
        252,672   0%                                   - run-at-time
        141,568   0%                                    - timer-activate
        141,568   0%                                     - timer--activate
        141,568   0%                                        timer--time-less-p
         68,096   0%                                      timer-relative-time
         43,008   0%                                    - timer-set-time
         43,008   0%                                       timer--time-setter
        147,709   0%                                 - seed7--block-name
        114,013   0%                                    seed7-re-search-forward
         25,512   0%                                    match-string
        252,672   0%                                - seed7-re-search-backward
        252,672   0%                                 - run-with-timer
