        1989  92% - ...
        1989  92%  - pel-profile-dir
        1989  92%   - pel-profile-indent
        1989  92%    - pel-profile-indentation-test-of
        1989  92%     - call-interactively
        1989  92%      - apply
        1989  92%       - call-interactively@ido-cr+-record-current-command
        1989  92%        - #<primitive-function call-interactively>
        1989  92%         - funcall-interactively
        1963  91%          - pel-profile-all
        1963  91%           - pel-profile-dir
        1963  91%            - pel-profile-indent
        1963  91%             - pel-profile-indentation-test-of
        1963  91%              - call-interactively
        1963  91%               - apply
        1963  91%                - call-interactively@ido-cr+-record-current-command
        1963  91%                 - #<primitive-function call-interactively>
        1963  91%                  - funcall-interactively
        1963  91%                   - seed7-complete-statement-or-indent
        1963  91%                    - seed7-indent-region
        1963  91%                     - seed7--indent-one-line
        1962  91%                      - seed7-calc-indent
         941  43%                       - seed7--indent-search-boundary
         941  43%                        - seed7--indent-search-boundary-uncached
         932  43%                         - syntax-ppss
         929  43%                            parse-partial-sexp
           1   0%                            make-closure
           1   0%                            #<byte-code-function F9E>
           2   0%                           seed7-to-indent
         767  35%                       - seed7-line-inside-parens-pair-column
         767  35%                        - seed7-line-inside-parens-pair
         742  34%                         - seed7-re-search-backward
         476  22%                          - seed7-inside-comment-p
         476  22%                           - syntax-ppss
         473  21%                              parse-partial-sexp
           1   0%                              syntax-propertize
           1   0%                              #<byte-code-function E15>
         258  11%                          - run-with-timer
         258  11%                           - run-at-time
         153   7%                            - timer-activate
         153   7%                             - timer--activate
         152   7%                                timer--time-less-p
          97   4%                            - timer-set-time
          97   4%                             - timer--time-setter
           1   0%                                timerp
           8   0%                              timer-relative-time
           7   0%                          - seed7-inside-string-p
           7   0%                           - syntax-ppss
           6   0%                              parse-partial-sexp
           1   0%                              syntax-ppss--update-stats
          10   0%                         - seed7-line-inside-syntax-parens-pair
          10   0%                          - syntax-ppss
          10   0%                             parse-partial-sexp
           3   0%                         - forward-sexp
           3   0%                            seed7--forward-sexp-function
          85   3%                       - seed7-line-inside-a-block-cached
          85   3%                        - seed7-line-inside-a-block
          54   2%                         - seed7--safe-enclosing-block-bounds
          54   2%                          - seed7--block-end-pos-for
          54   2%                           - seed7-to-block-forward
          29   1%                            - seed7-end-of-defun
          25   1%                             - seed7-top-block-name
          25   1%                              - seed7--to-top
          25   1%                               - seed7-re-search-backward
          14   0%                                - seed7-inside-comment-p
          14   0%                                 - syntax-ppss
          12   0%                                    parse-partial-sexp
           2   0%                                  - syntax-propertize
           2   0%                                     seed7-mode-syntax-propertize
          10   0%                                - run-with-timer
          10   0%                                 - run-at-time
           6   0%                                  - timer-activate
           6   0%                                   - timer--activate
           6   0%                                      timer--time-less-p
           4   0%                                  - timer-set-time
           4   0%                                     timer--time-setter
           1   0%                                  re-search-backward
           3   0%                               seed7-re-search-forward
           1   0%                             - seed7-re-search-backward
           1   0%                              - seed7-inside-comment-p
           1   0%                               - syntax-ppss
           1   0%                                  parse-partial-sexp
          18   0%                            - seed7-re-search-forward
          14   0%                             - seed7-inside-comment-p
          14   0%                              - syntax-ppss
           9   0%                                 parse-partial-sexp
           5   0%                               - syntax-propertize
           5   0%                                  seed7-mode-syntax-propertize
           2   0%                            - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           2   0%                             - seed7-inside-comment-p
           2   0%                              - syntax-ppss
           2   0%                                 parse-partial-sexp
           2   0%                            - seed7-inside-comment-p
           2   0%                             - syntax-ppss
