          15  78% - ...
          15  78%  - call-interactively
          15  78%   - apply
          15  78%    - call-interactively@ido-cr+-record-current-command
          15  78%     - #<primitive-function call-interactively>
          15  78%      - funcall-interactively
          12  63%       - pel-profile-all
          12  63%        - pel-profile-dir
          12  63%         - pel-profile-indent
          12  63%          - pel-profile-indentation-test-of
          12  63%           - call-interactively
          12  63%            - apply
          12  63%             - call-interactively@ido-cr+-record-current-command
          12  63%              - #<primitive-function call-interactively>
          12  63%               - funcall-interactively
          12  63%                - seed7-complete-statement-or-indent
          12  63%                 - seed7-indent-region
          12  63%                  - seed7--indent-one-line
          11  57%                   - seed7-calc-indent
           9  47%                    - seed7-line-inside-parens-pair-column
           9  47%                     - seed7-line-inside-parens-pair
           9  47%                      - seed7-re-search-backward
           6  31%                       - run-with-timer
           6  31%                        - run-at-time
           3  15%                         - timer-set-time
           3  15%                            timer--time-setter
           3  15%                         - timer-activate
           3  15%                          - timer--activate
           3  15%                             timer--time-less-p
           2  10%                       - seed7-inside-string-p
           2  10%                        - syntax-ppss
           2  10%                           parse-partial-sexp
           1   5%                       - seed7-inside-comment-p
           1   5%                        - syntax-ppss
           1   5%                           parse-partial-sexp
           1   5%                    - seed7-line-inside-assign-statement-continuation
           1   5%                     - seed7-assign-op-pos
           1   5%                      - seed7-re-search-backward
           1   5%                         re-search-backward
           1   5%                    - seed7-line-inside-argument-list-section
           1   5%                     - seed7-re-search-backward
           1   5%                        re-search-backward
           1   5%                     jit-lock-after-change
           3  15%       - seed7-complete-statement-or-indent
           3  15%        - seed7-indent-region
           3  15%         - seed7--indent-one-line
           3  15%          - seed7-calc-indent
           1   5%           - seed7-comment-column
           1   5%            - seed7-calc-indent
           1   5%             - seed7-line-at-endof-set-definition-block
           1   5%              - seed7-move-to-line
           1   5%               - seed7-to-previous-non-empty-line
           1   5%                - seed7-inside-comment-p
           1   5%                 - syntax-ppss
           1   5%                    parse-partial-sexp
           1   5%           - seed7-line-is-defun-end
           1   5%            - seed7-beg-of-defun
           1   5%             - seed7-re-search-backward
           1   5%              - run-with-timer
           1   5%               - run-at-time
           1   5%                - timer-activate
           1   5%                 - timer--activate
           1   5%                    timer--time-less-p
           1   5%           - seed7-line-inside-logic-check-expression
           1   5%            - seed7-to-previous-line-starts-with
           1   5%             - seed7-re-search-backward
           1   5%              - run-with-timer
           1   5%               - run-at-time
           1   5%                - timer-set-time
           1   5%                   timer--time-setter
           4  21%   Automatic GC
