     15,343,588  99% - ...
     15,343,588  99%  - #<primitive-function call-interactively>
     15,343,588  99%   - funcall-interactively
     15,343,588  99%    - smex
     15,343,588  99%     - smex-read-and-run
     15,343,588  99%      - execute-extended-command
     15,343,588  99%       - command-execute
     15,343,588  99%        - call-interactively
     15,343,588  99%         - apply
     15,343,588  99%          - call-interactively@ido-cr+-record-current-command
     15,343,588  99%           - #<primitive-function call-interactively>
     15,343,588  99%            - funcall-interactively
     15,343,588  99%             - pel-profile-all
     15,343,588  99%              - pel-profile-dir
     15,343,588  99%               - pel-profile-indent
     15,343,588  99%                - pel-profile-indentation-test-of
     13,779,688  89%                 - call-interactively
     13,779,688  89%                  - apply
     13,779,688  89%                   - call-interactively@ido-cr+-record-current-command
     13,779,688  89%                    - #<primitive-function call-interactively>
     13,779,688  89%                     - funcall-interactively
     13,779,672  89%                      - seed7-complete-statement-or-indent
     13,779,672  89%                       - seed7-indent-region
     13,779,672  89%                        - seed7--indent-one-line
     13,779,672  89%                         - seed7-calc-indent
      7,708,704  50%                          - seed7-line-inside-parens-pair-column
      7,708,704  50%                           - seed7-line-inside-parens-pair
      7,704,608  50%                            - seed7-re-search-backward
      7,561,248  49%                             - run-with-timer
      7,561,248  49%                              - run-at-time
      2,919,696  19%                               - timer-activate
      2,919,696  19%                                - timer--activate
      2,919,696  19%                                   timer--time-less-p
      2,844,816  18%                                 timer-relative-time
      1,796,736  11%                               - timer-set-time
      1,796,736  11%                                  timer--time-setter
        143,360   0%                               re-search-backward
          4,096   0%                            - forward-sexp
          4,096   0%                               seed7--forward-sexp-function
      1,569,217  10%                          - seed7-line-inside-a-block-cached
      1,360,925   8%                           - seed7-line-inside-a-block
        917,645   5%                            - seed7--safe-enclosing-block-bounds
        917,645   5%                             - seed7--block-end-pos-for
        910,477   5%                              - seed7-to-block-forward
        597,147   3%                               - seed7-re-search-forward
        284,583   1%                                - seed7-inside-comment-p
        284,583   1%                                 - syntax-ppss
        284,583   1%                                  - syntax-propertize
        284,583   1%                                     seed7-mode-syntax-propertize
        144,384   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         92,226   0%                               - seed7-end-of-defun
         60,138   0%                                - seed7-top-block-name
         50,712   0%                                 - seed7--to-top
         41,016   0%                                  - seed7-re-search-backward
         37,752   0%                                   - run-with-timer
         37,752   0%                                    - run-at-time
         18,408   0%                                     - timer-activate
         18,408   0%                                      - timer--activate
         18,408   0%                                         timer--time-less-p
         11,856   0%                                       timer-relative-time
          7,488   0%                                     - timer-set-time
          7,488   0%                                        timer--time-setter
          3,264   0%                                     re-search-backward
          9,696   0%                                  - run-with-timer
          9,696   0%                                   - run-at-time
          3,744   0%                                    - timer-activate
          3,744   0%                                     - timer--activate
          3,744   0%                                        timer--time-less-p
          3,648   0%                                      timer-relative-time
          2,304   0%                                    - timer-set-time
          2,304   0%                                       timer--time-setter
          9,426   0%                                 - seed7--block-name
          8,410   0%                                    seed7-re-search-forward
          1,016   0%                                    match-string
         10,216   0%                                  match-string
          9,696   0%                                - seed7-re-search-backward
          9,696   0%                                 - run-with-timer
          9,696   0%                                  - run-at-time
          3,744   0%                                   - timer-activate
          3,744   0%                                    - timer--activate
          3,744   0%                                       timer--time-less-p
          3,648   0%                                     timer-relative-time
          2,304   0%                                   - timer-set-time
          2,304   0%                                      timer--time-setter
          6,144   0%                                  seed7-re-search-forward
         76,720   0%                               - seed7--current-line-nth-word
         76,720   0%                                - thing-at-point
         59,336   0%                                 - bounds-of-thing-at-point
         32,736   0%                                  - #<byte-code-function 81A>
         32,736   0%                                   - forward-thing
         32,736   0%                                      format
         24,552   0%                                  - #<byte-code-function BD1>
         24,552   0%                                   - forward-thing
         24,552   0%                                      format
          2,048   0%                                    re-search-forward
          3,072   0%                              - seed7--line-ends-a-statement-p
          3,072   0%                                 looking-at
        271,176   1%                            - seed7-re-search-backward
        153,208   0%                               re-search-backward
        117,968   0%                             - run-with-timer
        117,968   0%                              - run-at-time
         45,552   0%                               - timer-activate
         45,552   0%                                - timer--activate
