    101,171,080  99% - ...
    101,171,080  99%  - #<primitive-function call-interactively>
    101,171,080  99%   - funcall-interactively
    101,171,080  99%    - smex
    101,171,080  99%     - smex-read-and-run
    101,171,080  99%      - execute-extended-command
    101,171,080  99%       - command-execute
    101,171,080  99%        - call-interactively
    101,171,080  99%         - apply
    101,171,080  99%          - call-interactively@ido-cr+-record-current-command
    101,171,080  99%           - #<primitive-function call-interactively>
    101,171,080  99%            - funcall-interactively
    101,171,080  99%             - pel-profile-all
    101,171,080  99%              - pel-profile-dir
    101,171,080  99%               - pel-profile-indent
    101,171,080  99%                - pel-profile-indentation-test-of
     99,601,548  98%                 - call-interactively
     99,601,548  98%                  - apply
     99,601,548  98%                   - call-interactively@ido-cr+-record-current-command
     99,601,548  98%                    - #<primitive-function call-interactively>
     99,601,548  98%                     - funcall-interactively
     99,601,532  98%                      - seed7-complete-statement-or-indent
     99,601,532  98%                       - seed7-indent-region
     99,601,532  98%                        - seed7--indent-one-line
     99,601,532  98%                         - seed7-calc-indent
     37,148,243  36%                          - seed7-line-is-defun-end
     22,121,172  21%                           - seed7-end-of-defun
     18,673,660  18%                            - seed7-top-block-name
     18,636,916  18%                             - seed7--to-top
     18,186,052  17%                              - seed7-re-search-backward
     18,180,960  17%                               - run-with-timer
     18,180,960  17%                                - run-at-time
      8,865,104   8%                                 - timer-activate
      8,865,104   8%                                  - timer--activate
      8,865,104   8%                                     timer--time-less-p
      5,709,712   5%                                   timer-relative-time
      3,606,144   3%                                 - timer-set-time
      3,606,144   3%                                    timer--time-setter
          5,092   0%                               - seed7-inside-string-p
          5,092   0%                                - syntax-ppss
          5,092   0%                                   #<byte-code-function 42D>
        450,864   0%                              - run-with-timer
        450,864   0%                               - run-at-time
        174,096   0%                                - timer-activate
        174,096   0%                                 - timer--activate
        174,096   0%                                    timer--time-less-p
        169,632   0%                                  timer-relative-time
        107,136   0%                                - timer-set-time
        107,136   0%                                   timer--time-setter
         36,744   0%                             - seed7--block-name
         36,744   0%                                match-string
      1,011,182   0%                            - seed7-re-search-forward
        629,230   0%                             - seed7-inside-comment-p
        629,230   0%                              - syntax-ppss
        628,836   0%                               - syntax-propertize
        628,836   0%                                  seed7-mode-syntax-propertize
            394   0%                                 syntax-table
        846,936   0%                              match-string
        523,776   0%                              match-string-no-properties
        450,864   0%                            - seed7-re-search-backward
        450,864   0%                             - run-with-timer
        450,864   0%                              - run-at-time
        174,096   0%                               - timer-activate
        174,096   0%                                - timer--activate
        174,096   0%                                   timer--time-less-p
        169,632   0%                                 timer-relative-time
        107,136   0%                               - timer-set-time
        107,136   0%                                  timer--time-setter
      6,473,742   6%                           - seed7-beg-of-defun
      3,102,712   3%                            - seed7-re-search-backward
      2,565,400   2%                             - run-with-timer
      2,565,400   2%                              - run-at-time
        990,600   0%                               - timer-activate
        990,600   0%                                - timer--activate
        990,600   0%                                   timer--time-less-p
        965,200   0%                                 timer-relative-time
        609,600   0%                               - timer-set-time
        609,600   0%                                  timer--time-setter
        537,312   0%                               re-search-backward
        996,854   0%                            - seed7-top-block-name
        532,477   0%                             - seed7--to-top
        382,189   0%                              - seed7-re-search-backward
        202,141   0%                                 re-search-backward
        180,048   0%                               - run-with-timer
        180,048   0%                                - run-at-time
         87,792   0%                                 - timer-activate
         87,792   0%                                  - timer--activate
         87,792   0%                                     timer--time-less-p
         56,544   0%                                   timer-relative-time
         35,712   0%                                 - timer-set-time
         35,712   0%                                    timer--time-setter
        150,288   0%                              - run-with-timer
        150,288   0%                               - run-at-time
         58,032   0%                                - timer-activate
         58,032   0%                                 - timer--activate
         58,032   0%                                    timer--time-less-p
         56,544   0%                                  timer-relative-time
         35,712   0%                                - timer-set-time
         35,712   0%                                   timer--time-setter
        464,377   0%                             - seed7--block-name
        464,377   0%                                seed7-re-search-forward
        932,547   0%                            - seed7-re-search-backward-closest
        932,547   0%                             - seed7-re-search-backward
        556,019   0%                                re-search-backward
        376,528   0%                              - run-with-timer
        376,528   0%                               - run-at-time
        145,392   0%                                - timer-activate
        145,392   0%                                 - timer--activate
        145,392   0%                                    timer--time-less-p
        141,664   0%                                  timer-relative-time
         89,472   0%                                - timer-set-time
         89,472   0%                                   timer--time-setter
        122,760   0%                              match-string-no-properties
         97,024   0%                              match-string
      4,150,974   4%                           - seed7-line-starts-with-any
      4,150,974   4%                              seed7-line-starts-with
      3,016,229   2%                             looking-back
      1,003,520   0%                           - seed7-move-to-line
      1,003,520   0%                              seed7-to-previous-non-empty-line
        237,416   0%                           - seed7--current-line-nth-word
        237,416   0%                            - thing-at-point
        219,016   0%                             - bounds-of-thing-at-point
         96,256   0%                                re-search-forward
         90,024   0%                              - #<byte-code-function 11A>
         90,024   0%                               - forward-thing
         90,024   0%                                  format
         32,736   0%                              - #<byte-code-function 80C>
         32,736   0%                               - forward-thing
         32,736   0%                                  format
        145,190   0%                           - seed7--safe-current-line-defun-start-indent
        145,190   0%                            - seed7-to-block-backward
        120,638   0%                             - seed7-re-search-backward
         68,680   0%                              - run-with-timer
         68,680   0%                               - run-at-time
         26,520   0%                                - timer-activate
         26,520   0%                                 - timer--activate
         26,520   0%                                    timer--time-less-p
         25,840   0%                                  timer-relative-time
         16,320   0%                                - timer-set-time
         16,320   0%                                   timer--time-setter
         51,958   0%                                re-search-backward
         24,552   0%                             - seed7--current-line-nth-word
         24,552   0%                              - thing-at-point
         16,368   0%                               - bounds-of-thing-at-point
         16,368   0%                                - #<byte-code-function 5AE>
         16,368   0%                                 - forward-thing
         16,368   0%                                    format
     21,009,745  20%                          - seed7-line-inside-a-block-cached
     21,009,745  20%                           - seed7-line-inside-a-block
     14,422,305  14%                            - seed7--safe-enclosing-block-bounds
     14,422,305  14%                             - seed7--block-end-pos-for
     13,813,673  13%                              - seed7-to-block-forward
      9,865,081   9%                               - seed7-end-of-defun
      9,580,071   9%                                - seed7-top-block-name
      9,541,439   9%                                 - seed7--to-top
      9,389,535   9%                                  - seed7-re-search-backward
      9,326,680   9%                                   - run-with-timer
      9,326,680   9%                                    - run-at-time
      4,547,720   4%                                     - timer-activate
      4,547,720   4%                                      - timer--activate
      4,547,720   4%                                         timer--time-less-p
      2,929,040   2%                                       timer-relative-time
      1,849,920   1%                                     - timer-set-time
      1,849,920   1%                                        timer--time-setter
         54,471   0%                                   - seed7-inside-comment-p
         54,471   0%                                    - syntax-ppss
         54,471   0%                                     - syntax-propertize
         54,471   0%                                        seed7-mode-syntax-propertize
          8,384   0%                                     re-search-backward
        151,904   0%                                  - run-with-timer
        151,904   0%                                   - run-at-time
         58,656   0%                                    - timer-activate
         58,656   0%                                     - timer--activate
         58,656   0%                                        timer--time-less-p
         57,152   0%                                      timer-relative-time
         36,096   0%                                    - timer-set-time
         36,096   0%                                       timer--time-setter
         38,632   0%                                 - seed7--block-name
         17,384   0%                                    match-string
         13,064   0%                                    seed7-re-search-forward
        151,904   0%                                - seed7-re-search-backward
        151,904   0%                                 - run-with-timer
        151,904   0%                                  - run-at-time
         58,656   0%                                   - timer-activate
         58,656   0%                                    - timer--activate
         58,656   0%                                       timer--time-less-p
         57,152   0%                                     timer-relative-time
         36,096   0%                                   - timer-set-time
         36,096   0%                                      timer--time-setter
         54,256   0%                                  seed7-re-search-forward
          9,200   0%                                  match-string
      2,208,762   2%                               - seed7-re-search-forward
        245,365   0%                                - seed7-inside-comment-p
        245,365   0%                                 - syntax-ppss
        245,365   0%                                  - syntax-propertize
        245,365   0%                                     seed7-mode-syntax-propertize
      1,015,040   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        634,766   0%                               - seed7--current-line-nth-word
        634,766   0%                                - thing-at-point
        545,870   0%                                 - bounds-of-thing-at-point
        237,336   0%                                  - #<byte-code-function 073>
        237,336   0%                                   - forward-thing
        237,336   0%                                      format
        220,968   0%                                  - #<byte-code-function 57C>
        220,968   0%                                   - forward-thing
        220,968   0%                                      format
         87,566   0%                                    re-search-forward
         90,024   0%                               - seed7--end-regexp-for
          8,184   0%                                  seed7--type-regexp
        491,896   0%                              - seed7--line-ends-a-statement-p
        414,072   0%                                 looking-at
         77,824   0%                               - forward-sexp
         77,824   0%                                  seed7--forward-sexp-function
          9,216   0%                              - seed7-re-search-forward-closest
          9,216   0%                                 seed7-re-search-forward
      3,180,040   3%                            - seed7-re-search-backward
      1,921,424   1%                             - run-with-timer
      1,921,424   1%                              - run-at-time
        741,936   0%                               - timer-activate
        741,936   0%                                - timer--activate
        741,936   0%                                   timer--time-less-p
        722,912   0%                                 timer-relative-time
        456,576   0%                               - timer-set-time
        456,576   0%                                  timer--time-setter
      1,258,616   1%                               re-search-backward
      1,932,272   1%                            - seed7-calc-indent
      1,012,832   0%                             - seed7-line-is-defun-end
        602,094   0%                              - seed7-end-of-defun
        491,288   0%                               - seed7-top-block-name
        491,288   0%                                - seed7--to-top
        474,320   0%                                 - seed7-re-search-backward
        474,320   0%                                  - run-with-timer
        474,320   0%                                   - run-at-time
        231,280   0%                                    - timer-activate
        231,280   0%                                     - timer--activate
        231,280   0%                                        timer--time-less-p
        148,960   0%                                      timer-relative-time
         94,080   0%                                    - timer-set-time
         94,080   0%                                       timer--time-setter
         16,968   0%                                 - run-with-timer
         16,968   0%                                  - run-at-time
          6,552   0%                                   - timer-activate
          6,552   0%                                    - timer--activate
          6,552   0%                                       timer--time-less-p
          6,384   0%                                     timer-relative-time
          4,032   0%                                   - timer-set-time
          4,032   0%                                      timer--time-setter
         47,864   0%                                 match-string
         16,968   0%                               - seed7-re-search-backward
         16,968   0%                                - run-with-timer
         16,968   0%                                 - run-at-time
          6,552   0%                                  - timer-activate
          6,552   0%                                   - timer--activate
          6,552   0%                                      timer--time-less-p
          6,384   0%                                    timer-relative-time
          4,032   0%                                  - timer-set-time
          4,032   0%                                     timer--time-setter
         14,592   0%                                 seed7-re-search-forward
          8,184   0%                                 match-string-no-properties
        188,960   0%                              - seed7-beg-of-defun
         66,640   0%                               - seed7-re-search-backward-closest
         66,640   0%                                - seed7-re-search-backward
         45,632   0%                                   re-search-backward
         21,008   0%                                 - run-with-timer
         21,008   0%                                  - run-at-time
          8,112   0%                                   - timer-activate
          8,112   0%                                    - timer--activate
          8,112   0%                                       timer--time-less-p
          7,904   0%                                     timer-relative-time
          4,992   0%                                   - timer-set-time
          4,992   0%                                      timer--time-setter
         45,945   0%                               - seed7-re-search-backward
         33,825   0%                                  re-search-backward
         12,120   0%                                - run-with-timer
         12,120   0%                                 - run-at-time
          4,680   0%                                  - timer-activate
          4,680   0%                                   - timer--activate
          4,680   0%                                      timer--time-less-p
          4,560   0%                                    timer-relative-time
          2,880   0%                                  - timer-set-time
          2,880   0%                                     timer--time-setter
         32,647   0%                               - seed7-top-block-name
         19,765   0%                                - seed7--to-top
         14,109   0%                                 - seed7-re-search-backward
          7,333   0%                                    re-search-backward
          6,776   0%                                  - run-with-timer
          6,776   0%                                   - run-at-time
          3,304   0%                                    - timer-activate
          3,304   0%                                     - timer--activate
          3,304   0%                                        timer--time-less-p
          2,128   0%                                      timer-relative-time
          1,344   0%                                    - timer-set-time
          1,344   0%                                       timer--time-setter
          5,656   0%                                 - run-with-timer
          5,656   0%                                  - run-at-time
          2,184   0%                                   - timer-activate
          2,184   0%                                    - timer--activate
          2,184   0%                                       timer--time-less-p
          2,128   0%                                     timer-relative-time
          1,344   0%                                   - timer-set-time
          1,344   0%                                      timer--time-setter
         12,882   0%                                - seed7--block-name
         12,882   0%                                   seed7-re-search-forward
        173,658   0%                              - seed7-line-starts-with-any
        173,658   0%                                 seed7-line-starts-with
         43,008   0%                                looking-back
          4,096   0%                              - seed7-move-to-line
          4,096   0%                                 seed7-to-previous-non-empty-line
          1,016   0%                              - seed7--current-line-nth-word
          1,016   0%                                 thing-at-point
        386,240   0%                             - seed7-line-inside-parens-pair-column
        386,240   0%                              - seed7-line-inside-parens-pair
        365,760   0%                               - seed7-re-search-backward
        340,168   0%                                - run-with-timer
        340,168   0%                                 - run-at-time
        131,352   0%                                  - timer-activate
        131,352   0%                                   - timer--activate
        131,352   0%                                      timer--time-less-p
        127,984   0%                                    timer-relative-time
         80,832   0%                                  - timer-set-time
         80,832   0%                                     timer--time-setter
         25,592   0%                                  re-search-backward
         20,480   0%                               - forward-sexp
         20,480   0%                                  seed7--forward-sexp-function
        178,352   0%                             - seed7-line-inside-a-block-cached
        178,352   0%                              - seed7-line-inside-a-block
        103,736   0%                               - seed7--safe-enclosing-block-bounds
