      2,269,730 100% - ...
      2,269,730 100%  - #<primitive-function call-interactively>
      2,269,730 100%   - funcall-interactively
      2,269,730 100%    - smex
      2,269,730 100%     - smex-read-and-run
      2,269,730 100%      - execute-extended-command
      2,269,730 100%       - command-execute
      2,269,730 100%        - call-interactively
      2,269,730 100%         - apply
      2,269,730 100%          - call-interactively@ido-cr+-record-current-command
      2,269,730 100%           - #<primitive-function call-interactively>
      2,269,730 100%            - funcall-interactively
      2,269,730 100%             - pel-profile-all
      2,269,730 100%              - pel-profile-dir
      2,269,730 100%               - pel-profile-indent
      2,269,730 100%                - pel-profile-indentation-test-of
      1,561,084  68%                   profiler-stop
        708,646  31%                 - call-interactively
        708,646  31%                  - apply
        708,646  31%                   - call-interactively@ido-cr+-record-current-command
        708,646  31%                    - #<primitive-function call-interactively>
        708,646  31%                     - funcall-interactively
        708,630  31%                      - seed7-complete-statement-or-indent
        708,630  31%                       - seed7-indent-region
        708,630  31%                        - seed7--indent-one-line
        708,630  31%                         - seed7-calc-indent
        147,052   6%                          - seed7-line-inside-a-block-cached
        147,052   6%                           - seed7-line-inside-a-block
         86,988   3%                            - seed7--safe-enclosing-block-bounds
         86,988   3%                             - seed7--block-end-pos-for
         80,844   3%                              - seed7-to-block-forward
         42,208   1%                               - seed7-end-of-defun
         25,672   1%                                - seed7-top-block-name
         20,016   0%                                 - seed7--to-top
         13,552   0%                                  - seed7-re-search-backward
         11,312   0%                                   - run-with-timer
         11,312   0%                                    - run-at-time
          4,368   0%                                     - timer-activate
          4,368   0%                                      - timer--activate
          4,368   0%                                         timer--time-less-p
          4,256   0%                                       timer-relative-time
          2,688   0%                                     - timer-set-time
          2,688   0%                                        timer--time-setter
          2,240   0%                                     re-search-backward
          6,464   0%                                  - run-with-timer
          6,464   0%                                   - run-at-time
          2,496   0%                                    - timer-activate
          2,496   0%                                     - timer--activate
          2,496   0%                                        timer--time-less-p
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
          5,656   0%                                 - seed7--block-name
          4,640   0%                                    seed7-re-search-forward
          1,016   0%                                    match-string
          6,464   0%                                - seed7-re-search-backward
          6,464   0%                                 - run-with-timer
          6,464   0%                                  - run-at-time
          2,496   0%                                   - timer-activate
          2,496   0%                                    - timer--activate
          2,496   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
          4,096   0%                                  seed7-re-search-forward
          1,016   0%                                  match-string
         16,140   0%                                 seed7-re-search-forward
         12,256   0%                               - seed7--current-line-nth-word
         12,256   0%                                - thing-at-point
          9,208   0%                                 - bounds-of-thing-at-point
          8,184   0%                                  - #<byte-code-function 00A>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
          1,024   0%                                    re-search-forward
         10,240   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          6,144   0%                              - seed7--line-ends-a-statement-p
          6,144   0%                                 looking-at
         27,464   1%                            - seed7-calc-indent
          5,112   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
          1,016   0%                              - seed7--current-line-nth-word
          1,016   0%                                 thing-at-point
          3,120   0%                             - seed7-line-inside-a-block-cached
          3,120   0%                              - seed7-line-inside-a-block
          3,120   0%                               - seed7-re-search-backward
          1,616   0%                                - run-with-timer
          1,616   0%                                 - run-at-time
            624   0%                                  - timer-activate
            624   0%                                   - timer--activate
            624   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,504   0%                                  re-search-backward
          2,640   0%                             - seed7-line-at-endof-array-definition-block
