        4735  93% - ...
        4735  93%  - pel-profile-indent
        4735  93%   - pel-profile-indentation-test-of
        4735  93%    - call-interactively
        4735  93%     - apply
        4735  93%      - call-interactively@ido-cr+-record-current-command
        4735  93%       - #<primitive-function call-interactively>
        4735  93%        - funcall-interactively
        4684  92%         - pel-profile-all
        4684  92%          - pel-profile-dir
        4684  92%           - pel-profile-indent
        4684  92%            - pel-profile-indentation-test-of
        4684  92%             - call-interactively
        4684  92%              - apply
        4684  92%               - call-interactively@ido-cr+-record-current-command
        4684  92%                - #<primitive-function call-interactively>
        4684  92%                 - funcall-interactively
        4684  92%                  - seed7-complete-statement-or-indent
        4684  92%                   - seed7-indent-region
        4684  92%                    - seed7--indent-one-line
        4684  92%                     - seed7-calc-indent
        3216  63%                      - seed7--indent-search-boundary
        3215  63%                       - seed7--indent-search-boundary-uncached
        3195  63%                        - syntax-ppss
        3179  62%                           parse-partial-sexp
           4   0%                           #<byte-code-function FF4>
           3   0%                           syntax-ppss--update-stats
           1   0%                           syntax-ppss--data
           1   0%                           syntax-table
           1   0%                           syntax-ppss-toplevel-pos
           4   0%                          seed7-to-indent
         640  12%                      - seed7-line-is-defun-end
         527  10%                       - seed7-end-of-defun
         480   9%                        - seed7-top-block-name
         477   9%                         - seed7--to-top
         470   9%                          - seed7-re-search-backward
         275   5%                           - seed7-inside-comment-p
         275   5%                            - syntax-ppss
         275   5%                               parse-partial-sexp
         186   3%                           - run-with-timer
         186   3%                            - run-at-time
         128   2%                             - timer-activate
         128   2%                              - timer--activate
         128   2%                               - timer--time-less-p
           1   0%                                  timer--time
          53   1%                             - timer-set-time
          53   1%                                timer--time-setter
           4   0%                               timer-relative-time
           6   0%                             re-search-backward
           2   0%                             seed7-inside-string-p
           5   0%                          - run-with-timer
           5   0%                           - run-at-time
           4   0%                            - timer-set-time
           4   0%                               timer--time-setter
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                            seed7-to-indent
           3   0%                         - seed7--block-name
           3   0%                          - seed7-re-search-forward
           1   0%                           - seed7-inside-string-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
          44   0%                        - seed7-re-search-forward
          20   0%                         - seed7-inside-comment-p
          20   0%                          - syntax-ppss
          18   0%                             parse-partial-sexp
           2   0%                           - syntax-propertize
           1   0%                              seed7-mode-syntax-propertize
          12   0%                         - seed7-inside-string-p
          12   0%                          - syntax-ppss
          12   0%                             parse-partial-sexp
           3   0%                        - seed7-re-search-backward
           2   0%                         - run-with-timer
           2   0%                          - run-at-time
           2   0%                           - timer-activate
           2   0%                            - timer--activate
           2   0%                               timer--time-less-p
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
         103   2%                       - seed7-beg-of-defun
          52   1%                        - seed7-re-search-backward
          25   0%                         - run-with-timer
          25   0%                          - run-at-time
          16   0%                           - timer-activate
          16   0%                            - timer--activate
          16   0%                               timer--time-less-p
           9   0%                           - timer-set-time
           9   0%                              timer--time-setter
          22   0%                         - seed7-inside-comment-p
          22   0%                          - syntax-ppss
          22   0%                             parse-partial-sexp
           4   0%                           re-search-backward
           1   0%                         - #<byte-code-function A70>
           1   0%                            cancel-timer
          49   0%                        - seed7-re-search-backward-closest
          49   0%                         - seed7-re-search-backward
          37   0%                            re-search-backward
          12   0%                          - run-with-timer
          12   0%                           - run-at-time
           8   0%                            - timer-activate
           8   0%                             - timer--activate
           8   0%                                timer--time-less-p
           3   0%                            - timer-set-time
           3   0%                               timer--time-setter
           1   0%                              timer-relative-time
           1   0%                        - seed7-top-block-name
           1   0%                         - seed7--to-top
           1   0%                          - seed7-re-search-backward
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           5   0%                       - seed7--safe-current-line-defun-start-indent
