          30  66% - ...
          30  66%  - funcall-interactively
          30  66%   - pel-profile-all
          30  66%    - pel-profile-dir
          30  66%     - pel-profile-indent
          30  66%      - pel-profile-indentation-test-of
          30  66%       - call-interactively
          30  66%        - apply
          30  66%         - call-interactively@ido-cr+-record-current-command
          30  66%          - #<primitive-function call-interactively>
          30  66%           - funcall-interactively
          30  66%            - seed7-complete-statement-or-indent
          30  66%             - seed7-indent-region
          30  66%              - seed7--indent-one-line
          30  66%               - seed7-calc-indent
           9  20%                - seed7--indent-search-boundary
           9  20%                 - seed7--indent-search-boundary-uncached
           8  17%                  - syntax-ppss
           8  17%                     parse-partial-sexp
           8  17%                - seed7-line-inside-a-block-cached
           8  17%                 - seed7-line-inside-a-block
           4   8%                  - seed7-re-search-backward
           3   6%                   - run-with-timer
           3   6%                    - run-at-time
           2   4%                     - timer-activate
           2   4%                      - timer--activate
           2   4%                         timer--time-less-p
           1   2%                     - timer-set-time
           1   2%                        timer--time-setter
           1   2%                   - seed7-inside-comment-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           4   8%                  - seed7--safe-enclosing-block-bounds
           4   8%                   - seed7--block-end-pos-for
           4   8%                    - seed7-to-block-forward
           2   4%                     - seed7-re-search-forward
           1   2%                      - seed7-inside-string-p
           1   2%                       - syntax-ppss
           1   2%                          parse-partial-sexp
           1   2%                     - seed7--current-line-nth-word
           1   2%                      - thing-at-point
           1   2%                       - bounds-of-thing-at-point
           1   2%                        - #<byte-code-function 571>
           1   2%                         - forward-thing
           1   2%                            forward-word
           1   2%                     - seed7-end-of-defun
           1   2%                      - seed7-top-block-name
           1   2%                       - seed7--to-top
           1   2%                        - seed7-re-search-backward
           1   2%                         - run-with-timer
           1   2%                          - run-at-time
           1   2%                           - timer-activate
           1   2%                            - timer--activate
           1   2%                               timer--time-less-p
           6  13%                - seed7-comment-column
           5  11%                 - seed7-calc-indent
           3   6%                  - seed7-line-after-short-func-end
           3   6%                   - seed7-move-to-line
           3   6%                    - seed7-to-previous-non-empty-line
           3   6%                     - seed7-inside-comment-p
           3   6%                      - syntax-ppss
           3   6%                         parse-partial-sexp
           1   2%                  - seed7-line-inside-a-block-cached
           1   2%                   - seed7-line-inside-a-block
           1   2%                    - seed7-re-search-backward
           1   2%                       re-search-backward
           1   2%                  - seed7-line-after-func-return-logic-operator-column
           1   2%                   - seed7-move-to-line
           1   2%                    - seed7-to-previous-non-empty-line
           1   2%                     - seed7-inside-comment-p
           1   2%                      - syntax-ppss
           1   2%                         set-syntax-table
           1   2%                 - seed7-line-code-ends-with
           1   2%                  - seed7-move-to-line
           1   2%                     seed7-to-previous-non-empty-line
           2   4%                - seed7-line-inside-set-definition-block
           2   4%                 - seed7-re-search-backward
           2   4%                    re-search-backward
           2   4%                - seed7-line-inside-argument-list-section
           2   4%                 - seed7-re-search-backward
           2   4%                  - run-with-timer
           2   4%                   - run-at-time
           1   2%                    - timer-set-time
           1   2%                       timer--time-setter
           1   2%                    - timer-activate
           1   2%                     - timer--activate
           1   2%                        timer--time-less-p
           1   2%                - seed7-line-inside-assign-statement-continuation
           1   2%                 - seed7-assign-op-pos
           1   2%                  - seed7-re-search-backward
           1   2%                     re-search-backward
           1   2%                - seed7-line-inside-parens-pair-column
           1   2%                 - seed7-line-inside-parens-pair
           1   2%                  - seed7-re-search-backward
           1   2%                   - run-with-timer
           1   2%                    - run-at-time
           1   2%                     - timer-set-time
           1   2%                        timer--time-setter
           1   2%                - seed7-line-inside-until-logic-expression
           1   2%                 - seed7-re-search-backward
           1   2%                  - run-with-timer
           1   2%                   - run-at-time
           1   2%                    - timer-activate
           1   2%                     - timer--activate
           1   2%                        timer--time-less-p
          15  33%   Automatic GC
