     12,210,568  99% - ...
     12,210,568  99%  - #<primitive-function call-interactively>
     12,210,568  99%   - funcall-interactively
     12,210,568  99%    - smex
     12,210,568  99%     - smex-read-and-run
     12,210,568  99%      - execute-extended-command
     12,210,568  99%       - command-execute
     12,210,568  99%        - call-interactively
     12,210,568  99%         - apply
     12,210,568  99%          - call-interactively@ido-cr+-record-current-command
     12,210,568  99%           - #<primitive-function call-interactively>
     12,210,568  99%            - funcall-interactively
     12,210,568  99%             - pel-profile-all
     12,210,568  99%              - pel-profile-dir
     12,210,568  99%               - pel-profile-indent
     12,210,568  99%                - pel-profile-indentation-test-of
     10,646,668  87%                 - call-interactively
     10,646,668  87%                  - apply
     10,646,668  87%                   - call-interactively@ido-cr+-record-current-command
     10,646,668  87%                    - #<primitive-function call-interactively>
     10,646,668  87%                     - funcall-interactively
     10,646,652  87%                      - seed7-complete-statement-or-indent
     10,646,652  87%                       - seed7-indent-region
     10,646,652  87%                        - seed7--indent-one-line
     10,646,652  87%                         - seed7-calc-indent
      2,192,028  17%                          - seed7-line-inside-a-block-cached
      2,192,028  17%                           - seed7-line-inside-a-block
      1,120,822   9%                            - seed7--safe-enclosing-block-bounds
      1,120,822   9%                             - seed7--block-end-pos-for
      1,055,094   8%                              - seed7-to-block-forward
        390,663   3%                               - seed7-re-search-forward
         15,664   0%                                - seed7-inside-comment-p
         15,664   0%                                 - syntax-ppss
         15,664   0%                                  - syntax-propertize
         15,664   0%                                     seed7-mode-syntax-propertize
        337,903   2%                               - seed7-end-of-defun
        258,937   2%                                - seed7-top-block-name
        242,561   1%                                 - seed7--to-top
        211,585   1%                                  - seed7-re-search-backward
        193,600   1%                                   - run-with-timer
        193,600   1%                                    - run-at-time
         94,400   0%                                     - timer-activate
         94,400   0%                                      - timer--activate
         94,400   0%                                         timer--time-less-p
         60,800   0%                                       timer-relative-time
         38,400   0%                                     - timer-set-time
         38,400   0%                                        timer--time-setter
          9,793   0%                                   - seed7-inside-comment-p
          9,793   0%                                    - syntax-ppss
          9,793   0%                                     - syntax-propertize
          9,793   0%                                        seed7-mode-syntax-propertize
          8,192   0%                                     re-search-backward
         30,976   0%                                  - run-with-timer
         30,976   0%                                   - run-at-time
         15,104   0%                                    - timer-activate
         15,104   0%                                     - timer--activate
         15,104   0%                                        timer--time-less-p
          9,728   0%                                      timer-relative-time
          6,144   0%                                    - timer-set-time
          6,144   0%                                       timer--time-setter
         16,376   0%                                 - seed7--block-name
          8,192   0%                                    seed7-re-search-forward
          8,184   0%                                    match-string
         35,710   0%                                - seed7-re-search-forward
         12,280   0%                                 - seed7-inside-comment-p
         12,280   0%                                  - syntax-ppss
         12,280   0%                                   - syntax-propertize
         12,280   0%                                      seed7-mode-syntax-propertize
         30,976   0%                                - seed7-re-search-backward
         30,976   0%                                 - run-with-timer
         30,976   0%                                  - run-at-time
         15,104   0%                                   - timer-activate
         15,104   0%                                    - timer--activate
         15,104   0%                                       timer--time-less-p
          9,728   0%                                     timer-relative-time
          6,144   0%                                   - timer-set-time
          6,144   0%                                      timer--time-setter
          1,016   0%                                  match-string
        188,416   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        121,744   0%                               - seed7--current-line-nth-word
        121,744   0%                                - thing-at-point
        121,744   0%                                 - bounds-of-thing-at-point
         73,656   0%                                  - #<byte-code-function 324>
         73,656   0%                                   - forward-thing
         73,656   0%                                      format
         40,920   0%                                  - #<byte-code-function A0C>
         40,920   0%                                   - forward-thing
         40,920   0%                                      format
          7,168   0%                                    re-search-forward
         16,368   0%                                 seed7--end-regexp-for
         51,392   0%                              - seed7--line-ends-a-statement-p
         43,200   0%                                 looking-at
          8,192   0%                               - forward-sexp
          8,192   0%                                  seed7--forward-sexp-function
        712,278   5%                            - seed7-re-search-backward
        484,000   3%                             - run-with-timer
        484,000   3%                              - run-at-time
        236,000   1%                               - timer-activate
        236,000   1%                                - timer--activate
        236,000   1%                                   timer--time-less-p
        152,000   1%                                 timer-relative-time
         96,000   0%                               - timer-set-time
         96,000   0%                                  timer--time-setter
        228,278   1%                               re-search-backward
        212,968   1%                            - replace-regexp-in-string
          8,184   0%                               concat
         71,240   0%                            - seed7-calc-indent
         12,280   0%                               seed7-line-after-short-func-end
         11,784   0%                             - seed7-line-at-endof-array-definition-block
          5,920   0%                              - seed7-line-code-ends-with
          5,920   0%                               - seed7-re-search-backward
          3,872   0%                                - run-with-timer
          3,872   0%                                 - run-at-time
          1,888   0%                                  - timer-activate
          1,888   0%                                   - timer--activate
          1,888   0%                                      timer--time-less-p
          1,216   0%                                    timer-relative-time
            768   0%                                  - timer-set-time
            768   0%                                     timer--time-setter
          2,048   0%                                  re-search-backward
          3,872   0%                              - backward-sexp
          3,872   0%                               - forward-sexp
          3,872   0%                                - seed7--forward-sexp-function
          1,936   0%                                 - seed7--at-array-definition-end-line-p
          1,936   0%                                  - seed7-line-code-ends-with
          1,936   0%                                   - seed7-re-search-backward
          1,936   0%                                    - run-with-timer
          1,936   0%                                     - run-at-time
            944   0%                                      - timer-activate
            944   0%                                       - timer--activate
            944   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          1,936   0%                                 - seed7--at-set-definition-end-line-p
          1,936   0%                                  - seed7-line-code-ends-with
          1,936   0%                                   - seed7-re-search-backward
          1,936   0%                                    - run-with-timer
          1,936   0%                                     - run-at-time
            944   0%                                      - timer-activate
            944   0%                                       - timer--activate
            944   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          1,024   0%                                looking-at
            968   0%                              - seed7-re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
         11,040   0%                             - seed7-line-inside-a-block-cached
         11,040   0%                              - seed7-line-inside-a-block
          5,120   0%                               - seed7--safe-enclosing-block-bounds
          5,120   0%                                - seed7--block-end-pos-for
          3,072   0%                                 - seed7--line-ends-a-statement-p
          3,072   0%                                    looking-at
          2,048   0%                                 - seed7-to-block-forward
          1,024   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          1,024   0%                                    seed7-re-search-forward
          4,896   0%                               - seed7-re-search-backward
          3,872   0%                                - run-with-timer
          3,872   0%                                 - run-at-time
          1,888   0%                                  - timer-activate
          1,888   0%                                   - timer--activate
          1,888   0%                                      timer--time-less-p
          1,216   0%                                    timer-relative-time
            768   0%                                  - timer-set-time
            768   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          1,024   0%                                 replace-regexp-in-string
          7,000   0%                             - seed7-line-inside-parens-pair-column
          7,000   0%                              - seed7-line-inside-parens-pair
          4,952   0%                               - seed7-re-search-backward
          2,904   0%                                - run-with-timer
          2,904   0%                                 - run-at-time
          1,416   0%                                  - timer-activate
          1,416   0%                                   - timer--activate
          1,416   0%                                      timer--time-less-p
            912   0%                                    timer-relative-time
            576   0%                                  - timer-set-time
            576   0%                                     timer--time-setter
          2,048   0%                                  re-search-backward
          2,048   0%                               - forward-sexp
          2,048   0%                                  seed7--forward-sexp-function
          4,096   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
          3,984   0%                             - seed7-line-inside-array-definition-block
          3,984   0%                              - seed7-re-search-backward
          2,048   0%                                 re-search-backward
          1,936   0%                               - run-with-timer
          1,936   0%                                - run-at-time
            944   0%                                 - timer-activate
            944   0%                                  - timer--activate
            944   0%                                     timer--time-less-p
