          25  67% - ...
          25  67%  - funcall-interactively
          25  67%   - pel-profile-all
          25  67%    - pel-profile-dir
          25  67%     - pel-profile-indent
          25  67%      - pel-profile-indentation-test-of
          25  67%       - call-interactively
          25  67%        - apply
          25  67%         - call-interactively@ido-cr+-record-current-command
          25  67%          - #<primitive-function call-interactively>
          25  67%           - funcall-interactively
          25  67%            - seed7-complete-statement-or-indent
          25  67%             - seed7-indent-region
          25  67%              - seed7--indent-one-line
          25  67%               - seed7-calc-indent
           6  16%                - seed7-comment-column
           6  16%                 - seed7-calc-indent
           2   5%                  - seed7-line-at-endof-array-definition-block
           2   5%                   - seed7-move-to-line
           2   5%                    - seed7-to-previous-non-empty-line
           2   5%                     - seed7-inside-comment-p
           2   5%                      - syntax-ppss
           2   5%                         parse-partial-sexp
           2   5%                  - seed7-line-inside-parens-pair-column
           2   5%                   - seed7-line-inside-parens-pair
           2   5%                    - seed7-re-search-backward
           2   5%                     - seed7-inside-comment-p
           2   5%                      - syntax-ppss
           2   5%                         parse-partial-sexp
           1   2%                  - seed7-line-after-short-func-end
           1   2%                   - seed7-move-to-line
           1   2%                    - seed7-to-previous-non-empty-line
           1   2%                     - seed7-inside-comment-p
           1   2%                      - syntax-ppss
           1   2%                         parse-partial-sexp
           1   2%                  - seed7-line-after-func-return-logic-operator-column
           1   2%                   - seed7-move-to-line
           1   2%                    - seed7-to-previous-non-empty-line
           1   2%                     - seed7-inside-comment-p
           1   2%                      - syntax-ppss
           1   2%                         parse-partial-sexp
           6  16%                - seed7--indent-search-boundary
           6  16%                 - seed7--indent-search-boundary-uncached
           5  13%                  - syntax-ppss
           4  10%                     parse-partial-sexp
           1   2%                     syntax-ppss--data
           4  10%                - seed7-line-inside-a-block-cached
           4  10%                 - seed7-line-inside-a-block
           2   5%                  - seed7--safe-enclosing-block-bounds
           2   5%                   - seed7--block-end-pos-for
           2   5%                    - seed7-to-block-forward
           2   5%                     - seed7-end-of-defun
           1   2%                      - seed7-re-search-backward
           1   2%                       - seed7-inside-string-p
           1   2%                        - syntax-ppss
           1   2%                           parse-partial-sexp
           1   2%                      - seed7-top-block-name
           1   2%                       - seed7--to-top
           1   2%                        - run-with-timer
           1   2%                         - run-at-time
           1   2%                          - timer-activate
           1   2%                           - timer--activate
           1   2%                              timer--time-less-p
           1   2%                  - seed7-calc-indent
           1   2%                   - seed7-line-after-short-func-end
           1   2%                    - seed7-move-to-line
           1   2%                       seed7-to-previous-non-empty-line
           1   2%                  - seed7-re-search-backward
           1   2%                   - run-with-timer
           1   2%                    - run-at-time
           1   2%                     - timer-activate
           1   2%                      - timer--activate
           1   2%                         timer--time-less-p
           3   8%                - seed7-line-inside-parens-pair-column
           3   8%                 - seed7-line-inside-parens-pair
           3   8%                  - seed7-re-search-backward
           3   8%                   - run-with-timer
           3   8%                    - run-at-time
           3   8%                     - timer-activate
           3   8%                      - timer--activate
           3   8%                         timer--time-less-p
           2   5%                - seed7--current-line-nth-word
           2   5%                 - thing-at-point
           2   5%                  - bounds-of-thing-at-point
           2   5%                   - #<byte-code-function E7E>
           2   5%                    - forward-thing
           2   5%                     - forward-word
           2   5%                      - internal--syntax-propertize
           2   5%                       - syntax-propertize
           2   5%                          seed7-mode-syntax-propertize
           1   2%                - seed7-line-inside-assign-statement-continuation
           1   2%                 - seed7-assign-op-pos
           1   2%                  - seed7-re-search-backward
           1   2%                   - seed7-inside-string-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           1   2%                - seed7-line-inside-func-return-statement
           1   2%                 - seed7-re-search-backward
           1   2%                  - run-with-timer
           1   2%                   - run-at-time
           1   2%                    - timer-activate
           1   2%                     - timer--activate
           1   2%                        timer--time-less-p
           1   2%                - seed7-line-inside-argument-list-section
           1   2%                 - seed7-re-search-backward
           1   2%                  - run-with-timer
           1   2%                   - run-at-time
           1   2%                    - timer-activate
           1   2%                     - timer--activate
           1   2%                        timer--time-less-p
           1   2%                - seed7-line-is-defun-end
           1   2%                 - seed7-beg-of-defun
           1   2%                  - seed7-re-search-backward-closest
           1   2%                   - seed7-re-search-backward
           1   2%                    - run-with-timer
           1   2%                     - run-at-time
           1   2%                      - timer-activate
           1   2%                       - timer--activate
           1   2%                          timer--time-less-p
          12  32%   Automatic GC
