      4,298,161  99% - ...
      4,298,161  99%  - #<primitive-function call-interactively>
      4,298,161  99%   - funcall-interactively
      4,298,161  99%    - smex
      4,298,161  99%     - smex-read-and-run
      4,298,161  99%      - execute-extended-command
      4,298,161  99%       - command-execute
      4,298,161  99%        - call-interactively
      4,298,161  99%         - apply
      4,298,161  99%          - call-interactively@ido-cr+-record-current-command
      4,298,161  99%           - #<primitive-function call-interactively>
      4,298,161  99%            - funcall-interactively
      4,298,161  99%             - pel-profile-all
      4,298,161  99%              - pel-profile-dir
      4,298,161  99%               - pel-profile-indent
      4,298,161  99%                - pel-profile-indentation-test-of
      2,732,933  63%                 - call-interactively
      2,732,933  63%                  - apply
      2,732,933  63%                   - call-interactively@ido-cr+-record-current-command
      2,732,933  63%                    - #<primitive-function call-interactively>
      2,732,933  63%                     - funcall-interactively
      2,732,917  63%                      - seed7-complete-statement-or-indent
      2,732,917  63%                       - seed7-indent-region
      2,732,917  63%                        - seed7--indent-one-line
      2,728,773  63%                         - seed7-calc-indent
        538,543  12%                          - seed7-line-inside-a-block-cached
        538,543  12%                           - seed7-line-inside-a-block
        307,231   7%                            - seed7--safe-enclosing-block-bounds
        307,231   7%                             - seed7--block-end-pos-for
        284,711   6%                              - seed7-to-block-forward
        106,011   2%                               - seed7-re-search-forward
         24,864   0%                                - seed7-inside-string-p
         16,576   0%                                 - syntax-ppss
         16,576   0%                                    make-closure
          8,288   0%                                - seed7-inside-comment-p
          8,288   0%                                 - syntax-ppss
          8,288   0%                                    make-closure
         71,160   1%                               - seed7--current-line-nth-word
         58,728   1%                                - thing-at-point
         50,544   1%                                 - bounds-of-thing-at-point
         16,576   0%                                    make-closure
          8,184   0%                                  - #<byte-code-function C95>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
          8,184   0%                                  - #<byte-code-function 173>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
          4,144   0%                                  - seq-some
          4,144   0%                                     make-closure
          1,024   0%                                    re-search-forward
         46,128   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          4,144   0%                                  seed7-inside-line-indent-before-comment-p
         40,692   0%                               - seed7-end-of-defun
         24,404   0%                                - seed7-top-block-name
         19,824   0%                                 - seed7--to-top
         13,360   0%                                  - seed7-re-search-backward
         11,312   0%                                   - run-with-timer
         11,312   0%                                    - run-at-time
          4,368   0%                                     - timer-activate
          4,368   0%                                      - timer--activate
          4,368   0%                                         timer--time-less-p
          4,256   0%                                       timer-relative-time
          2,688   0%                                     - timer-set-time
          2,688   0%                                        timer--time-setter
          2,048   0%                                     re-search-backward
          6,464   0%                                  - run-with-timer
          6,464   0%                                   - run-at-time
          2,496   0%                                    - timer-activate
          2,496   0%                                     - timer--activate
          2,496   0%                                        timer--time-less-p
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
          4,580   0%                                 - seed7--block-name
          4,580   0%                                    seed7-re-search-forward
          6,464   0%                                - seed7-re-search-backward
          6,464   0%                                 - run-with-timer
          6,464   0%                                  - run-at-time
          2,496   0%                                   - timer-activate
          2,496   0%                                    - timer--activate
          2,496   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
          4,096   0%                                  seed7-re-search-forward
         16,576   0%                                 seed7-inside-line-indent-before-comment-p
          4,144   0%                               - seed7-inside-comment-p
          4,144   0%                                - syntax-ppss
          4,144   0%                                   make-closure
         14,328   0%                              - seed7--line-ends-a-statement-p
         14,328   0%                                 looking-at
          8,192   0%                              - seed7-to-next-line-starts-with
          8,192   0%                                 seed7-re-search-forward
        139,264   3%                            - seed7-re-search-backward
         72,720   1%                             - run-with-timer
         72,720   1%                              - run-at-time
         28,080   0%                               - timer-activate
         28,080   0%                                - timer--activate
         28,080   0%                                   timer--time-less-p
         27,360   0%                                 timer-relative-time
         17,280   0%                               - timer-set-time
         17,280   0%                                  timer--time-setter
         45,824   1%                               re-search-backward
         12,432   0%                               seed7-inside-string-p
          4,144   0%                               make-closure
          4,144   0%                             - seed7-inside-comment-p
          4,144   0%                              - syntax-ppss
          4,144   0%                                 make-closure
         53,472   1%                              replace-regexp-in-string
         27,216   0%                            - seed7-calc-indent
          4,096   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
          3,120   0%                             - seed7-line-inside-a-block-cached
          3,120   0%                              - seed7-line-inside-a-block
          3,120   0%                               - seed7-re-search-backward
          1,616   0%                                - run-with-timer
          1,616   0%                                 - run-at-time
            624   0%                                  - timer-activate
            624   0%                                   - timer--activate
            624   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,504   0%                                  re-search-backward
          2,640   0%                             - seed7-line-at-endof-array-definition-block
          2,640   0%                              - seed7-line-code-ends-with
          2,640   0%                               - seed7-re-search-backward
          1,616   0%                                - run-with-timer
          1,616   0%                                 - run-at-time
            624   0%                                  - timer-activate
            624   0%                                   - timer--activate
            624   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,528   0%                               seed7-line-after-short-func-end
          2,152   0%                             - seed7-line-inside-array-definition-block
          2,152   0%                              - seed7-re-search-backward
          1,344   0%                                 re-search-backward
            808   0%                               - run-with-timer
            808   0%                                - run-at-time
            312   0%                                 - timer-activate
            312   0%                                  - timer--activate
            312   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          2,152   0%                             - seed7-line-inside-set-definition-block
          2,152   0%                              - seed7-re-search-backward
          1,344   0%                                 re-search-backward
            808   0%                               - run-with-timer
            808   0%                                - run-at-time
            312   0%                                 - timer-activate
            312   0%                                  - timer--activate
            312   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,832   0%                             - seed7-line-inside-assign-statement-continuation
          1,832   0%                              - seed7-assign-op-pos
          1,832   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            808   0%                                - run-with-timer
            808   0%                                 - run-at-time
            312   0%                                  - timer-activate
            312   0%                                   - timer--activate
            312   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,832   0%                             - seed7-line-inside-parens-pair-column
          1,832   0%                              - seed7-line-inside-parens-pair
          1,832   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            808   0%                                - run-with-timer
            808   0%                                 - run-at-time
            312   0%                                  - timer-activate
            312   0%                                   - timer--activate
            312   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,616   0%                             - seed7-line-at-endof-set-definition-block
          1,616   0%                              - seed7-line-code-ends-with
          1,616   0%                               - seed7-re-search-backward
          1,616   0%                                - run-with-timer
          1,616   0%                                 - run-at-time
            624   0%                                  - timer-activate
            624   0%                                   - timer--activate
            624   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,152   0%                               seed7-line-after-func-return-logic-operator-column
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-starts-with
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-indent-step
          4,144   0%                              seed7--on-lineof
          3,072   0%                              seed7--indent-offset-for
        390,973   9%                          - seed7-comment-column
        379,717   8%                           - seed7-calc-indent
        280,265   6%                            - seed7-line-inside-parens-pair-column
        280,265   6%                             - seed7-line-inside-parens-pair
        280,265   6%                              - seed7-re-search-backward
        261,465   6%                               - seed7-inside-comment-p
        261,465   6%                                - syntax-ppss
        261,465   6%                                   syntax-table
         17,776   0%                               - run-with-timer
         17,776   0%                                - run-at-time
          6,864   0%                                 - timer-activate
          6,864   0%                                  - timer--activate
          6,864   0%                                     timer--time-less-p
          6,688   0%                                   timer-relative-time
          4,224   0%                                 - timer-set-time
          4,224   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
         19,516   0%                            - seed7-line-inside-a-block-cached
         19,516   0%                             - seed7-line-inside-a-block
         19,516   0%                              - seed7-re-search-backward
         17,776   0%                               - run-with-timer
         17,776   0%                                - run-at-time
          6,864   0%                                 - timer-activate
          6,864   0%                                  - timer--activate
          6,864   0%                                     timer--time-less-p
          6,688   0%                                   timer-relative-time
          4,224   0%                                 - timer-set-time
          4,224   0%                                    timer--time-setter
          1,740   0%                                 re-search-backward
         18,800   0%                            - seed7-line-inside-array-definition-block
         18,800   0%                             - seed7-re-search-backward
         17,776   0%                              - run-with-timer
         17,776   0%                               - run-at-time
          6,864   0%                                - timer-activate
          6,864   0%                                 - timer--activate
          6,864   0%                                    timer--time-less-p
          6,688   0%                                  timer-relative-time
          4,224   0%                                - timer-set-time
          4,224   0%                                   timer--time-setter
          1,024   0%                                re-search-backward
         18,800   0%                            - seed7-line-inside-set-definition-block
         18,800   0%                             - seed7-re-search-backward
         17,776   0%                              - run-with-timer
         17,776   0%                               - run-at-time
          6,864   0%                                - timer-activate
          6,864   0%                                 - timer--activate
          6,864   0%                                    timer--time-less-p
          6,688   0%                                  timer-relative-time
          4,224   0%                                - timer-set-time
          4,224   0%                                   timer--time-setter
          1,024   0%                                re-search-backward
         18,800   0%                            - seed7-line-inside-assign-statement-continuation
         18,800   0%                             - seed7-assign-op-pos
         18,800   0%                              - seed7-re-search-backward
         17,776   0%                               - run-with-timer
         17,776   0%                                - run-at-time
          6,864   0%                                 - timer-activate
          6,864   0%                                  - timer--activate
          6,864   0%                                     timer--time-less-p
          6,688   0%                                   timer-relative-time
          4,224   0%                                 - timer-set-time
          4,224   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
         11,256   0%                            - seed7-line-is-defun-end
          8,184   0%                             - seed7--current-line-nth-word
          8,184   0%                              - thing-at-point
          8,184   0%                               - bounds-of-thing-at-point
          8,184   0%                                - #<byte-code-function 00C>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
          3,072   0%                               looking-back
          8,184   0%                            - seed7--current-line-nth-word
          8,184   0%                             - thing-at-point
          8,184   0%                              - bounds-of-thing-at-point
