           4 100% - ...
           4 100%  - funcall-interactively
           4 100%   - pel-profile-all
           4 100%    - pel-profile-dir
           4 100%     - pel-profile-indent
           4 100%      - pel-profile-indentation-test-of
           4 100%       - call-interactively
           4 100%        - apply
           4 100%         - call-interactively@ido-cr+-record-current-command
           4 100%          - #<primitive-function call-interactively>
           4 100%           - funcall-interactively
           4 100%            - seed7-complete-statement-or-indent
           4 100%             - seed7-indent-region
           4 100%              - seed7--indent-one-line
           4 100%               - seed7-calc-indent
           3  75%                - seed7-comment-column
           3  75%                 - seed7-calc-indent
           2  50%                  - seed7-line-at-endof-set-definition-block
           2  50%                   - seed7-move-to-line
           2  50%                    - seed7-to-previous-non-empty-line
           2  50%                     - seed7-inside-comment-p
           2  50%                      - syntax-ppss
           2  50%                         parse-partial-sexp
           1  25%                  - seed7-line-inside-array-definition-block
           1  25%                   - seed7-re-search-backward
           1  25%                    - run-with-timer
           1  25%                     - run-at-time
           1  25%                      - timer-activate
           1  25%                       - timer--activate
           1  25%                          timer--time-less-p
           1  25%                - seed7-line-is-defun-end
           1  25%                   seed7-move-to-line
