        1051  88% - ...
        1051  88%  - apply
        1051  88%   - call-interactively@ido-cr+-record-current-command
        1051  88%    - #<primitive-function call-interactively>
        1051  88%     - funcall-interactively
        1039  87%      - pel-profile-all
        1039  87%       - pel-profile-dir
        1039  87%        - pel-profile-indent
        1039  87%         - pel-profile-indentation-test-of
        1039  87%          - call-interactively
        1039  87%           - apply
        1039  87%            - call-interactively@ido-cr+-record-current-command
        1039  87%             - #<primitive-function call-interactively>
        1039  87%              - funcall-interactively
        1039  87%               - seed7-complete-statement-or-indent
        1039  87%                - seed7-indent-region
        1039  87%                 - seed7--indent-one-line
        1039  87%                  - seed7-calc-indent
         677  56%                   - seed7--indent-search-boundary
         677  56%                    - seed7--indent-search-boundary-uncached
         667  55%                     - syntax-ppss
         660  55%                        parse-partial-sexp
           2   0%                        #<byte-code-function 4B0>
           1   0%                        make-closure
           2   0%                       seed7-to-indent
         216  18%                   - seed7-line-inside-a-block-cached
         216  18%                    - seed7-line-inside-a-block
         189  15%                     - seed7--safe-enclosing-block-bounds
         189  15%                      - seed7--block-end-pos-for
         188  15%                       - seed7-to-block-forward
         165  13%                        - seed7-end-of-defun
         139  11%                         - seed7-top-block-name
         139  11%                          - seed7--to-top
         138  11%                           - seed7-re-search-backward
         116   9%                            - seed7-inside-comment-p
         116   9%                             - syntax-ppss
         108   9%                                parse-partial-sexp
           8   0%                              - syntax-propertize
           6   0%                                 seed7-mode-syntax-propertize
           1   0%                                 #<byte-code-function 221>
          16   1%                            - run-with-timer
          16   1%                             - run-at-time
           8   0%                              - timer-activate
           8   0%                               - timer--activate
           8   0%                                  timer--time-less-p
           8   0%                              - timer-set-time
           8   0%                                 timer--time-setter
           5   0%                              re-search-backward
           1   0%                            - seed7-inside-string-p
           1   0%                             - #<byte-code-function ED2>
           1   0%                                set-match-data
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                               timer-relative-time
          19   1%                         - seed7-re-search-backward
          15   1%                          - seed7-inside-comment-p
          14   1%                           - syntax-ppss
          14   1%                              parse-partial-sexp
           2   0%                          - run-with-timer
           2   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                            - timer-set-function
           1   0%                               timerp
           1   0%                            re-search-backward
           1   0%                          - seed7-inside-string-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           7   0%                           seed7-re-search-forward
          14   1%                        - seed7-re-search-forward
           6   0%                         - seed7-inside-comment-p
           6   0%                          - syntax-ppss
           5   0%                             parse-partial-sexp
           5   0%                         - seed7-inside-string-p
           5   0%                          - syntax-ppss
           5   0%                             parse-partial-sexp
           4   0%                        - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           2   0%                         - seed7-inside-comment-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
           2   0%                         - seed7-inside-line-indent-before-comment-p
           1   0%                            seed7-to-indent
           2   0%                        - seed7--current-line-nth-word
           1   0%                         - thing-at-point
           1   0%                          - bounds-of-thing-at-point
