          28  80% - ...
          28  80%  - #<primitive-function call-interactively>
          28  80%   - funcall-interactively
          27  77%    - pel-profile-all
          27  77%     - pel-profile-dir
          27  77%      - pel-profile-indent
          27  77%       - pel-profile-indentation-test-of
          27  77%        - call-interactively
          27  77%         - apply
          27  77%          - call-interactively@ido-cr+-record-current-command
          27  77%           - #<primitive-function call-interactively>
          27  77%            - funcall-interactively
          27  77%             - seed7-complete-statement-or-indent
          27  77%              - seed7-indent-region
          27  77%               - seed7--indent-one-line
          27  77%                - seed7-calc-indent
           5  14%                 - seed7-line-inside-a-block-cached
           5  14%                  - seed7-line-inside-a-block
           4  11%                   - seed7--safe-enclosing-block-bounds
           4  11%                    - seed7--block-end-pos-for
           4  11%                     - seed7-to-block-forward
           4  11%                      - seed7-end-of-defun
           4  11%                       - seed7-top-block-name
           3   8%                        - seed7--to-top
           3   8%                         - seed7-re-search-backward
           3   8%                          - run-with-timer
           3   8%                           - run-at-time
           2   5%                            - timer-activate
           2   5%                             - timer--activate
           2   5%                                timer--time-less-p
           1   2%                            - timer-set-time
           1   2%                               timer--time-setter
           1   2%                        - seed7--block-name
           1   2%                         - seed7-re-search-forward
           1   2%                          - seed7-inside-comment-p
           1   2%                           - syntax-ppss
           1   2%                              parse-partial-sexp
           1   2%                   - seed7-re-search-backward
           1   2%                    - seed7-inside-comment-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           5  14%                 - seed7--indent-search-boundary
           5  14%                  - seed7--indent-search-boundary-uncached
           4  11%                   - syntax-ppss
           4  11%                      parse-partial-sexp
           5  14%                 - seed7-line-inside-parens-pair-column
           5  14%                  - seed7-line-inside-parens-pair
           5  14%                   - seed7-re-search-backward
           5  14%                    - run-with-timer
           5  14%                     - run-at-time
           5  14%                      - timer-activate
           5  14%                       - timer--activate
           5  14%                          timer--time-less-p
           4  11%                 - seed7-comment-column
           4  11%                  - seed7-calc-indent
           1   2%                   - seed7-line-at-endof-array-definition-block
           1   2%                    - seed7-move-to-line
           1   2%                     - seed7-to-previous-non-empty-line
           1   2%                      - seed7-inside-comment-p
           1   2%                       - syntax-ppss
           1   2%                          parse-partial-sexp
           1   2%                   - seed7-line-is-defun-end
           1   2%                    - seed7-move-to-line
           1   2%                     - seed7-to-previous-non-empty-line
           1   2%                      - seed7-inside-comment-p
           1   2%                       - syntax-ppss
           1   2%                          parse-partial-sexp
           1   2%                   - seed7-line-at-endof-set-definition-block
           1   2%                    - seed7-move-to-line
           1   2%                     - seed7-to-previous-non-empty-line
           1   2%                      - seed7-inside-comment-p
           1   2%                       - syntax-ppss
           1   2%                          parse-partial-sexp
           1   2%                   - seed7-line-after-short-func-end
           1   2%                    - seed7-move-to-line
           1   2%                     - seed7-to-previous-non-empty-line
           1   2%                      - seed7-inside-comment-p
           1   2%                       - syntax-ppss
           1   2%                          parse-partial-sexp
           2   5%                 - seed7--current-line-nth-word
           2   5%                  - thing-at-point
           2   5%                   - bounds-of-thing-at-point
           2   5%                    - #<byte-code-function 315>
           2   5%                     - forward-thing
           2   5%                      - forward-word
           2   5%                       - internal--syntax-propertize
           2   5%                        - syntax-propertize
           2   5%                           seed7-mode-syntax-propertize
           2   5%                 - seed7-line-inside-assign-statement-continuation
           2   5%                  - seed7-assign-op-pos
           2   5%                   - seed7-re-search-backward
           2   5%                    - run-with-timer
           2   5%                     - run-at-time
           1   2%                      - timer-activate
           1   2%                       - timer--activate
           1   2%                          timer--time-less-p
           1   2%                      - timer-set-time
           1   2%                         timer--time-setter
           1   2%                 - seed7-line-after-short-func-end
           1   2%                  - seed7-move-to-line
           1   2%                   - seed7-to-previous-non-empty-line
           1   2%                    - seed7-inside-comment-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           1   2%                 - seed7-line-inside-until-logic-expression
           1   2%                  - seed7-re-search-backward
           1   2%                   - run-with-timer
           1   2%                    - run-at-time
           1   2%                     - timer-set-time
           1   2%                        timer--time-setter
           1   2%                 - seed7-line-inside-func-return-statement
           1   2%                  - seed7-re-search-backward
           1   2%                   - run-with-timer
           1   2%                    - run-at-time
           1   2%                     - timer-activate
           1   2%                      - timer--activate
           1   2%                         timer--time-less-p
           1   2%                 - seed7-line-is-defun-end
           1   2%                  - seed7--safe-current-line-defun-start-indent
           1   2%                   - seed7-to-block-backward
           1   2%                    - seed7-re-search-backward
           1   2%                     - run-with-timer
           1   2%                      - run-at-time
           1   2%                       - timer-set-time
           1   2%                          timer--time-setter
           1   2%    - seed7-complete-statement-or-indent
           1   2%     - seed7-indent-region
           1   2%      - seed7--indent-one-line
           1   2%       - seed7-calc-indent
           1   2%        - seed7-line-is-defun-end
           1   2%         - seed7-end-of-defun
           1   2%          - seed7-top-block-name
           1   2%           - seed7--to-top
           1   2%            - seed7-re-search-backward
           1   2%             - run-with-timer
           1   2%              - run-at-time
           1   2%               - timer-activate
           1   2%                - timer--activate
           1   2%                   timer--time-less-p
           7  20%   Automatic GC
