          61  81% - ...
          61  81%  - call-interactively
          61  81%   - apply
          61  81%    - call-interactively@ido-cr+-record-current-command
          61  81%     - #<primitive-function call-interactively>
          61  81%      - funcall-interactively
          53  70%       - pel-profile-all
          53  70%        - pel-profile-dir
          53  70%         - pel-profile-indent
          53  70%          - pel-profile-indentation-test-of
          53  70%           - call-interactively
          53  70%            - apply
          53  70%             - call-interactively@ido-cr+-record-current-command
          53  70%              - #<primitive-function call-interactively>
          53  70%               - funcall-interactively
          53  70%                - seed7-complete-statement-or-indent
          53  70%                 - seed7-indent-region
          53  70%                  - seed7--indent-one-line
          53  70%                   - seed7-calc-indent
          18  24%                    - seed7--indent-search-boundary
          17  22%                     - seed7--indent-search-boundary-uncached
          17  22%                      - syntax-ppss
          16  21%                         parse-partial-sexp
          13  17%                    - seed7-line-is-defun-end
          10  13%                     - seed7-end-of-defun
          10  13%                      - seed7-top-block-name
          10  13%                       - seed7--to-top
           9  12%                        - seed7-re-search-backward
           8  10%                         - run-with-timer
           8  10%                          - run-at-time
           6   8%                           - timer-activate
           6   8%                            - timer--activate
           6   8%                               timer--time-less-p
           1   1%                             timer-relative-time
           1   1%                           - timer-set-time
           1   1%                              timer--time-setter
           1   1%                         - seed7-inside-comment-p
           1   1%                          - syntax-ppss
           1   1%                             parse-partial-sexp
           1   1%                        - run-with-timer
           1   1%                         - run-at-time
           1   1%                          - timer-activate
           1   1%                           - timer--activate
           1   1%                              timer--time-less-p
           3   4%                     - seed7-beg-of-defun
           1   1%                      - seed7-top-block-name
           1   1%                       - seed7--to-top
           1   1%                        - seed7-re-search-backward
           1   1%                         - run-with-timer
           1   1%                          - run-at-time
           1   1%                           - timer-activate
           1   1%                            - timer--activate
           1   1%                               timer--time-less-p
           1   1%                      - seed7-re-search-backward
           1   1%                       - run-with-timer
           1   1%                        - run-at-time
           1   1%                         - timer-set-time
           1   1%                            timer--time-setter
           1   1%                        match-string-no-properties
          10  13%                    - seed7-line-inside-a-block-cached
          10  13%                     - seed7-line-inside-a-block
           9  12%                      - seed7--safe-enclosing-block-bounds
           9  12%                       - seed7--block-end-pos-for
           8  10%                        - seed7-to-block-forward
           7   9%                         - seed7-end-of-defun
           7   9%                          - seed7-top-block-name
           7   9%                           - seed7--to-top
           7   9%                            - seed7-re-search-backward
           5   6%                             - run-with-timer
           5   6%                              - run-at-time
           4   5%                               - timer-activate
           4   5%                                - timer--activate
           4   5%                                   timer--time-less-p
           1   1%                               - timer-set-time
           1   1%                                  timer--time-setter
           2   2%                             - seed7-inside-comment-p
           2   2%                              - syntax-ppss
           2   2%                                 parse-partial-sexp
           1   1%                         - seed7-inside-comment-p
           1   1%                          - syntax-ppss
           1   1%                             parse-partial-sexp
           1   1%                      - seed7-re-search-backward
           1   1%                       - seed7-inside-comment-p
           1   1%                        - syntax-ppss
           1   1%                           parse-partial-sexp
           6   8%                    - seed7-comment-column
           6   8%                     - seed7-calc-indent
           2   2%                      - seed7-line-inside-parens-pair-column
           2   2%                       - seed7-line-inside-parens-pair
           2   2%                        - seed7-re-search-backward
           2   2%                         - seed7-inside-comment-p
           2   2%                          - syntax-ppss
           2   2%                             parse-partial-sexp
           2   2%                      - seed7-line-is-defun-end
           1   1%                       - seed7-move-to-line
           1   1%                        - seed7-to-previous-non-empty-line
           1   1%                         - seed7-inside-comment-p
           1   1%                          - syntax-ppss
           1   1%                             parse-partial-sexp
           1   1%                       - seed7--current-line-nth-word
           1   1%                        - thing-at-point
           1   1%                           bounds-of-thing-at-point
           1   1%                      - seed7-line-at-endof-array-definition-block
           1   1%                       - seed7-move-to-line
           1   1%                        - seed7-to-previous-non-empty-line
           1   1%                         - seed7-inside-comment-p
           1   1%                          - syntax-ppss
           1   1%                             parse-partial-sexp
           1   1%                      - seed7-line-inside-logic-check-expression
           1   1%                       - seed7-to-previous-line-starts-with
           1   1%                        - seed7-re-search-backward
           1   1%                         - run-with-timer
           1   1%                          - run-at-time
           1   1%                           - timer-activate
           1   1%                            - timer--activate
           1   1%                               timer--time-less-p
           2   2%                    - seed7-line-inside-func-return-statement
           2   2%                     - seed7-re-search-backward
           2   2%                      - run-with-timer
           2   2%                       - run-at-time
           1   1%                        - timer-set-time
           1   1%                           timer--time-setter
           1   1%                        - timer-activate
           1   1%                         - timer--activate
           1   1%                            timer--time-less-p
           2   2%                    - seed7-line-inside-array-definition-block
           2   2%                     - seed7-re-search-backward
           2   2%                      - run-with-timer
           2   2%                       - run-at-time
           2   2%                        - timer-activate
           2   2%                         - timer--activate
           2   2%                            timer--time-less-p
           1   1%                    - seed7-line-inside-until-logic-expression
           1   1%                     - seed7-re-search-backward
           1   1%                      - run-with-timer
           1   1%                       - run-at-time
           1   1%                        - timer-activate
           1   1%                         - timer--activate
           1   1%                            timer--time-less-p
           1   1%                    - seed7-line-inside-set-definition-block
           1   1%                     - seed7-re-search-backward
           1   1%                      - run-with-timer
           1   1%                       - run-at-time
           1   1%                        - timer-activate
           1   1%                         - timer--activate
           1   1%                            timer--time-less-p
           8  10%       - seed7-complete-statement-or-indent
           8  10%        - seed7-indent-region
           8  10%         - seed7--indent-one-line
           8  10%          - seed7-calc-indent
           2   2%           - seed7-line-inside-parens-pair-column
           2   2%            - seed7-line-inside-parens-pair
           2   2%             - seed7-re-search-backward
           2   2%              - run-with-timer
           2   2%               - run-at-time
           2   2%                - timer-activate
           2   2%                 - timer--activate
           2   2%                    timer--time-less-p
           2   2%           - seed7-line-inside-logic-check-expression
           2   2%            - seed7-to-previous-line-starts-with
           2   2%             - seed7-re-search-backward
           2   2%              - run-with-timer
           2   2%               - run-at-time
           2   2%                - timer-activate
           2   2%                 - timer--activate
           2   2%                    timer--time-less-p
           2   2%           - seed7-line-inside-a-block-cached
           2   2%            - seed7-line-inside-a-block
           1   1%             - seed7-calc-indent
           1   1%              - seed7-line-at-endof-array-definition-block
           1   1%               - seed7-line-code-ends-with
           1   1%                - seed7-re-search-backward
           1   1%                 - run-with-timer
           1   1%                  - run-at-time
           1   1%                   - timer-set-time
           1   1%                      timer--time-setter
           1   1%             - seed7-re-search-backward
           1   1%              - run-with-timer
           1   1%               - run-at-time
           1   1%                - timer-set-time
           1   1%                   timer--time-setter
           1   1%           - seed7-line-inside-assign-statement-continuation
           1   1%            - seed7-assign-op-pos
           1   1%             - seed7-re-search-backward
           1   1%              - run-with-timer
           1   1%               - run-at-time
           1   1%                - timer-activate
           1   1%                 - timer--activate
           1   1%                    timer--time-less-p
           1   1%           - seed7--current-line-nth-word
           1   1%            - thing-at-point
           1   1%             - bounds-of-thing-at-point
           1   1%              - #<byte-code-function 92E>
           1   1%               - forward-thing
           1   1%                - forward-word
           1   1%                 - internal--syntax-propertize
           1   1%                  - syntax-propertize
           1   1%                     seed7-mode-syntax-propertize
          14  18%   Automatic GC
