         103  67% - ...
         103  67%  - funcall-interactively
         103  67%   - pel-profile-all
         103  67%    - pel-profile-dir
         103  67%     - pel-profile-indent
         103  67%      - pel-profile-indentation-test-of
         103  67%       - call-interactively
         103  67%        - apply
         103  67%         - call-interactively@ido-cr+-record-current-command
         103  67%          - #<primitive-function call-interactively>
         103  67%           - funcall-interactively
         103  67%            - seed7-complete-statement-or-indent
         103  67%             - seed7-indent-region
         103  67%              - seed7--indent-one-line
         103  67%               - seed7-calc-indent
          30  19%                - seed7-line-inside-parens-pair-column
          30  19%                 - seed7-line-inside-parens-pair
          29  19%                  - seed7-re-search-backward
          17  11%                   - run-with-timer
          17  11%                    - run-at-time
          15   9%                     - timer-activate
          15   9%                      - timer--activate
          14   9%                         timer--time-less-p
           2   1%                     - timer-set-time
           2   1%                        timer--time-setter
          11   7%                   - seed7-inside-comment-p
          11   7%                    - syntax-ppss
          11   7%                       parse-partial-sexp
           1   0%                     re-search-backward
           1   0%                  - forward-sexp
           1   0%                     seed7--forward-sexp-function
          25  16%                - seed7--indent-search-boundary
          25  16%                 - seed7--indent-search-boundary-uncached
          24  15%                  - syntax-ppss
          24  15%                     parse-partial-sexp
          14   9%                - seed7-comment-column
          13   8%                 - seed7-calc-indent
           2   1%                  - seed7-line-inside-parens-pair-column
           2   1%                   - seed7-line-inside-parens-pair
           2   1%                    - seed7-re-search-backward
           2   1%                     - seed7-inside-comment-p
           2   1%                      - syntax-ppss
           2   1%                         parse-partial-sexp
           2   1%                  - seed7-line-at-endof-set-definition-block
           2   1%                   - seed7-move-to-line
           2   1%                    - seed7-to-previous-non-empty-line
           2   1%                     - seed7-inside-comment-p
           2   1%                      - syntax-ppss
           2   1%                         parse-partial-sexp
           2   1%                  - seed7-line-is-defun-end
           2   1%                   - seed7-move-to-line
           2   1%                    - seed7-to-previous-non-empty-line
           2   1%                     - seed7-inside-comment-p
           2   1%                      - syntax-ppss
           2   1%                         parse-partial-sexp
           2   1%                  - seed7-line-at-endof-array-definition-block
           2   1%                   - seed7-move-to-line
           2   1%                    - seed7-to-previous-non-empty-line
           2   1%                     - seed7-inside-comment-p
           2   1%                      - syntax-ppss
           2   1%                         parse-partial-sexp
           1   0%                  - seed7-line-after-func-return-logic-operator-column
           1   0%                   - seed7-move-to-line
           1   0%                    - seed7-to-previous-non-empty-line
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                  - seed7-line-after-short-func-end
           1   0%                   - seed7-move-to-line
           1   0%                    - seed7-to-previous-non-empty-line
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                  - seed7-line-starts-with-open-paren-after-logic-operator
           1   0%                   - seed7-move-to-line
           1   0%                    - seed7-to-previous-non-empty-line
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                  - seed7-line-inside-assign-statement-continuation
           1   0%                   - seed7-assign-op-pos
           1   0%                    - seed7-re-search-backward
           1   0%                     - run-with-timer
           1   0%                      - run-at-time
           1   0%                       - timer-activate
           1   0%                        - timer--activate
           1   0%                           timer--time-less-p
           1   0%                  - seed7-line-inside-array-definition-block
           1   0%                   - seed7-re-search-backward
           1   0%                      re-search-backward
           1   0%                 - seed7-line-code-ends-with
           1   0%                  - seed7-move-to-line
           1   0%                   - seed7-to-previous-non-empty-line
           1   0%                    - seed7-inside-comment-p
           1   0%                     - syntax-ppss
           1   0%                        parse-partial-sexp
           8   5%                - seed7-line-inside-a-block-cached
           8   5%                 - seed7-line-inside-a-block
           5   3%                  - seed7--safe-enclosing-block-bounds
           5   3%                   - seed7--block-end-pos-for
           5   3%                    - seed7-to-block-forward
           3   1%                     - seed7-end-of-defun
           2   1%                      - seed7-re-search-backward
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
           1   0%                      - seed7-top-block-name
           1   0%                       - seed7--to-top
           1   0%                        - seed7-re-search-backward
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           2   1%                     - seed7-re-search-forward
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           2   1%                  - seed7-re-search-backward
           1   0%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           1   0%                   - run-with-timer
           1   0%                    - run-at-time
           1   0%                     - timer-activate
           1   0%                      - timer--activate
           1   0%                         timer--time-less-p
           1   0%                  - seed7-calc-indent
           1   0%                   - seed7-line-inside-parens-pair-column
           1   0%                    - seed7-line-inside-parens-pair
           1   0%                     - seed7-re-search-backward
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           7   4%                - seed7-line-is-defun-end
           3   1%                 - seed7-move-to-line
           3   1%                  - seed7-to-previous-non-empty-line
           2   1%                   - seed7-inside-comment-p
           2   1%                    - syntax-ppss
           2   1%                       parse-partial-sexp
           2   1%                 - seed7-line-starts-with-any
           2   1%                    seed7-line-starts-with
           2   1%                 - seed7-beg-of-defun
           2   1%                  - seed7-re-search-backward
           1   0%                     re-search-backward
           1   0%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           5   3%                - seed7-line-inside-assign-statement-continuation
           3   1%                 - seed7-assign-op-pos
           3   1%                  - seed7-re-search-backward
           3   1%                   - run-with-timer
           3   1%                    - run-at-time
           1   0%                     - timer-set-time
           1   0%                        timer--time-setter
           1   0%                       timer-relative-time
           1   0%                     - timer-activate
           1   0%                      - timer--activate
           1   0%                         timer--time-less-p
           2   1%                 - seed7-statement-end-pos
           2   1%                  - seed7-forward-char-pos
           2   1%                   - seed7-re-search-forward
           1   0%                    - seed7-inside-string-p
           1   0%                     - syntax-ppss
           1   0%                        parse-partial-sexp
           1   0%                    - seed7-inside-comment-p
           1   0%                     - syntax-ppss
           1   0%                        parse-partial-sexp
           4   2%                - seed7-line-inside-set-definition-block
           4   2%                 - seed7-re-search-backward
           2   1%                  - run-with-timer
           2   1%                   - run-at-time
           2   1%                    - timer-activate
           2   1%                     - timer--activate
           2   1%                        timer--time-less-p
           2   1%                    re-search-backward
           3   1%                - seed7--current-line-nth-word
           3   1%                 - thing-at-point
           3   1%                  - bounds-of-thing-at-point
           3   1%                   - #<byte-code-function 5CB>
           3   1%                    - forward-thing
           3   1%                     - forward-word
           3   1%                      - internal--syntax-propertize
           3   1%                       - syntax-propertize
           3   1%                          seed7-mode-syntax-propertize
           3   1%                - seed7-line-inside-array-definition-block
           3   1%                 - seed7-re-search-backward
           2   1%                    re-search-backward
           1   0%                  - run-with-timer
           1   0%                   - run-at-time
           1   0%                    - timer-set-time
           1   0%                       timer--time-setter
           1   0%                - seed7-line-indent-step
           1   0%                 - seed7-move-to-line
           1   0%                  - seed7-to-previous-non-empty-line
           1   0%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           1   0%                - seed7-line-inside-logic-check-expression
           1   0%                 - seed7-re-search-forward
           1   0%                  - seed7-inside-string-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           1   0%                - seed7-line-inside-func-return-statement
           1   0%                 - seed7-re-search-backward
           1   0%                  - run-with-timer
           1   0%                   - run-at-time
           1   0%                    - timer-activate
           1   0%                     - timer--activate
           1   0%                        timer--time-less-p
           1   0%                - seed7-line-ends-with
           1   0%                 - seed7-re-search-backward
           1   0%                  - run-with-timer
           1   0%                   - run-at-time
           1   0%                    - timer-activate
           1   0%                     - timer--activate
           1   0%                        timer--time-less-p
          49  32%   Automatic GC
