          80  76% - ...
          80  76%  - pel-profile-all
          80  76%   - pel-profile-dir
          80  76%    - pel-profile-indent
          80  76%     - pel-profile-indentation-test-of
          80  76%      - call-interactively
          80  76%       - apply
          80  76%        - call-interactively@ido-cr+-record-current-command
          80  76%         - #<primitive-function call-interactively>
          80  76%          - funcall-interactively
          80  76%           - seed7-complete-statement-or-indent
          80  76%            - seed7-indent-region
          80  76%             - seed7--indent-one-line
          80  76%              - seed7-calc-indent
          25  24%               - seed7-line-inside-parens-pair-column
          25  24%                - seed7-line-inside-parens-pair
          23  22%                 - seed7-re-search-backward
          20  19%                  - run-with-timer
          20  19%                   - run-at-time
          16  15%                    - timer-activate
          16  15%                     - timer--activate
          16  15%                        timer--time-less-p
           4   3%                    - timer-set-time
           4   3%                       timer--time-setter
           3   2%                  - seed7-inside-comment-p
           3   2%                   - syntax-ppss
           3   2%                      parse-partial-sexp
           1   0%                 - seed7-line-inside-syntax-parens-pair
           1   0%                  - syntax-ppss
           1   0%                     parse-partial-sexp
           1   0%                 - forward-sexp
           1   0%                    seed7--forward-sexp-function
          21  20%               - seed7--indent-search-boundary
          21  20%                - seed7--indent-search-boundary-uncached
          21  20%                 - syntax-ppss
          20  19%                    parse-partial-sexp
           1   0%                    #<byte-code-function FE3>
          10   9%               - seed7-line-inside-a-block-cached
          10   9%                - seed7-line-inside-a-block
           9   8%                 - seed7-re-search-backward
           7   6%                  - seed7-inside-comment-p
           7   6%                   - syntax-ppss
           6   5%                      parse-partial-sexp
           1   0%                      #<byte-code-function 74D>
           1   0%                  - run-with-timer
           1   0%                   - run-at-time
           1   0%                      timer-relative-time
           1   0%                    re-search-backward
           1   0%                 - seed7--safe-enclosing-block-bounds
           1   0%                  - seed7--block-end-pos-for
           1   0%                   - seed7-to-block-forward
           1   0%                    - seed7-end-of-defun
           1   0%                       seed7-re-search-forward
           8   7%               - seed7-comment-column
           8   7%                - seed7-calc-indent
           2   1%                 - seed7-line-after-short-func-end
           2   1%                  - seed7-move-to-line
           2   1%                   - seed7-to-previous-non-empty-line
           1   0%                    - seed7-inside-comment-p
           1   0%                     - syntax-ppss
           1   0%                        parse-partial-sexp
           1   0%                 - seed7-line-is-defun-end
           1   0%                  - seed7-move-to-line
           1   0%                   - seed7-to-previous-non-empty-line
           1   0%                    - seed7-inside-comment-p
           1   0%                     - syntax-ppss
           1   0%                        parse-partial-sexp
           1   0%                 - seed7-line-inside-assign-statement-continuation
           1   0%                  - seed7-assign-op-pos
           1   0%                   - seed7-re-search-backward
           1   0%                      re-search-backward
           1   0%                 - seed7-line-inside-parens-pair-column
           1   0%                  - seed7-line-inside-parens-pair
           1   0%                   - seed7-re-search-backward
           1   0%                    - seed7-inside-comment-p
