        1266  88% - ...
        1266  88%  - call-interactively@ido-cr+-record-current-command
        1266  88%   - #<primitive-function call-interactively>
        1266  88%    - funcall-interactively
        1265  88%     - pel-profile-all
        1265  88%      - pel-profile-dir
        1265  88%       - pel-profile-indent
        1265  88%        - pel-profile-indentation-test-of
        1265  88%         - call-interactively
        1265  88%          - apply
        1265  88%           - call-interactively@ido-cr+-record-current-command
        1265  88%            - #<primitive-function call-interactively>
        1265  88%             - funcall-interactively
        1265  88%              - seed7-complete-statement-or-indent
        1265  88%               - seed7-indent-region
        1265  88%                - seed7--indent-one-line
        1265  88%                 - seed7-calc-indent
         492  34%                  - seed7--indent-search-boundary
         492  34%                   - seed7--indent-search-boundary-uncached
         480  33%                    - syntax-ppss
         478  33%                       parse-partial-sexp
           1   0%                       make-closure
           1   0%                     - #<byte-code-function 20C>
           1   0%                        set-syntax-table
           3   0%                      seed7-to-indent
         381  26%                  - seed7-line-is-defun-end
         323  22%                   - seed7-end-of-defun
         223  15%                    - seed7-top-block-name
         220  15%                     - seed7--to-top
         219  15%                      - seed7-re-search-backward
         166  11%                       - seed7-inside-comment-p
         166  11%                        - syntax-ppss
         165  11%                           parse-partial-sexp
           1   0%                           syntax-ppss--update-stats
          35   2%                       - run-with-timer
          35   2%                        - run-at-time
          22   1%                         - timer-activate
          22   1%                          - timer--activate
          22   1%                           - timer--time-less-p
           1   0%                              timer--time
           9   0%                         - timer-set-time
           9   0%                            timer--time-setter
           4   0%                           timer-relative-time
          15   1%                         re-search-backward
           1   0%                         seed7-inside-string-p
           1   0%                         make-closure
           1   0%                         #<byte-code-function E8C>
           3   0%                     - seed7--block-name
           3   0%                      - seed7-re-search-forward
           2   0%                       - seed7-inside-string-p
           2   0%                        - syntax-ppss
           2   0%                           parse-partial-sexp
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
          87   6%                    - seed7-re-search-forward
          26   1%                     - seed7-inside-comment-p
          26   1%                      - syntax-ppss
          22   1%                         parse-partial-sexp
           4   0%                       - syntax-propertize
           4   0%                          seed7-mode-syntax-propertize
