        6524  93% - ...
        6524  93%  - pel-profile-indent
        6524  93%   - pel-profile-indentation-test-of
        6524  93%    - call-interactively
        6524  93%     - apply
        6524  93%      - call-interactively@ido-cr+-record-current-command
        6524  93%       - #<primitive-function call-interactively>
        6524  93%        - funcall-interactively
        6371  91%         - pel-profile-all
        6371  91%          - pel-profile-dir
        6371  91%           - pel-profile-indent
        6371  91%            - pel-profile-indentation-test-of
        6371  91%             - call-interactively
        6371  91%              - apply
        6371  91%               - call-interactively@ido-cr+-record-current-command
        6371  91%                - #<primitive-function call-interactively>
        6371  91%                 - funcall-interactively
        6371  91%                  - seed7-complete-statement-or-indent
        6371  91%                   - seed7-indent-region
        6370  91%                    - seed7--indent-one-line
        6369  91%                     - seed7-calc-indent
        4452  63%                      - seed7--indent-search-boundary
        4450  63%                       - seed7--indent-search-boundary-uncached
        4414  63%                        - syntax-ppss
        4399  63%                           parse-partial-sexp
           3   0%                           make-closure
           2   0%                           #<byte-code-function CFE>
           2   0%                           syntax-table
           1   0%                           syntax-ppss--data
           1   0%                           syntax-propertize
           1   0%                           syntax-ppss--update-stats
           5   0%                          seed7-to-indent
        1035  14%                      - seed7-line-is-defun-end
         771  11%                       - seed7-end-of-defun
         576   8%                        - seed7-top-block-name
         574   8%                         - seed7--to-top
         570   8%                          - seed7-re-search-backward
         491   7%                           - seed7-inside-comment-p
         491   7%                            - syntax-ppss
         489   7%                               parse-partial-sexp
           1   0%                               syntax-propertize
          54   0%                           - run-with-timer
          54   0%                            - run-at-time
          32   0%                             - timer-activate
          32   0%                              - timer--activate
          32   0%                               - timer--time-less-p
           1   0%                                  timer--time
          15   0%                             - timer-set-time
          15   0%                                timer--time-setter
           7   0%                               timer-relative-time
          22   0%                             re-search-backward
           3   0%                           - seed7-inside-string-p
           1   0%                              #<byte-code-function 889>
           3   0%                          - run-with-timer
           3   0%                           - run-at-time
           2   0%                            - timer-activate
           2   0%                             - timer--activate
           2   0%                                timer--time-less-p
           1   0%                            - timer-set-time
           1   0%                               timer--time-setter
           2   0%                         - seed7--block-name
           2   0%                          - seed7-re-search-forward
           1   0%                           - seed7-inside-string-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
         176   2%                        - seed7-re-search-forward
          65   0%                         - seed7-inside-comment-p
          65   0%                          - syntax-ppss
          56   0%                             parse-partial-sexp
           8   0%                           - syntax-propertize
           7   0%                              seed7-mode-syntax-propertize
          43   0%                         - seed7-inside-string-p
          43   0%                          - syntax-ppss
          42   0%                             parse-partial-sexp
           1   0%                             syntax-ppss--update-stats
          16   0%                        - seed7-re-search-backward
          15   0%                         - seed7-inside-comment-p
          15   0%                          - syntax-ppss
          15   0%                             parse-partial-sexp
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-activate
           1   0%                            - timer--activate
           1   0%                               timer--time-less-p
           1   0%                          match-string
         245   3%                       - seed7-beg-of-defun
         190   2%                        - seed7-re-search-backward
         157   2%                         - seed7-inside-comment-p
         157   2%                          - syntax-ppss
         155   2%                             parse-partial-sexp
           1   0%                             syntax-ppss--update-stats
           1   0%                             make-closure
          24   0%                         - run-with-timer
          24   0%                          - run-at-time
          15   0%                           - timer-activate
          15   0%                            - timer--activate
          15   0%                               timer--time-less-p
           6   0%                             timer-relative-time
           3   0%                           - timer-set-time
           3   0%                              timer--time-setter
           8   0%                           re-search-backward
           1   0%                           seed7-inside-string-p
          45   0%                        - seed7-re-search-backward-closest
          45   0%                         - seed7-re-search-backward
          45   0%                            re-search-backward
           8   0%                        - seed7-top-block-name
           6   0%                         - seed7--to-top
           5   0%                          - seed7-re-search-backward
           5   0%                           - seed7-inside-comment-p
           5   0%                            - syntax-ppss
           5   0%                               parse-partial-sexp
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
