          17  51% - ...
          17  51%  - pel-profile-dir
          17  51%   - pel-profile-indent
          17  51%    - pel-profile-indentation-test-of
          17  51%     - call-interactively
          17  51%      - apply
          17  51%       - call-interactively@ido-cr+-record-current-command
          17  51%        - #<primitive-function call-interactively>
          17  51%         - funcall-interactively
          17  51%          - seed7-complete-statement-or-indent
          17  51%           - seed7-indent-region
          17  51%            - seed7--indent-one-line
          17  51%             - seed7-calc-indent
           8  24%              - seed7-comment-column
           8  24%               - seed7-calc-indent
           4  12%                - seed7-line-at-endof-array-definition-block
           4  12%                 - seed7-move-to-line
           4  12%                  - seed7-to-previous-non-empty-line
           4  12%                   - seed7-inside-comment-p
           4  12%                    - syntax-ppss
           4  12%                       parse-partial-sexp
           2   6%                - seed7-line-inside-a-block-cached
           2   6%                 - seed7-line-inside-a-block
           2   6%                  - seed7-re-search-backward
           2   6%                   - run-with-timer
           2   6%                    - run-at-time
           1   3%                     - timer-set-time
           1   3%                        timer--time-setter
           1   3%                       timer-relative-time
           1   3%                - seed7-line-after-func-return-logic-operator-column
           1   3%                 - seed7-move-to-line
           1   3%                  - seed7-to-previous-non-empty-line
           1   3%                   - seed7-inside-comment-p
           1   3%                    - syntax-ppss
           1   3%                       parse-partial-sexp
           1   3%                - seed7--indent-search-boundary
           1   3%                 - seed7--indent-search-boundary-uncached
           1   3%                  - syntax-ppss
           1   3%                     parse-partial-sexp
           3   9%              - seed7-line-inside-a-block-cached
           3   9%               - seed7-line-inside-a-block
           3   9%                - seed7--safe-enclosing-block-bounds
           3   9%                 - seed7--block-end-pos-for
           3   9%                  - seed7-to-block-forward
           1   3%                   - seed7-end-of-defun
           1   3%                    - seed7-re-search-backward
           1   3%                     - run-with-timer
           1   3%                      - run-at-time
           1   3%                       - timer-activate
           1   3%                        - timer--activate
           1   3%                           timer--time-less-p
           1   3%                   - seed7-inside-line-indent-before-comment-p
           1   3%                    - seed7-inside-comment-p
           1   3%                     - syntax-ppss
           1   3%                        parse-partial-sexp
           1   3%                   - seed7-re-search-forward
           1   3%                    - seed7-inside-string-p
           1   3%                     - syntax-ppss
           1   3%                        parse-partial-sexp
           2   6%              - seed7-current-line-start-inside-comment-p
           2   6%               - seed7-inside-comment-p
           2   6%                - syntax-ppss
           2   6%                   parse-partial-sexp
           2   6%              - seed7-line-inside-parens-pair-column
           2   6%               - seed7-line-inside-parens-pair
           2   6%                - seed7-re-search-backward
           2   6%                 - run-with-timer
           2   6%                  - run-at-time
           1   3%                   - timer-activate
           1   3%                    - timer--activate
           1   3%                       timer--time-less-p
           1   3%                   - timer-set-time
           1   3%                      timer--time-setter
           1   3%              - seed7-line-is-defun-end
           1   3%               - seed7-beg-of-defun
           1   3%                - seed7-re-search-backward-closest
           1   3%                 - seed7-re-search-backward
           1   3%                  - run-with-timer
           1   3%                   - run-at-time
           1   3%                    - timer-activate
           1   3%                     - timer--activate
           1   3%                        timer--time-less-p
           1   3%              - seed7-line-inside-argument-list-section
           1   3%               - seed7-re-search-backward
           1   3%                - run-with-timer
           1   3%                 - run-at-time
           1   3%                  - timer-activate
           1   3%                   - timer--activate
           1   3%                      timer--time-less-p
          16  48%   Automatic GC
