     16,941,769  99% - ...
     16,941,769  99%  - #<primitive-function call-interactively>
     16,941,769  99%   - funcall-interactively
     16,941,769  99%    - smex
     16,941,769  99%     - smex-read-and-run
     16,941,769  99%      - execute-extended-command
     16,941,769  99%       - command-execute
     16,941,769  99%        - call-interactively
     16,941,769  99%         - apply
     16,941,769  99%          - call-interactively@ido-cr+-record-current-command
     16,941,769  99%           - #<primitive-function call-interactively>
     16,941,769  99%            - funcall-interactively
     16,941,769  99%             - pel-profile-all
     16,941,769  99%              - pel-profile-dir
     16,941,769  99%               - pel-profile-indent
     16,941,769  99%                - pel-profile-indentation-test-of
     15,377,869  90%                 - call-interactively
     15,377,869  90%                  - apply
     15,377,869  90%                   - call-interactively@ido-cr+-record-current-command
     15,377,869  90%                    - #<primitive-function call-interactively>
     15,377,869  90%                     - funcall-interactively
     15,377,853  90%                      - seed7-complete-statement-or-indent
     15,377,853  90%                       - seed7-indent-region
     15,377,853  90%                        - seed7--indent-one-line
     15,365,421  90%                         - seed7-calc-indent
      3,379,240  19%                          - seed7-line-inside-a-block-cached
      3,362,664  19%                           - seed7-line-inside-a-block
      2,052,085  12%                            - seed7--safe-enclosing-block-bounds
      2,047,941  12%                             - seed7--block-end-pos-for
      1,981,381  11%                              - seed7-to-block-forward
        859,943   5%                               - seed7-end-of-defun
        747,455   4%                                - seed7-top-block-name
        715,129   4%                                 - seed7--to-top
        668,393   3%                                  - seed7-re-search-backward
        503,448   2%                                   - run-with-timer
        503,448   2%                                    - run-at-time
        248,120   1%                                     - timer-activate
        248,120   1%                                      - timer--activate
        248,120   1%                                         timer--time-less-p
        143,792   0%                                       timer-relative-time
         99,104   0%                                     - timer-set-time
         99,104   0%                                        timer--time-setter
         12,432   0%                                       timer-create
         95,665   0%                                   - seed7-inside-comment-p
         74,945   0%                                    - syntax-ppss
         62,513   0%                                     - syntax-propertize
         62,513   0%                                        seed7-mode-syntax-propertize
         12,432   0%                                       make-closure
         53,872   0%                                   - seed7-inside-string-p
         12,432   0%                                    - syntax-ppss
          8,288   0%                                       make-closure
          4,144   0%                                     - parse-partial-sexp
          4,144   0%                                        internal--syntax-propertize
         11,264   0%                                     re-search-backward
          4,144   0%                                     make-closure
         46,736   0%                                  - run-with-timer
         46,736   0%                                   - run-at-time
         20,768   0%                                    - timer-activate
         20,768   0%                                     - timer--activate
         20,768   0%                                        timer--time-less-p
         13,376   0%                                      timer-relative-time
          8,448   0%                                    - timer-set-time
          8,448   0%                                       timer--time-setter
          4,144   0%                                      timer-create
         32,326   0%                                 - seed7--block-name
         32,326   0%                                  - seed7-re-search-forward
          8,288   0%                                     seed7-inside-string-p
         59,152   0%                                - seed7-re-search-backward
         46,720   0%                                 - run-with-timer
         46,720   0%                                  - run-at-time
         20,768   0%                                   - timer-activate
         20,768   0%                                    - timer--activate
         20,768   0%                                       timer--time-less-p
         13,360   0%                                     timer-relative-time
          8,448   0%                                   - timer-set-time
          8,448   0%                                      timer--time-setter
          4,144   0%                                     timer-create
          8,288   0%                                   seed7-inside-string-p
          4,144   0%                                   make-closure
         38,096   0%                                - seed7-re-search-forward
          4,144   0%                                   seed7-inside-string-p
          2,048   0%                                 - seed7-inside-comment-p
          2,048   0%                                  - syntax-ppss
          2,048   0%                                   - syntax-propertize
          2,048   0%                                      seed7-mode-syntax-propertize
          1,016   0%                                  match-string
        493,542   2%                               - seed7-re-search-forward
         49,728   0%                                - seed7-inside-string-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
         45,288   0%                                - seed7-inside-comment-p
         28,712   0%                                 - syntax-ppss
         24,568   0%                                  - syntax-propertize
         24,568   0%                                     seed7-mode-syntax-propertize
          4,144   0%                                    make-closure
        312,840   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         24,864   0%                                - seed7-inside-comment-p
         16,576   0%                                 - syntax-ppss
         16,576   0%                                    make-closure
         12,432   0%                                  seed7-inside-line-indent-before-comment-p
        269,472   1%                               - seed7--current-line-nth-word
        248,752   1%                                - thing-at-point
        221,152   1%                                 - bounds-of-thing-at-point
         73,656   0%                                  - #<byte-code-function F4B>
         73,656   0%                                   - forward-thing
         73,656   0%                                      format
         62,160   0%                                    make-closure
         40,920   0%                                  - #<byte-code-function DD9>
         40,920   0%                                   - forward-thing
         40,920   0%                                      format
         24,864   0%                                  - seq-some
         24,864   0%                                     make-closure
         11,264   0%                                    re-search-forward
         24,864   0%                                 seed7-inside-line-indent-before-comment-p
         12,432   0%                                 seed7-inside-comment-p
         64,512   0%                              - seed7--line-ends-a-statement-p
         46,080   0%                                 looking-at
         18,432   0%                               - forward-sexp
         18,432   0%                                  seed7--forward-sexp-function
        870,262   5%                            - seed7-re-search-backward
        489,232   2%                             - run-with-timer
        489,232   2%                              - run-at-time
        240,880   1%                               - timer-activate
        240,880   1%                                - timer--activate
        240,880   1%                                   timer--time-less-p
        147,136   0%                                 timer-relative-time
         92,928   0%                               - timer-set-time
         92,928   0%                                  timer--time-setter
          8,288   0%                                 timer-create
        327,158   1%                               re-search-backward
         29,008   0%                             - seed7-inside-string-p
          8,288   0%                              - syntax-ppss
          8,288   0%                                 make-closure
         24,864   0%                             - seed7-inside-comment-p
          8,288   0%                              - syntax-ppss
          8,288   0%                                 make-closure
        321,176   1%                              replace-regexp-in-string
         35,997   0%                            - seed7-calc-indent
         11,144   0%                             - seed7-line-inside-a-block-cached
         11,144   0%                              - seed7-line-inside-a-block
         11,144   0%                               - seed7-re-search-backward
          9,208   0%                                  re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          4,096   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
          2,960   0%                             - seed7-line-at-endof-array-definition-block
          2,960   0%                              - seed7-line-code-ends-with
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,773   0%                               seed7-line-after-short-func-end
          1,992   0%                             - seed7-line-inside-array-definition-block
          1,992   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-set-definition-block
          1,992   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-assign-statement-continuation
          1,992   0%                              - seed7-assign-op-pos
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,992   0%                             - seed7-line-inside-parens-pair-column
          1,992   0%                              - seed7-line-inside-parens-pair
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,936   0%                             - seed7-line-at-endof-set-definition-block
          1,936   0%                              - seed7-line-code-ends-with
          1,936   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-starts-with
          1,024   0%                               seed7-line-after-func-return-logic-operator-column
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-indent-step
         21,504   0%                              seed7--indent-offset-for
         20,720   0%                              seed7--on-lineof
          8,184   0%                              match-string
         16,576   0%                             seed7--cache-block-spec
      2,424,369  14%                          - seed7-line-is-defun-end
        786,679   4%                             looking-back
        582,592   3%                           - seed7-beg-of-defun
        333,328   1%                            - seed7-re-search-backward
        240,728   1%                             - run-with-timer
        240,728   1%                              - run-at-time
        125,976   0%                               - timer-activate
        125,976   0%                                - timer--activate
        125,976   0%                                   timer--time-less-p
         67,792   0%                                 timer-relative-time
         46,960   0%                               - timer-set-time
         46,960   0%                                  timer--time-setter
         47,016   0%                               re-search-backward
         33,152   0%                             - seed7-inside-string-p
          8,288   0%                              - syntax-ppss
          8,288   0%                                 make-closure
          8,288   0%                               seed7-inside-comment-p
          4,144   0%                               make-closure
        112,042   0%                            - seed7-re-search-backward-closest
        112,042   0%                             - seed7-re-search-backward
         63,370   0%                                re-search-backward
         48,672   0%                              - run-with-timer
         48,672   0%                               - run-at-time
         25,856   0%                                - timer-activate
         25,856   0%                                 - timer--activate
         25,856   0%                                    timer--time-less-p
         13,984   0%                                  timer-relative-time
          8,832   0%                                - timer-set-time
