    275,974,752  99% - ...
    275,974,752  99%  - #<primitive-function call-interactively>
    275,974,752  99%   - funcall-interactively
    275,974,752  99%    - smex
    275,974,752  99%     - smex-read-and-run
    275,974,752  99%      - execute-extended-command
    275,974,752  99%       - command-execute
    275,974,752  99%        - call-interactively
    275,974,752  99%         - apply
    275,974,752  99%          - call-interactively@ido-cr+-record-current-command
    275,974,752  99%           - #<primitive-function call-interactively>
    275,974,752  99%            - funcall-interactively
    275,974,752  99%             - pel-profile-all
    275,974,752  99%              - pel-profile-dir
    275,974,752  99%               - pel-profile-indent
    275,974,752  99%                - pel-profile-indentation-test-of
    274,393,956  99%                 - call-interactively
    274,393,956  99%                  - apply
    274,393,956  99%                   - call-interactively@ido-cr+-record-current-command
    274,393,956  99%                    - #<primitive-function call-interactively>
    274,393,956  99%                     - funcall-interactively
    274,393,940  99%                      - seed7-complete-statement-or-indent
    274,393,940  99%                       - seed7-indent-region
    274,393,940  99%                        - seed7--indent-one-line
    274,393,940  99%                         - seed7-calc-indent
     81,527,008  29%                          - seed7-line-is-defun-end
     43,295,692  15%                           - seed7-end-of-defun
     40,151,800  14%                            - seed7-top-block-name
     40,094,512  14%                             - seed7--to-top
     39,585,344  14%                              - seed7-re-search-backward
     39,585,344  14%                               - run-with-timer
     39,585,344  14%                                - run-at-time
     19,301,968   6%                                 - timer-activate
     19,301,968   6%                                  - timer--activate
     19,301,968   6%                                     timer--time-less-p
     12,431,728   4%                                   timer-relative-time
      7,851,648   2%                                 - timer-set-time
      7,851,648   2%                                    timer--time-setter
        509,168   0%                              - run-with-timer
        509,168   0%                               - run-at-time
        248,272   0%                                - timer-activate
        248,272   0%                                 - timer--activate
        248,272   0%                                    timer--time-less-p
        159,904   0%                                  timer-relative-time
        100,992   0%                                - timer-set-time
        100,992   0%                                   timer--time-setter
         57,288   0%                             - seed7--block-name
         40,920   0%                                match-string
      1,039,368   0%                              match-string-no-properties
        792,042   0%                            - seed7-re-search-forward
        426,234   0%                             - seed7-inside-comment-p
        426,234   0%                              - syntax-ppss
        426,234   0%                               - syntax-propertize
        426,234   0%                                  seed7-mode-syntax-propertize
          8,048   0%                             - internal--syntax-propertize
          8,048   0%                              - syntax-propertize
          8,048   0%                                 seed7-mode-syntax-propertize
        509,168   0%                            - seed7-re-search-backward
        509,168   0%                             - run-with-timer
        509,168   0%                              - run-at-time
        248,272   0%                               - timer-activate
        248,272   0%                                - timer--activate
        248,272   0%                                   timer--time-less-p
        159,904   0%                                 timer-relative-time
        100,992   0%                               - timer-set-time
        100,992   0%                                  timer--time-setter
        327,360   0%                              match-string
     16,337,056   5%                           - seed7-beg-of-defun
      7,959,622   2%                            - seed7-re-search-backward
      6,810,832   2%                             - run-with-timer
      6,810,832   2%                              - run-at-time
      3,320,992   1%                               - timer-activate
      3,320,992   1%                                - timer--activate
      3,320,992   1%                                   timer--time-less-p
      2,138,928   0%                                 timer-relative-time
      1,350,912   0%                               - timer-set-time
      1,350,912   0%                                  timer--time-setter
      1,148,790   0%                               re-search-backward
      3,642,351   1%                            - seed7-re-search-backward-closest
      3,618,943   1%                             - seed7-re-search-backward
      1,815,968   0%                              - run-with-timer
      1,815,968   0%                               - run-at-time
        885,472   0%                                - timer-activate
        885,472   0%                                 - timer--activate
        885,472   0%                                    timer--time-less-p
        570,304   0%                                  timer-relative-time
        360,192   0%                                - timer-set-time
        360,192   0%                                   timer--time-setter
      1,802,975   0%                                re-search-backward
         23,408   0%                             - seq-filter
         23,408   0%                                make-symbol
      1,027,006   0%                            - seed7-top-block-name
        557,648   0%                             - seed7--to-top
        389,216   0%                              - seed7-re-search-backward
        220,784   0%                                 re-search-backward
        168,432   0%                               - run-with-timer
        168,432   0%                                - run-at-time
         82,128   0%                                 - timer-activate
         82,128   0%                                  - timer--activate
         82,128   0%                                     timer--time-less-p
         52,896   0%                                   timer-relative-time
         33,408   0%                                 - timer-set-time
         33,408   0%                                    timer--time-setter
        168,432   0%                              - run-with-timer
        168,432   0%                               - run-at-time
         82,128   0%                                - timer-activate
         82,128   0%                                 - timer--activate
         82,128   0%                                    timer--time-less-p
         52,896   0%                                  timer-relative-time
         33,408   0%                                - timer-set-time
         33,408   0%                                   timer--time-setter
        469,358   0%                             - seed7--block-name
        469,358   0%                                seed7-re-search-forward
        204,600   0%                              match-string-no-properties
        163,680   0%                            - user-error
        163,680   0%                               format-message
         73,656   0%                              seed7--no-defun-found-msg-for
         65,472   0%                              match-string
     10,679,809   3%                           - seed7-line-starts-with-any
     10,679,809   3%                              seed7-line-starts-with
      7,355,064   2%                             looking-back
      2,694,128   0%                           - seed7-move-to-line
      2,694,128   0%                              seed7-to-previous-non-empty-line
        784,728   0%                           - seed7--current-line-nth-word
        784,728   0%                            - thing-at-point
        678,336   0%                             - bounds-of-thing-at-point
        433,752   0%                              - #<byte-code-function F1A>
        433,752   0%                               - forward-thing
        433,752   0%                                  format
        155,496   0%                              - #<byte-code-function 962>
        155,496   0%                               - forward-thing
        155,496   0%                                  format
         89,088   0%                                re-search-forward
        380,531   0%                           - seed7--safe-current-line-defun-start-indent
        380,531   0%                            - seed7-to-block-backward
        347,795   0%                             - seed7-re-search-backward
        180,048   0%                              - run-with-timer
        180,048   0%                               - run-at-time
         87,792   0%                                - timer-activate
         87,792   0%                                 - timer--activate
         87,792   0%                                    timer--time-less-p
         56,544   0%                                  timer-relative-time
         35,712   0%                                - timer-set-time
         35,712   0%                                   timer--time-setter
        167,747   0%                                re-search-backward
         24,552   0%                             - seed7--current-line-nth-word
         24,552   0%                              - thing-at-point
         24,552   0%                               - bounds-of-thing-at-point
         16,368   0%                                - #<byte-code-function 68C>
         16,368   0%                                 - forward-thing
         16,368   0%                                    format
          8,184   0%                                - #<byte-code-function 316>
          8,184   0%                                 - forward-thing
