          22  68% - ...
          22  68%  - pel-profile-all
          22  68%   - pel-profile-dir
          22  68%    - pel-profile-indent
          22  68%     - pel-profile-indentation-test-of
          22  68%      - call-interactively
          22  68%       - apply
          22  68%        - call-interactively@ido-cr+-record-current-command
          22  68%         - #<primitive-function call-interactively>
          22  68%          - funcall-interactively
          22  68%           - seed7-complete-statement-or-indent
          22  68%            - seed7-indent-region
          22  68%             - seed7--indent-one-line
          22  68%              - seed7-calc-indent
           6  18%               - seed7-line-inside-a-block-cached
           6  18%                - seed7-line-inside-a-block
           4  12%                 - seed7--safe-enclosing-block-bounds
           4  12%                  - seed7--block-end-pos-for
           4  12%                   - seed7-to-block-forward
           4  12%                    - seed7-end-of-defun
           4  12%                     - seed7-top-block-name
           4  12%                      - seed7--to-top
           3   9%                       - seed7-re-search-backward
           1   3%                        - run-with-timer
           1   3%                         - run-at-time
           1   3%                          - timer-activate
           1   3%                           - timer--activate
           1   3%                              timer--time-less-p
           1   3%                          re-search-backward
           1   3%                        - seed7-inside-comment-p
           1   3%                         - syntax-ppss
           1   3%                            parse-partial-sexp
           1   3%                       - run-with-timer
           1   3%                        - run-at-time
           1   3%                         - timer-activate
           1   3%                          - timer--activate
           1   3%                             timer--time-less-p
           2   6%                 - seed7-re-search-backward
           2   6%                  - run-with-timer
           2   6%                   - run-at-time
           2   6%                    - timer-activate
           2   6%                     - timer--activate
           2   6%                        timer--time-less-p
           5  15%               - seed7-comment-column
           4  12%                - seed7-calc-indent
           2   6%                 - seed7-line-at-endof-set-definition-block
           2   6%                  - seed7-move-to-line
           2   6%                   - seed7-to-previous-non-empty-line
           2   6%                    - seed7-inside-comment-p
           2   6%                     - syntax-ppss
           2   6%                        parse-partial-sexp
           1   3%                 - seed7-line-inside-assign-statement-continuation
           1   3%                  - seed7-assign-op-pos
           1   3%                   - seed7-re-search-backward
           1   3%                    - run-with-timer
           1   3%                     - run-at-time
           1   3%                        timer-relative-time
           1   3%                 - seed7-line-after-short-func-end
           1   3%                  - seed7-move-to-line
           1   3%                   - seed7-to-previous-non-empty-line
           1   3%                    - seed7-inside-comment-p
           1   3%                     - syntax-ppss
           1   3%                        parse-partial-sexp
           1   3%                - seed7-line-code-ends-with
           1   3%                 - seed7-move-to-line
           1   3%                  - seed7-to-previous-non-empty-line
           1   3%                   - seed7-inside-comment-p
           1   3%                      syntax-ppss
           4  12%               - seed7-line-is-defun-end
           2   6%                - seed7--safe-current-line-defun-start-indent
           2   6%                 - seed7-to-block-backward
           1   3%                    seed7--start-regexp-for
           1   3%                  - seed7-inside-line-indent-before-comment-p
           1   3%                   - seed7-inside-comment-p
           1   3%                    - syntax-ppss
           1   3%                       parse-partial-sexp
           2   6%                - seed7-beg-of-defun
           2   6%                 - seed7-re-search-backward
           1   3%                  - seed7-inside-comment-p
           1   3%                   - syntax-ppss
           1   3%                      parse-partial-sexp
           1   3%                  - run-with-timer
           1   3%                   - run-at-time
           1   3%                    - timer-activate
           1   3%                     - timer--activate
           1   3%                        timer--time-less-p
           2   6%               - seed7--indent-search-boundary
           2   6%                - seed7--indent-search-boundary-uncached
           2   6%                 - syntax-ppss
           1   3%                    parse-partial-sexp
           2   6%               - seed7-line-inside-assign-statement-continuation
           2   6%                - seed7-statement-end-pos
           2   6%                 - seed7-forward-char-pos
           2   6%                  - seed7-re-search-forward
           1   3%                   - seed7-inside-string-p
           1   3%                    - syntax-ppss
           1   3%                       parse-partial-sexp
           1   3%                   - seed7-inside-comment-p
           1   3%                    - syntax-ppss
           1   3%                       parse-partial-sexp
           1   3%               - seed7-line-inside-logic-check-expression
           1   3%                - seed7-to-previous-line-starts-with
           1   3%                 - seed7-re-search-backward
           1   3%                  - run-with-timer
           1   3%                   - run-at-time
           1   3%                    - timer-activate
           1   3%                     - timer--activate
           1   3%                        timer--time-less-p
           1   3%               - seed7-line-inside-parens-pair-column
           1   3%                - seed7-line-inside-parens-pair
           1   3%                 - seed7-re-search-backward
           1   3%                  - run-with-timer
           1   3%                   - run-at-time
           1   3%                    - timer-activate
           1   3%                     - timer--activate
           1   3%                        timer--time-less-p
           1   3%               - seed7-line-inside-array-definition-block
           1   3%                - seed7-re-search-backward
           1   3%                 - run-with-timer
           1   3%                  - run-at-time
           1   3%                   - timer-set-time
           1   3%                      timer--time-setter
          10  31%   Automatic GC
