         883  91% - ...
         883  91%  - #<primitive-function call-interactively>
         883  91%   - funcall-interactively
         883  91%    - pel-profile-all
         883  91%     - pel-profile-dir
         883  91%      - pel-profile-indent
         883  91%       - pel-profile-indentation-test-of
         883  91%        - call-interactively
         883  91%         - apply
         883  91%          - call-interactively@ido-cr+-record-current-command
         883  91%           - #<primitive-function call-interactively>
         883  91%            - funcall-interactively
         883  91%             - seed7-complete-statement-or-indent
         883  91%              - seed7-indent-region
         883  91%               - seed7--indent-one-line
         882  91%                - seed7-calc-indent
         516  53%                 - seed7-line-inside-array-definition-block
         320  33%                  - forward-sexp
         320  33%                   - seed7--forward-sexp-function
         114  11%                    - internal--syntax-propertize
         113  11%                     - syntax-propertize
         102  10%                        seed7-mode-syntax-propertize
           1   0%                        syntax-ppss-flush-cache
         196  20%                  - seed7-re-search-backward
         179  18%                     re-search-backward
           9   0%                   - seed7-inside-comment-p
           9   0%                    - syntax-ppss
           9   0%                       parse-partial-sexp
           8   0%                   - run-with-timer
           8   0%                    - run-at-time
           5   0%                     - timer-activate
           5   0%                      - timer--activate
           5   0%                         timer--time-less-p
           3   0%                     - timer-set-time
           3   0%                        timer--time-setter
         272  28%                 - seed7-line-inside-nested-parens-pairs-column
         272  28%                  - seed7-line-inside-nested-parens-pairs
         272  28%                   - seed7-line-inside-parens-pair
         272  28%                    - seed7-line-inside-syntax-parens-pair
         192  20%                     - forward-sexp
         192  20%                        seed7--forward-sexp-function
          79   8%                     - syntax-ppss
          79   8%                        parse-partial-sexp
          60   6%                 - seed7-comment-column
          58   6%                  - seed7-calc-indent
          36   3%                   - seed7-line-inside-array-definition-block
          24   2%                    - forward-sexp
          24   2%                     - seed7--forward-sexp-function
           7   0%                      - internal--syntax-propertize
           7   0%                       - syntax-propertize
           6   0%                          seed7-mode-syntax-propertize
          12   1%                    - seed7-re-search-backward
           9   0%                       re-search-backward
           1   0%                     - run-with-timer
           1   0%                      - run-at-time
           1   0%                         timer-relative-time
           1   0%                     - seed7-inside-string-p
           1   0%                        syntax-ppss
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
          15   1%                   - seed7-line-inside-nested-parens-pairs-column
          15   1%                    - seed7-line-inside-nested-parens-pairs
          15   1%                     - seed7-line-inside-parens-pair
          15   1%                      - seed7-line-inside-syntax-parens-pair
          15   1%                       - forward-sexp
          15   1%                          seed7--forward-sexp-function
           2   0%                   - seed7-line-is-defun-end
           2   0%                    - seed7-move-to-line
           2   0%                     - seed7-to-previous-non-empty-line
           2   0%                      - seed7-inside-comment-p
           2   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           2   0%                   - seed7-line-starts-with-open-paren-after-logic-operator
           2   0%                    - seed7-move-to-line
           2   0%                     - seed7-to-previous-non-empty-line
           2   0%                      - seed7-inside-comment-p
           2   0%                       - syntax-ppss
           2   0%                          parse-partial-sexp
           1   0%                   - seed7-line-after-func-return-logic-operator-column
           1   0%                    - seed7-move-to-line
           1   0%                     - seed7-to-previous-non-empty-line
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           1   0%                   - seed7-line-inside-parens-pair-column
           1   0%                    - seed7-line-inside-parens-pair
           1   0%                     - seed7-re-search-backward
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           1   0%                   - seed7-line-at-endof-array-definition-block
           1   0%                    - seed7-move-to-line
           1   0%                     - seed7-to-previous-non-empty-line
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           2   0%                  - seed7-line-code-ends-with
           2   0%                   - seed7-re-search-backward
           2   0%                    - run-with-timer
           2   0%                     - run-at-time
           2   0%                      - timer-activate
           2   0%                       - timer--activate
           2   0%                          timer--time-less-p
          22   2%                 - seed7--current-line-nth-word
          22   2%                  - thing-at-point
          22   2%                   - bounds-of-thing-at-point
          22   2%                    - #<byte-code-function 597>
          22   2%                     - forward-thing
          22   2%                      - forward-word
          22   2%                       - internal--syntax-propertize
          22   2%                        - syntax-propertize
          20   2%                           seed7-mode-syntax-propertize
          11   1%                 - seed7-current-line-start-inside-comment-p
          11   1%                  - seed7-inside-comment-p
          11   1%                   - syntax-ppss
          11   1%                      parse-partial-sexp
           1   0%                 - seed7-line-is-defun-end
           1   0%                  - seed7-beg-of-defun
           1   0%                   - seed7-re-search-backward-closest
           1   0%                    - seed7-re-search-backward
           1   0%                     - run-with-timer
           1   0%                      - run-at-time
           1   0%                         timer-relative-time
           1   0%                - jit-lock-after-change
           1   0%                   font-lock-extend-jit-lock-region-after-change
          77   8%   Automatic GC
