         197  89% - ...
         197  89%  - call-interactively@ido-cr+-record-current-command
         197  89%   - #<primitive-function call-interactively>
         197  89%    - funcall-interactively
         195  88%     - pel-profile-all
         195  88%      - pel-profile-dir
         195  88%       - pel-profile-indent
         195  88%        - pel-profile-indentation-test-of
         195  88%         - call-interactively
         195  88%          - apply
         195  88%           - call-interactively@ido-cr+-record-current-command
         195  88%            - #<primitive-function call-interactively>
         195  88%             - funcall-interactively
         195  88%              - seed7-complete-statement-or-indent
         195  88%               - seed7-indent-region
         195  88%                - seed7--indent-one-line
         195  88%                 - seed7-calc-indent
         181  82%                  - seed7-comment-column
         181  82%                   - seed7-calc-indent
         131  59%                    - seed7-line-inside-parens-pair-column
         131  59%                     - seed7-line-inside-parens-pair
         130  59%                      - seed7-re-search-backward
          90  40%                       - seed7-inside-comment-p
          90  40%                        - syntax-ppss
          89  40%                           parse-partial-sexp
           1   0%                           make-closure
          38  17%                       - run-with-timer
          38  17%                        - run-at-time
          29  13%                         - timer-activate
          29  13%                          - timer--activate
          29  13%                             timer--time-less-p
           7   3%                         - timer-set-time
           7   3%                            timer--time-setter
           2   0%                           timer-relative-time
           1   0%                         re-search-backward
           1   0%                       - seed7-inside-string-p
           1   0%                          syntax-ppss
          44  20%                    - seed7--indent-search-boundary
          44  20%                     - seed7--indent-search-boundary-uncached
          44  20%                      - syntax-ppss
          44  20%                         parse-partial-sexp
           3   1%                    - seed7-line-at-endof-set-definition-block
           2   0%                     - seed7-move-to-line
           2   0%                      - seed7-to-previous-non-empty-line
           2   0%                       - seed7-inside-comment-p
           2   0%                        - syntax-ppss
           2   0%                           parse-partial-sexp
           1   0%                     - seed7-line-code-ends-with
           1   0%                      - seed7-re-search-backward
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                           timer-relative-time
           2   0%                    - seed7-line-after-short-func-end
           2   0%                     - seed7-move-to-line
           2   0%                      - seed7-to-previous-non-empty-line
           2   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           1   0%                    - seed7-line-inside-assign-statement-continuation
           1   0%                     - seed7-assign-op-pos
           1   0%                      - seed7-re-search-backward
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           4   1%                  - seed7-line-after-short-func-end
           1   0%                   - seed7-move-to-line
           1   0%                    - seed7-to-previous-non-empty-line
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           3   1%                  - seed7-line-inside-set-definition-block
           3   1%                   - seed7-re-search-backward
           3   1%                    - run-with-timer
           3   1%                     - run-at-time
           2   0%                      - timer-activate
           2   0%                       - timer--activate
           2   0%                          timer--time-less-p
           1   0%                      - timer-set-time
           1   0%                         timer--time-setter
           3   1%                  - seed7-line-inside-array-definition-block
           3   1%                   - seed7-re-search-backward
           3   1%                    - run-with-timer
           3   1%                     - run-at-time
           3   1%                      - timer-activate
           3   1%                       - timer--activate
           3   1%                          timer--time-less-p
           2   0%                  - seed7-line-inside-assign-statement-continuation
           2   0%                   - seed7-assign-op-pos
           2   0%                    - seed7-re-search-backward
           2   0%                     - run-with-timer
           2   0%                      - run-at-time
           2   0%                       - timer-activate
           2   0%                        - timer--activate
           2   0%                           timer--time-less-p
           2   0%                  - seed7-line-is-defun-end
           2   0%                   - seed7-move-to-line
           2   0%                    - seed7-to-previous-non-empty-line
           2   0%                     - seed7-inside-comment-p
           2   0%                      - syntax-ppss
           2   0%                         parse-partial-sexp
           2   0%     - seed7-complete-statement-or-indent
           2   0%      - seed7-indent-region
           2   0%       - seed7--indent-one-line
           2   0%        - seed7-calc-indent
           2   0%         - seed7-comment-column
           2   0%          - seed7-calc-indent
           1   0%           - seed7-line-at-endof-array-definition-block
           1   0%            - seed7-line-code-ends-with
           1   0%             - seed7-re-search-backward
           1   0%              - run-with-timer
           1   0%               - run-at-time
           1   0%                - timer-activate
           1   0%                 - timer--activate
           1   0%                    timer--time-less-p
           1   0%           - seed7-line-inside-assign-statement-continuation
           1   0%            - seed7-assign-op-pos
           1   0%             - seed7-re-search-backward
           1   0%              - run-with-timer
           1   0%               - run-at-time
           1   0%                - timer-set-time
           1   0%                   timer--time-setter
          23  10%   Automatic GC
