        8555  94% - ...
        8555  94%  - funcall-interactively
        8555  94%   - pel-profile-all
        8555  94%    - pel-profile-dir
        8555  94%     - pel-profile-indent
        8555  94%      - pel-profile-indentation-test-of
        8555  94%       - call-interactively
        8555  94%        - apply
        8555  94%         - call-interactively@ido-cr+-record-current-command
        8555  94%          - #<primitive-function call-interactively>
        8555  94%           - funcall-interactively
        7855  86%            - pel-profile-all
        7855  86%             - pel-profile-dir
        7855  86%              - pel-profile-indent
        7855  86%               - pel-profile-indentation-test-of
        7855  86%                - call-interactively
        7855  86%                 - apply
        7855  86%                  - call-interactively@ido-cr+-record-current-command
        7855  86%                   - #<primitive-function call-interactively>
        7855  86%                    - funcall-interactively
        7855  86%                     - seed7-complete-statement-or-indent
        7855  86%                      - seed7-indent-region
        7855  86%                       - seed7--indent-one-line
        7852  86%                        - seed7-calc-indent
        7272  80%                         - seed7--indent-search-boundary
        7270  80%                          - seed7--indent-search-boundary-uncached
        7203  79%                           - syntax-ppss
        7168  79%                              parse-partial-sexp
           6   0%                              syntax-ppss--update-stats
           4   0%                              make-closure
           2   0%                              syntax-table
           2   0%                              syntax-ppss--data
           1   0%                              syntax-propertize
           1   0%                            - #<byte-code-function 59E>
           1   0%                               set-syntax-table
          13   0%                             seed7-to-indent
         452   4%                         - seed7-line-is-defun-end
         296   3%                          - seed7-end-of-defun
         238   2%                           - seed7-top-block-name
         237   2%                            - seed7--to-top
         237   2%                             - seed7-re-search-backward
         185   2%                              - seed7-inside-comment-p
         185   2%                               - syntax-ppss
         183   2%                                  parse-partial-sexp
           1   0%                                  syntax-propertize
          43   0%                              - run-with-timer
          43   0%                               - run-at-time
          21   0%                                - timer-activate
          21   0%                                 - timer--activate
          21   0%                                    timer--time-less-p
          18   0%                                - timer-set-time
          18   0%                                   timer--time-setter
           4   0%                                  timer-relative-time
           8   0%                                re-search-backward
           1   0%                            - seed7--block-name
           1   0%                               seed7-re-search-forward
          51   0%                           - seed7-re-search-forward
          15   0%                            - seed7-inside-comment-p
          15   0%                             - syntax-ppss
           9   0%                                parse-partial-sexp
           6   0%                              - syntax-propertize
           3   0%                               - #<byte-code-function 7E1>
           3   0%                                - syntax-propertize-wholelines
           2   0%                                   syntax--lbp
           2   0%                                 seed7-mode-syntax-propertize
          11   0%                            - seed7-inside-string-p
          11   0%                             - syntax-ppss
          11   0%                                parse-partial-sexp
           4   0%                           - seed7-re-search-backward
           4   0%                            - seed7-inside-comment-p
           4   0%                             - syntax-ppss
           4   0%                                parse-partial-sexp
         140   1%                          - seed7-beg-of-defun
         121   1%                           - seed7-re-search-backward
          81   0%                            - seed7-inside-comment-p
          81   0%                             - syntax-ppss
          81   0%                                parse-partial-sexp
          31   0%                            - run-with-timer
          31   0%                             - run-at-time
          18   0%                              - timer-activate
          18   0%                               - timer--activate
          18   0%                                  timer--time-less-p
           9   0%                              - timer-set-time
           9   0%                                 timer--time-setter
           2   0%                                timer-relative-time
           1   0%                                timer-set-function
           1   0%                                timer-create
           7   0%                              re-search-backward
           2   0%                            - seed7-inside-string-p
           2   0%                             - syntax-ppss
           2   0%                                parse-partial-sexp
          16   0%                           - seed7-re-search-backward-closest
          16   0%                            - seed7-re-search-backward
          15   0%                               re-search-backward
           1   0%                             - run-with-timer
           1   0%                              - run-at-time
           1   0%                               - timer-activate
           1   0%                                - timer--activate
           1   0%                                   timer--time-less-p
           2   0%                           - seed7-top-block-name
           2   0%                            - seed7--to-top
           2   0%                             - seed7-re-search-backward
           1   0%                              - run-with-timer
           1   0%                               - run-at-time
           1   0%                                - timer-activate
           1   0%                                 - timer--activate
           1   0%                                    timer--time-less-p
           1   0%                              - seed7-inside-comment-p
           1   0%                               - syntax-ppss
           1   0%                                  parse-partial-sexp
           6   0%                          - seed7-move-to-line
           6   0%                           - seed7-to-previous-non-empty-line
           5   0%                            - seed7-inside-comment-p
           5   0%                             - syntax-ppss
           5   0%                                parse-partial-sexp
           6   0%                          - seed7--safe-current-line-defun-start-indent
           6   0%                           - seed7-to-block-backward
           5   0%                            - seed7-re-search-backward
           3   0%                             - seed7-inside-comment-p
           3   0%                              - syntax-ppss
           3   0%                                 parse-partial-sexp
           2   0%                             - run-with-timer
           2   0%                              - run-at-time
           1   0%                               - timer-activate
           1   0%                                - timer--activate
           1   0%                                   timer--time-less-p
           1   0%                               - timer-set-time
           1   0%                                  timer--time-setter
           1   0%                              seed7--current-line-nth-word
           3   0%                          - seed7--current-line-nth-word
           3   0%                           - thing-at-point
           3   0%                            - bounds-of-thing-at-point
           2   0%                             - #<byte-code-function 52D>
           2   0%                              - forward-thing
           2   0%                                 forward-word
           1   0%                             - #<byte-code-function E4E>
           1   0%                              - forward-thing
           1   0%                                 forward-word
           1   0%                            looking-back
          95   1%                         - seed7-line-inside-parens-pair-column
          95   1%                          - seed7-line-inside-parens-pair
          89   0%                           - seed7-re-search-backward
          42   0%                            - run-with-timer
          42   0%                             - run-at-time
          30   0%                              - timer-activate
          30   0%                               - timer--activate
          30   0%                                  timer--time-less-p
           9   0%                              - timer-set-time
           9   0%                                 timer--time-setter
           3   0%                                timer-relative-time
          39   0%                            - seed7-inside-comment-p
          39   0%                             - syntax-ppss
          38   0%                                parse-partial-sexp
           6   0%                            - seed7-inside-string-p
           6   0%                             - syntax-ppss
           5   0%                                parse-partial-sexp
           1   0%                              re-search-backward
           4   0%                           - seed7-line-inside-syntax-parens-pair
           4   0%                            - syntax-ppss
           4   0%                               parse-partial-sexp
           1   0%                           - forward-sexp
           1   0%                              seed7--forward-sexp-function
          25   0%                         - seed7--current-line-nth-word
          25   0%                          - thing-at-point
          24   0%                           - bounds-of-thing-at-point
          22   0%                            - #<byte-code-function 8AC>
          22   0%                             - forward-thing
          22   0%                              - forward-word
          21   0%                               - internal--syntax-propertize
          21   0%                                - syntax-propertize
          19   0%                                   seed7-mode-syntax-propertize
           1   0%                                 - #<byte-code-function 3D3>
           1   0%                                  - syntax-propertize-wholelines
           1   0%                                     syntax--lbp
           1   0%                              re-search-forward
           1   0%                              seq-some
           7   0%                         - seed7-line-inside-func-return-statement
           7   0%                          - seed7-re-search-backward
           5   0%                           - run-with-timer
           5   0%                            - run-at-time
           4   0%                             - timer-activate
           4   0%                              - timer--activate
           4   0%                                 timer--time-less-p
           1   0%                             - timer-set-time
           1   0%                                timer--time-setter
           1   0%                             re-search-backward
           1   0%                           seed7-line-after-func-return-logic-operator-column
           2   0%                          flyspell-after-change-function
         700   7%            - seed7-complete-statement-or-indent
         700   7%             - seed7-indent-region
         700   7%              - seed7--indent-one-line
         700   7%               - seed7-calc-indent
         433   4%                - seed7-line-inside-a-block-cached
         433   4%                 - seed7-line-inside-a-block
         366   4%                  - seed7--safe-enclosing-block-bounds
         366   4%                   - seed7--block-end-pos-for
         366   4%                    - seed7-to-block-forward
         340   3%                     - seed7-end-of-defun
         317   3%                      - seed7-top-block-name
         316   3%                       - seed7--to-top
         312   3%                        - seed7-re-search-backward
         224   2%                         - seed7-inside-comment-p
         224   2%                          - syntax-ppss
         222   2%                             parse-partial-sexp
           2   0%                           - syntax-propertize
           2   0%                              seed7-mode-syntax-propertize
          76   0%                         - run-with-timer
          76   0%                          - run-at-time
          58   0%                           - timer-activate
          58   0%                            - timer--activate
          57   0%                             - timer--time-less-p
           1   0%                                timer--time
          14   0%                           - timer-set-time
          14   0%                              timer--time-setter
           4   0%                             timer-relative-time
          12   0%                           re-search-backward
           2   0%                        - run-with-timer
           2   0%                         - run-at-time
           2   0%                          - timer-activate
           2   0%                           - timer--activate
           2   0%                              timer--time-less-p
           1   0%                          seed7-to-indent
           1   0%                       - seed7--block-name
           1   0%                          match-string
          20   0%                      - seed7-re-search-forward
           4   0%                       - internal--syntax-propertize
           4   0%                        - syntax-propertize
           4   0%                           seed7-mode-syntax-propertize
           3   0%                       - seed7-inside-comment-p
           3   0%                        - syntax-ppss
           3   0%                           parse-partial-sexp
           1   0%                       - seed7-inside-string-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           3   0%                      - seed7-re-search-backward
           2   0%                       - seed7-inside-comment-p
           2   0%                        - syntax-ppss
           2   0%                           parse-partial-sexp
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
          13   0%                     - seed7-re-search-forward
           7   0%                      - seed7-inside-string-p
           7   0%                       - syntax-ppss
           7   0%                          parse-partial-sexp
           3   0%                      - seed7-inside-comment-p
           3   0%                       - syntax-ppss
           3   0%                          parse-partial-sexp
           8   0%                     - seed7--current-line-nth-word
           7   0%                      - thing-at-point
           6   0%                       - bounds-of-thing-at-point
           2   0%                          re-search-forward
           2   0%                        - #<byte-code-function 121>
           2   0%                         - forward-thing
           1   0%                            forward-word
           1   0%                            format
           1   0%                        - #<byte-code-function C34>
           1   0%                         - forward-thing
           1   0%                            forward-word
           4   0%                     - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           3   0%                      - seed7-inside-comment-p
           3   0%                       - syntax-ppss
           3   0%                          parse-partial-sexp
           1   0%                        seed7-inside-line-indent-before-comment-p
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
          58   0%                  - seed7-re-search-backward
          34   0%                   - seed7-inside-comment-p
          34   0%                    - syntax-ppss
          34   0%                       parse-partial-sexp
          19   0%                   - run-with-timer
          19   0%                    - run-at-time
          12   0%                     - timer-activate
          12   0%                      - timer--activate
          12   0%                         timer--time-less-p
           5   0%                     - timer-set-time
           5   0%                        timer--time-setter
           2   0%                       timer-relative-time
           3   0%                     re-search-backward
