      3,257,294  99% - ...
      3,257,294  99%  - #<primitive-function call-interactively>
      3,257,294  99%   - funcall-interactively
      3,257,294  99%    - smex
      3,257,294  99%     - smex-read-and-run
      3,257,294  99%      - execute-extended-command
      3,257,294  99%       - command-execute
      3,257,294  99%        - call-interactively
      3,257,294  99%         - apply
      3,257,294  99%          - call-interactively@ido-cr+-record-current-command
      3,257,294  99%           - #<primitive-function call-interactively>
      3,257,294  99%            - funcall-interactively
      3,161,575  96%             - pel-profile-all
      3,161,575  96%              - pel-profile-dir
      3,161,575  96%               - pel-profile-indent
      3,161,575  96%                - pel-profile-indentation-test-of
      1,600,491  49%                 - call-interactively
      1,600,491  49%                  - apply
      1,600,491  49%                   - call-interactively@ido-cr+-record-current-command
      1,600,491  49%                    - #<primitive-function call-interactively>
      1,600,491  49%                     - funcall-interactively
      1,600,475  49%                      - seed7-complete-statement-or-indent
      1,600,475  49%                       - seed7-indent-region
      1,600,475  49%                        - seed7--indent-one-line
      1,600,475  49%                         - seed7-calc-indent
        590,755  18%                          - seed7-line-is-defun-end
        303,024   9%                           - seed7-end-of-defun
        267,168   8%                            - seed7-top-block-name
        267,168   8%                             - seed7--to-top
        249,744   7%                              - seed7-re-search-backward
        249,744   7%                               - run-with-timer
        249,744   7%                                - run-at-time
        121,776   3%                                 - timer-activate
        121,776   3%                                  - timer--activate
        121,776   3%                                     timer--time-less-p
         78,432   2%                                   timer-relative-time
         49,536   1%                                 - timer-set-time
         49,536   1%                                    timer--time-setter
         17,424   0%                              - run-with-timer
         17,424   0%                               - run-at-time
          8,496   0%                                - timer-activate
          8,496   0%                                 - timer--activate
          8,496   0%                                    timer--time-less-p
          5,472   0%                                  timer-relative-time
          3,456   0%                                - timer-set-time
          3,456   0%                                   timer--time-setter
         17,424   0%                            - seed7-re-search-backward
         17,424   0%                             - run-with-timer
         17,424   0%                              - run-at-time
          8,496   0%                               - timer-activate
          8,496   0%                                - timer--activate
          8,496   0%                                   timer--time-less-p
          5,472   0%                                 timer-relative-time
          3,456   0%                               - timer-set-time
          3,456   0%                                  timer--time-setter
         12,288   0%                              seed7-re-search-forward
        170,931   5%                           - seed7-beg-of-defun
         59,588   1%                            - seed7-re-search-backward
         46,464   1%                             - run-with-timer
         46,464   1%                              - run-at-time
         22,656   0%                               - timer-activate
         22,656   0%                                - timer--activate
         22,656   0%                                   timer--time-less-p
         14,592   0%                                 timer-relative-time
          9,216   0%                               - timer-set-time
          9,216   0%                                  timer--time-setter
         13,124   0%                               re-search-backward
         54,581   1%                            - seed7-re-search-backward-closest
