          50  67% - ...
          50  67%  - pel-profile-all
          50  67%   - pel-profile-dir
          50  67%    - pel-profile-indent
          50  67%     - pel-profile-indentation-test-of
          50  67%      - call-interactively
          50  67%       - apply
          50  67%        - call-interactively@ido-cr+-record-current-command
          50  67%         - #<primitive-function call-interactively>
          50  67%          - funcall-interactively
          40  54%           - seed7-complete-statement-or-indent
          40  54%            - seed7-indent-region
          40  54%             - seed7--indent-one-line
          40  54%              - seed7-calc-indent
          14  18%               - seed7-line-is-defun-end
           9  12%                - seed7-end-of-defun
           7   9%                 - seed7-top-block-name
           7   9%                  - seed7--to-top
           7   9%                   - seed7-re-search-backward
           5   6%                    - run-with-timer
           5   6%                     - run-at-time
           5   6%                      - timer-activate
           5   6%                       - timer--activate
           5   6%                          timer--time-less-p
           2   2%                    - seed7-inside-comment-p
           2   2%                     - syntax-ppss
           2   2%                        parse-partial-sexp
           1   1%                 - seed7-re-search-forward
           1   1%                    seed7-inside-comment-p
           1   1%                 - seed7-re-search-backward
           1   1%                  - run-with-timer
           1   1%                   - run-at-time
           1   1%                    - timer-activate
           1   1%                     - timer--activate
           1   1%                        timer--time-less-p
           5   6%                - seed7-beg-of-defun
           3   4%                 - seed7-re-search-backward
           2   2%                  - run-with-timer
           2   2%                   - run-at-time
           2   2%                    - timer-set-time
           2   2%                       timer--time-setter
           1   1%                  - seed7-inside-string-p
           1   1%                   - syntax-ppss
           1   1%                      parse-partial-sexp
           2   2%                 - seed7-top-block-name
           2   2%                  - seed7--to-top
           2   2%                   - run-with-timer
           2   2%                    - run-at-time
           1   1%                     - timer-activate
           1   1%                      - timer--activate
           1   1%                         timer--time-less-p
           1   1%                       timer-relative-time
          10  13%               - seed7-line-inside-a-block-cached
          10  13%                - seed7-line-inside-a-block
           8  10%                 - seed7--safe-enclosing-block-bounds
           8  10%                  - seed7--block-end-pos-for
           8  10%                   - seed7-to-block-forward
           8  10%                    - seed7-end-of-defun
           7   9%                     - seed7-top-block-name
           7   9%                      - seed7--to-top
           7   9%                       - seed7-re-search-backward
           4   5%                        - seed7-inside-comment-p
           4   5%                         - syntax-ppss
           4   5%                            parse-partial-sexp
           3   4%                        - run-with-timer
           3   4%                         - run-at-time
           2   2%                          - timer-set-time
           2   2%                             timer--time-setter
           1   1%                          - timer-activate
           1   1%                           - timer--activate
           1   1%                              timer--time-less-p
           1   1%                     - seed7-re-search-backward
           1   1%                      - seed7-inside-comment-p
           1   1%                       - syntax-ppss
           1   1%                          parse-partial-sexp
           2   2%                 - seed7-calc-indent
           1   1%                  - seed7-line-after-short-func-end
           1   1%                   - seed7-move-to-line
           1   1%                    - seed7-to-previous-non-empty-line
           1   1%                     - seed7-inside-comment-p
           1   1%                      - syntax-ppss
           1   1%                         parse-partial-sexp
           1   1%                  - seed7-line-is-defun-end
           1   1%                   - seed7-move-to-line
           1   1%                    - seed7-to-previous-non-empty-line
           1   1%                     - seed7-inside-comment-p
           1   1%                      - syntax-ppss
           1   1%                         parse-partial-sexp
           9  12%               - seed7-comment-column
           8  10%                - seed7-calc-indent
           3   4%                 - seed7-line-inside-a-block-cached
           3   4%                  - seed7-line-inside-a-block
           3   4%                   - seed7--safe-enclosing-block-bounds
           3   4%                    - seed7--block-end-pos-for
           3   4%                     - seed7-to-block-forward
           3   4%                      - seed7-end-of-defun
           3   4%                       - seed7-top-block-name
           3   4%                        - seed7--to-top
           3   4%                         - seed7-re-search-backward
           2   2%                          - run-with-timer
           2   2%                           - run-at-time
           2   2%                            - timer-activate
           2   2%                             - timer--activate
           2   2%                                timer--time-less-p
           1   1%                          - seed7-inside-comment-p
           1   1%                           - syntax-ppss
           1   1%                              parse-partial-sexp
           2   2%                 - seed7-line-inside-parens-pair-column
           2   2%                  - seed7-line-inside-parens-pair
           2   2%                   - seed7-re-search-backward
           2   2%                    - seed7-inside-comment-p
           2   2%                     - syntax-ppss
           2   2%                        parse-partial-sexp
           1   1%                 - seed7-line-inside-array-definition-block
           1   1%                  - seed7-re-search-backward
           1   1%                     re-search-backward
           1   1%                 - seed7-line-after-short-func-end
           1   1%                  - seed7-move-to-line
           1   1%                   - seed7-to-previous-non-empty-line
           1   1%                    - seed7-inside-comment-p
           1   1%                     - syntax-ppss
           1   1%                        parse-partial-sexp
           1   1%                 - seed7--indent-search-boundary
           1   1%                  - seed7--indent-search-boundary-uncached
           1   1%                   - syntax-ppss
           1   1%                      parse-partial-sexp
           1   1%                - seed7-line-code-ends-with
           1   1%                 - seed7-re-search-backward
           1   1%                  - run-with-timer
           1   1%                   - run-at-time
           1   1%                    - timer-activate
           1   1%                     - timer--activate
           1   1%                        timer--time-less-p
           2   2%               - seed7-line-inside-parens-pair-column
           2   2%                - seed7-line-inside-parens-pair
           2   2%                 - seed7-re-search-backward
           1   1%                  - seed7-inside-comment-p
           1   1%                   - syntax-ppss
           1   1%                      parse-partial-sexp
           1   1%                    re-search-backward
           1   1%               - seed7-line-inside-array-definition-block
           1   1%                - seed7-re-search-backward
           1   1%                 - run-with-timer
           1   1%                  - run-at-time
           1   1%                   - timer-activate
           1   1%                    - timer--activate
           1   1%                       timer--time-less-p
           1   1%               - seed7-line-inside-argument-list-section
           1   1%                - seed7-re-search-backward
           1   1%                 - run-with-timer
           1   1%                  - run-at-time
           1   1%                   - timer-activate
           1   1%                    - timer--activate
           1   1%                       timer--time-less-p
           1   1%               - seed7--current-line-nth-word
           1   1%                - thing-at-point
           1   1%                 - bounds-of-thing-at-point
           1   1%                  - #<byte-code-function 70B>
           1   1%                   - forward-thing
           1   1%                    - forward-word
           1   1%                     - internal--syntax-propertize
           1   1%                      - syntax-propertize
           1   1%                         seed7-mode-syntax-propertize
           1   1%               - seed7-line-inside-until-logic-expression
           1   1%                - seed7-re-search-backward
           1   1%                 - run-with-timer
           1   1%                  - run-at-time
           1   1%                   - timer-activate
           1   1%                    - timer--activate
           1   1%                       timer--time-less-p
           1   1%               - seed7-line-starts-with
           1   1%                - seed7-move-to-line
           1   1%                   seed7-to-previous-non-empty-line
          10  13%           - pel-profile-all
          10  13%            - pel-profile-dir
          10  13%             - pel-profile-indent
          10  13%              - pel-profile-indentation-test-of
          10  13%               - call-interactively
          10  13%                - apply
          10  13%                 - call-interactively@ido-cr+-record-current-command
          10  13%                  - #<primitive-function call-interactively>
          10  13%                   - funcall-interactively
          10  13%                    - seed7-complete-statement-or-indent
          10  13%                     - seed7-indent-region
          10  13%                      - seed7--indent-one-line
          10  13%                       - seed7-calc-indent
          10  13%                        - seed7--indent-search-boundary
          10  13%                         - seed7--indent-search-boundary-uncached
           7   9%                          - syntax-ppss
           7   9%                             parse-partial-sexp
           1   1%                            seed7-to-indent
          24  32%   Automatic GC
