      6,747,356  99% - ...
      6,747,356  99%  - #<primitive-function call-interactively>
      6,747,356  99%   - funcall-interactively
      6,747,356  99%    - smex
      6,747,356  99%     - smex-read-and-run
      6,747,356  99%      - execute-extended-command
      6,747,356  99%       - command-execute
      6,747,356  99%        - call-interactively
      6,747,356  99%         - apply
      6,747,356  99%          - call-interactively@ido-cr+-record-current-command
      6,747,356  99%           - #<primitive-function call-interactively>
      6,747,356  99%            - funcall-interactively
      6,747,356  99%             - pel-profile-all
      6,747,356  99%              - pel-profile-dir
      6,747,356  99%               - pel-profile-indent
      6,747,356  99%                - pel-profile-indentation-test-of
      5,175,168  76%                 - call-interactively
      5,175,168  76%                  - apply
      5,175,168  76%                   - call-interactively@ido-cr+-record-current-command
      5,175,168  76%                    - #<primitive-function call-interactively>
      5,175,168  76%                     - funcall-interactively
      5,175,152  76%                      - seed7-complete-statement-or-indent
      5,175,152  76%                       - seed7-indent-region
      5,175,152  76%                        - seed7--indent-one-line
      5,162,720  76%                         - seed7-calc-indent
      1,274,422  18%                          - seed7-line-inside-a-block-cached
      1,270,278  18%                           - seed7-line-inside-a-block
        676,570  10%                            - seed7--safe-enclosing-block-bounds
        676,570  10%                             - seed7--block-end-pos-for
        631,322   9%                              - seed7-to-block-forward
        344,211   5%                               - seed7-end-of-defun
        248,348   3%                                - seed7-top-block-name
        243,280   3%                                 - seed7--to-top
        210,096   3%                                  - seed7-re-search-backward
        181,136   2%                                   - run-with-timer
        181,136   2%                                    - run-at-time
         88,528   1%                                     - timer-activate
         88,528   1%                                      - timer--activate
         88,528   1%                                         timer--time-less-p
         51,680   0%                                       timer-relative-time
         36,784   0%                                     - timer-set-time
         36,784   0%                                        timer--time-setter
          4,144   0%                                       timer-create
         12,432   0%                                   - seed7-inside-string-p
          4,144   0%                                    - syntax-ppss
          4,144   0%                                       make-closure
          8,288   0%                                   - seed7-inside-comment-p
          4,144   0%                                    - syntax-ppss
          4,144   0%                                       make-closure
          4,144   0%                                     make-closure
          4,096   0%                                     re-search-backward
         33,184   0%                                  - run-with-timer
         33,184   0%                                   - run-at-time
         14,160   0%                                    - timer-activate
         14,160   0%                                     - timer--activate
         14,160   0%                                        timer--time-less-p
          9,120   0%                                      timer-relative-time
          5,760   0%                                    - timer-set-time
          5,760   0%                                       timer--time-setter
          4,144   0%                                      timer-create
          5,068   0%                                 - seed7--block-name
          5,068   0%                                    seed7-re-search-forward
         49,760   0%                                - seed7-re-search-backward
         29,040   0%                                 - run-with-timer
         29,040   0%                                  - run-at-time
         14,160   0%                                   - timer-activate
         14,160   0%                                    - timer--activate
         14,160   0%                                       timer--time-less-p
          9,120   0%                                     timer-relative-time
          5,760   0%                                   - timer-set-time
          5,760   0%                                      timer--time-setter
         16,576   0%                                   seed7-inside-string-p
          4,144   0%                                   make-closure
         19,495   0%                                - seed7-re-search-forward
          4,144   0%                                 - seed7-inside-string-p
          4,144   0%                                  - syntax-ppss
          4,144   0%                                     make-closure
        105,031   1%                               - seed7-re-search-forward
         12,432   0%                                - seed7-inside-string-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
          8,288   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
         84,160   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          8,288   0%                                - seed7-inside-comment-p
          8,288   0%                                 - syntax-ppss
          8,288   0%                                    make-closure
          4,144   0%                                  seed7-inside-line-indent-before-comment-p
         81,344   1%                               - seed7--current-line-nth-word
         81,344   1%                                - thing-at-point
         81,344   1%                                 - bounds-of-thing-at-point
         20,720   0%                                    make-closure
         16,368   0%                                  - #<byte-code-function 706>
         16,368   0%                                   - forward-thing
         16,368   0%                                      format
         16,368   0%                                  - #<byte-code-function 110>
         16,368   0%                                   - forward-thing
