        1494  87% - ...
        1494  87%  - pel-profile-indentation-test-of
        1494  87%   - call-interactively
        1494  87%    - apply
        1494  87%     - call-interactively@ido-cr+-record-current-command
        1494  87%      - #<primitive-function call-interactively>
        1494  87%       - funcall-interactively
        1493  87%        - pel-profile-all
        1493  87%         - pel-profile-dir
        1493  87%          - pel-profile-indent
        1493  87%           - pel-profile-indentation-test-of
        1493  87%            - call-interactively
        1493  87%             - apply
        1493  87%              - call-interactively@ido-cr+-record-current-command
        1493  87%               - #<primitive-function call-interactively>
        1493  87%                - funcall-interactively
        1493  87%                 - seed7-complete-statement-or-indent
        1493  87%                  - seed7-indent-region
        1493  87%                   - seed7--indent-one-line
        1491  86%                    - seed7-calc-indent
         517  30%                     - seed7-line-inside-a-block-cached
         516  30%                      - seed7-line-inside-a-block
         306  17%                       - seed7--safe-enclosing-block-bounds
         306  17%                        - seed7--block-end-pos-for
         296  17%                         - seed7-to-block-forward
         282  16%                          - seed7-end-of-defun
         259  15%                           - seed7-top-block-name
         258  15%                            - seed7--to-top
         251  14%                             - seed7-re-search-backward
         205  11%                              - seed7-inside-comment-p
         205  11%                               - syntax-ppss
         205  11%                                  parse-partial-sexp
          40   2%                              - run-with-timer
          40   2%                               - run-at-time
          20   1%                                - timer-activate
          20   1%                                 - timer--activate
          20   1%                                    timer--time-less-p
          17   0%                                - timer-set-time
          17   0%                                   timer--time-setter
           3   0%                                  timer-relative-time
           4   0%                                re-search-backward
           1   0%                              - seed7-inside-string-p
           1   0%                               - syntax-ppss
           1   0%                                  syntax-ppss--update-stats
           1   0%                             - run-with-timer
           1   0%                              - run-at-time
           1   0%                               - timer-activate
           1   0%                                - timer--activate
           1   0%                                   timer--time-less-p
           1   0%                               seed7-to-indent
           1   0%                            - seed7--block-name
           1   0%                             - seed7-re-search-forward
           1   0%                              - seed7-inside-comment-p
           1   0%                               - syntax-ppss
           1   0%                                  parse-partial-sexp
          14   0%                           - seed7-re-search-backward
          12   0%                            - seed7-inside-comment-p
          12   0%                             - syntax-ppss
          12   0%                                parse-partial-sexp
           2   0%                            - run-with-timer
           2   0%                             - run-at-time
           1   0%                                timer-relative-time
           1   0%                              - timer-activate
           1   0%                               - timer--activate
           1   0%                                  timer--time-less-p
           9   0%                           - seed7-re-search-forward
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
          13   0%                          - seed7-re-search-forward
          11   0%                           - seed7-inside-comment-p
          11   0%                            - syntax-ppss
           8   0%                               parse-partial-sexp
           3   0%                             - syntax-propertize
           2   0%                                seed7-mode-syntax-propertize
           1   0%                          - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   0%                           - seed7-inside-line-indent-before-comment-p
           1   0%                              seed7-to-indent
           9   0%                         - seed7--line-ends-a-statement-p
           7   0%                            looking-at
           2   0%                          - forward-sexp
           2   0%                             seed7--forward-sexp-function
         175  10%                       - seed7-calc-indent
          71   4%                        - seed7-line-is-defun-end
          64   3%                         - seed7-end-of-defun
          38   2%                          - seed7-top-block-name
          38   2%                           - seed7--to-top
          37   2%                            - seed7-re-search-backward
          31   1%                             - seed7-inside-comment-p
          31   1%                              - syntax-ppss
          31   1%                                 parse-partial-sexp
           2   0%                             - run-with-timer
           2   0%                              - run-at-time
           2   0%                               - timer-activate
           2   0%                                - timer--activate
           2   0%                                   timer--time-less-p
           2   0%                             - seed7-inside-string-p
           1   0%                                #<byte-code-function D4A>
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
           1   0%                               re-search-backward
           1   0%                              seed7-to-indent
          19   1%                          - seed7-re-search-forward
          10   0%                           - seed7-inside-string-p
           9   0%                            - syntax-ppss
           9   0%                               parse-partial-sexp
           1   0%                              #<byte-code-function B3B>
           3   0%                           - seed7-inside-comment-p
           3   0%                            - syntax-ppss
           3   0%                               parse-partial-sexp
           7   0%                          - seed7-re-search-backward
           5   0%                           - seed7-inside-comment-p
           5   0%                            - syntax-ppss
           5   0%                               parse-partial-sexp
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                             - timer-set-time
           1   0%                                timer--time-setter
           1   0%                             re-search-backward
           5   0%                         - seed7-beg-of-defun
           4   0%                          - seed7-re-search-backward
           4   0%                           - seed7-inside-comment-p
           4   0%                            - syntax-ppss
           4   0%                               parse-partial-sexp
           1   0%                          - seed7-top-block-name
           1   0%                           - seed7--block-name
           1   0%                              seed7-re-search-forward
           1   0%                         - seed7-line-starts-with-any
           1   0%                            seed7-line-starts-with
           1   0%                         - seed7--indent-search-boundary-uncached
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
          42   2%                        - seed7-line-inside-parens-pair-column
          42   2%                         - seed7-line-inside-parens-pair
          40   2%                          - seed7-re-search-backward
          33   1%                           - seed7-inside-comment-p
          33   1%                            - syntax-ppss
          31   1%                               parse-partial-sexp
           1   0%                               #<byte-code-function 394>
           5   0%                           - run-with-timer
           5   0%                            - run-at-time
           3   0%                             - timer-set-time
           3   0%                                timer--time-setter
           2   0%                             - timer-activate
           2   0%                              - timer--activate
           2   0%                                 timer--time-less-p
           2   0%                             re-search-backward
           1   0%                          - seed7-line-inside-syntax-parens-pair
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
          32   1%                        - seed7--indent-search-boundary
          32   1%                         - seed7--indent-search-boundary-uncached
          32   1%                          - syntax-ppss
          32   1%                             parse-partial-sexp
          23   1%                        - seed7-line-inside-a-block-cached
          23   1%                         - seed7-line-inside-a-block
          17   0%                          - seed7-re-search-backward
          13   0%                           - seed7-inside-comment-p
          13   0%                            - syntax-ppss
          13   0%                               parse-partial-sexp
           2   0%                           - run-with-timer
           2   0%                            - run-at-time
           1   0%                               timer-relative-time
           1   0%                             - timer-activate
           1   0%                              - timer--activate
           1   0%                                 timer--time-less-p
           2   0%                             re-search-backward
           5   0%                          - seed7--safe-enclosing-block-bounds
           5   0%                           - seed7--block-end-pos-for
           3   0%                            - seed7--line-ends-a-statement-p
           2   0%                               looking-at
           2   0%                            - seed7-to-block-forward
           2   0%                             - seed7-re-search-forward
           2   0%                              - seed7-inside-comment-p
           2   0%                               - syntax-ppss
           2   0%                                  parse-partial-sexp
           1   0%                            match-string
           1   0%                        - seed7-line-inside-assign-statement-continuation
           1   0%                         - seed7-assign-op-pos
           1   0%                          - seed7-re-search-backward
           1   0%                             re-search-backward
           1   0%                        - seed7-line-at-endof-set-definition-block
           1   0%                         - seed7-move-to-line
           1   0%                          - seed7-to-previous-non-empty-line
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                        - seed7-line-indent-step
           1   0%                         - seed7-move-to-line
           1   0%                          - seed7-to-previous-non-empty-line
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                        - seed7-line-after-func-return-logic-operator-column
           1   0%                         - seed7-move-to-line
           1   0%                          - seed7-to-previous-non-empty-line
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                        - seed7-line-inside-array-definition-block
           1   0%                         - seed7-re-search-backward
           1   0%                            re-search-backward
           1   0%                        - seed7-line-inside-argument-list-section
           1   0%                         - seed7-re-search-backward
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                        - seed7-line-inside-logic-check-expression
           1   0%                           seed7-move-to-line
          34   1%                       - seed7-re-search-backward
          21   1%                        - seed7-inside-comment-p
          21   1%                         - syntax-ppss
          21   1%                            parse-partial-sexp
           7   0%                        - run-with-timer
           7   0%                         - run-at-time
           6   0%                          - timer-activate
           6   0%                           - timer--activate
           6   0%                              timer--time-less-p
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           6   0%                          re-search-backward
           1   0%                         seed7--indent-offset-for
         455  26%                     - seed7-line-is-defun-end
         388  22%                      - seed7-end-of-defun
         295  17%                       - seed7-top-block-name
         291  16%                        - seed7--to-top
         286  16%                         - seed7-re-search-backward
         242  14%                          - seed7-inside-comment-p
         242  14%                           - syntax-ppss
         242  14%                              parse-partial-sexp
          36   2%                          - run-with-timer
          36   2%                           - run-at-time
          19   1%                            - timer-activate
          18   1%                             - timer--activate
          18   1%                                timer--time-less-p
          10   0%                              timer-relative-time
           7   0%                            - timer-set-time
           7   0%                               timer--time-setter
           5   0%                            re-search-backward
           1   0%                            seed7-inside-string-p
           1   0%                          - #<byte-code-function 173>
           1   0%                             cancel-timer
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-set-time
           1   0%                              timer--time-setter
           4   0%                        - seed7--block-name
           4   0%                         - seed7-re-search-forward
           3   0%                          - seed7-inside-string-p
           3   0%                           - syntax-ppss
           3   0%                              parse-partial-sexp
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
          73   4%                       - seed7-re-search-forward
          40   2%                        - seed7-inside-comment-p
          40   2%                         - syntax-ppss
          31   1%                            parse-partial-sexp
           9   0%                          - syntax-propertize
           7   0%                             seed7-mode-syntax-propertize
           2   0%                           - #<byte-code-function 893>
           1   0%                            - syntax-propertize-wholelines
           1   0%                               syntax--lbp
          18   1%                        - seed7-inside-string-p
          17   0%                         - syntax-ppss
          17   0%                            parse-partial-sexp
          18   1%                       - seed7-re-search-backward
          16   0%                        - seed7-inside-comment-p
          16   0%                         - syntax-ppss
          16   0%                            parse-partial-sexp
           1   0%                        - #<byte-code-function 13B>
           1   0%                           cancel-timer
           1   0%                        - seed7-inside-string-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                         match-string-no-properties
          45   2%                      - seed7-beg-of-defun
          27   1%                       - seed7-re-search-backward
          16   0%                        - seed7-inside-comment-p
          16   0%                         - syntax-ppss
          16   0%                            parse-partial-sexp
           9   0%                          re-search-backward
           2   0%                        - run-with-timer
           2   0%                         - run-at-time
           2   0%                          - timer-set-time
           2   0%                             timer--time-setter
          14   0%                       - seed7-re-search-backward-closest
          14   0%                        - seed7-re-search-backward
           7   0%                         - seed7-inside-comment-p
           7   0%                          - syntax-ppss
           7   0%                             parse-partial-sexp
           6   0%                           re-search-backward
           1   0%                         - seed7-inside-string-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           3   0%                       - seed7-top-block-name
           3   0%                        - seed7--to-top
           2   0%                         - seed7-re-search-backward
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-set-time
           1   0%                               timer--time-setter
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-set-time
           1   0%                              timer--time-setter
          13   0%                      - seed7--indent-search-boundary-uncached
          13   0%                       - syntax-ppss
          13   0%                          parse-partial-sexp
           5   0%                      - seed7--safe-current-line-defun-start-indent
           5   0%                       - seed7-to-block-backward
           4   0%                        - seed7-re-search-backward
           3   0%                         - seed7-inside-comment-p
           3   0%                          - syntax-ppss
           3   0%                             parse-partial-sexp
           1   0%                         - seed7-inside-string-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                      - seed7--current-line-nth-word
           1   0%                       - thing-at-point
           1   0%                        - bounds-of-thing-at-point
           1   0%                         - #<byte-code-function 1B4>
           1   0%                          - forward-thing
           1   0%                             format
           1   0%                        looking-back
           1   0%                      - seed7-line-starts-with-any
           1   0%                         seed7-line-starts-with
           1   0%                      - seed7-move-to-line
           1   0%                       - seed7-to-previous-non-empty-line
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
         346  20%                     - seed7--indent-search-boundary
         346  20%                      - seed7--indent-search-boundary-uncached
         341  19%                       - syntax-ppss
         338  19%                          parse-partial-sexp
           1   0%                          #<byte-code-function 9D8>
           1   0%                          syntax-ppss--update-stats
          90   5%                     - seed7-comment-column
          86   5%                      - seed7-calc-indent
          40   2%                       - seed7-line-is-defun-end
          36   2%                        - seed7-end-of-defun
          22   1%                         - seed7-top-block-name
          22   1%                          - seed7--to-top
          22   1%                           - seed7-re-search-backward
          19   1%                            - seed7-inside-comment-p
          19   1%                             - syntax-ppss
          19   1%                                parse-partial-sexp
           3   0%                            - run-with-timer
           3   0%                             - run-at-time
           2   0%                              - timer-activate
           2   0%                               - timer--activate
           2   0%                                  timer--time-less-p
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
          10   0%                         - seed7-re-search-forward
           6   0%                          - seed7-inside-comment-p
           6   0%                           - syntax-ppss
           5   0%                              parse-partial-sexp
           1   0%                            - syntax-propertize
           1   0%                               seed7-mode-syntax-propertize
           2   0%                          - seed7-inside-string-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           3   0%                         - seed7-re-search-backward
           3   0%                          - seed7-inside-comment-p
           3   0%                           - syntax-ppss
           3   0%                              parse-partial-sexp
           1   0%                           match-string-no-properties
           3   0%                        - seed7-beg-of-defun
           2   0%                         - seed7-re-search-backward
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                              timer-relative-time
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                         - seed7-re-search-backward-closest
           1   0%                          - seed7-re-search-backward
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                        - seed7-move-to-line
           1   0%                         - seed7-to-previous-non-empty-line
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
          16   0%                       - seed7--indent-search-boundary
          16   0%                        - seed7--indent-search-boundary-uncached
          16   0%                         - syntax-ppss
          15   0%                            parse-partial-sexp
           1   0%                            make-closure
          14   0%                       - seed7-line-inside-parens-pair-column
          14   0%                        - seed7-line-inside-parens-pair
          14   0%                         - seed7-re-search-backward
          10   0%                          - seed7-inside-comment-p
          10   0%                           - syntax-ppss
          10   0%                              parse-partial-sexp
           4   0%                          - run-with-timer
           4   0%                           - run-at-time
           2   0%                            - timer-set-time
           2   0%                               timer--time-setter
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                              timer-relative-time
          10   0%                       - seed7-line-inside-a-block-cached
          10   0%                        - seed7-line-inside-a-block
           7   0%                         - seed7--safe-enclosing-block-bounds
           7   0%                          - seed7--block-end-pos-for
           4   0%                           - seed7--line-ends-a-statement-p
           2   0%                              looking-at
           2   0%                            - forward-sexp
           2   0%                               seed7--forward-sexp-function
           2   0%                           - seed7-to-block-forward
           2   0%                            - seed7-re-search-forward
           1   0%                             - seed7-inside-comment-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
           3   0%                         - seed7-re-search-backward
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           3   0%                       - seed7-line-inside-array-definition-block
           3   0%                        - seed7-re-search-backward
           2   0%                           re-search-backward
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-activate
           1   0%                            - timer--activate
           1   0%                               timer--time-less-p
           1   0%                       - seed7-line-after-func-return-logic-operator-column
           1   0%                        - seed7-move-to-line
           1   0%                         - seed7-to-previous-non-empty-line
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                       - seed7-line-at-endof-set-definition-block
           1   0%                        - seed7-move-to-line
           1   0%                         - seed7-to-previous-non-empty-line
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                       - seed7-line-inside-argument-list-section
           1   0%                        - seed7-re-search-backward
           1   0%                         - seed7-inside-string-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           2   0%                      - seed7-line-code-ends-with
           2   0%                       - seed7-move-to-line
           2   0%                        - seed7-to-previous-non-empty-line
           2   0%                         - seed7-inside-comment-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
           1   0%                      - seed7-line-starts-with
           1   0%                         seed7-move-to-line
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          syntax-ppss--update-stats
          44   2%                     - seed7-line-inside-parens-pair-column
          44   2%                      - seed7-line-inside-parens-pair
          40   2%                       - seed7-re-search-backward
          31   1%                        - seed7-inside-comment-p
          30   1%                         - syntax-ppss
          30   1%                            parse-partial-sexp
           9   0%                        - run-with-timer
           9   0%                         - run-at-time
           5   0%                          - timer-activate
           5   0%                           - timer--activate
           5   0%                            - timer--time-less-p
           1   0%                               timer--time
           3   0%                          - timer-set-time
           3   0%                             timer--time-setter
           1   0%                            timer-relative-time
           4   0%                       - seed7-line-inside-syntax-parens-pair
           4   0%                        - syntax-ppss
           4   0%                           parse-partial-sexp
          11   0%                     - seed7--current-line-nth-word
          11   0%                      - thing-at-point
          11   0%                       - bounds-of-thing-at-point
          10   0%                        - #<byte-code-function 0A8>
          10   0%                         - forward-thing
          10   0%                          - forward-word
          10   0%                           - internal--syntax-propertize
          10   0%                            - syntax-propertize
          10   0%                               seed7-mode-syntax-propertize
           1   0%                        - #<byte-code-function 4E1>
           1   0%                         - forward-thing
           1   0%                            format
           6   0%                     - seed7-line-inside-assign-statement-continuation
           6   0%                      - seed7-assign-op-pos
           6   0%                       - seed7-re-search-backward
           5   0%                        - seed7-inside-comment-p
           5   0%                         - syntax-ppss
           5   0%                            parse-partial-sexp
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           6   0%                     - seed7-line-inside-array-definition-block
           6   0%                      - seed7-re-search-backward
           4   0%                         re-search-backward
           2   0%                       - run-with-timer
           2   0%                        - run-at-time
           2   0%                         - timer-activate
           2   0%                          - timer--activate
           2   0%                             timer--time-less-p
           5   0%                     - seed7-line-inside-argument-list-section
           4   0%                      - seed7-re-search-backward
           2   0%                       - seed7-inside-comment-p
           2   0%                        - syntax-ppss
           2   0%                           parse-partial-sexp
           1   0%                         re-search-backward
