     20,757,562  99% - ...
     20,757,562  99%  - #<primitive-function call-interactively>
     20,757,562  99%   - funcall-interactively
     20,757,562  99%    - smex
     20,757,562  99%     - smex-read-and-run
     20,757,562  99%      - execute-extended-command
     20,757,562  99%       - command-execute
     20,757,562  99%        - call-interactively
     20,757,562  99%         - apply
     20,757,562  99%          - call-interactively@ido-cr+-record-current-command
     20,757,562  99%           - #<primitive-function call-interactively>
     20,757,562  99%            - funcall-interactively
     20,757,562  99%             - pel-profile-all
     20,757,562  99%              - pel-profile-dir
     20,757,562  99%               - pel-profile-indent
     20,757,562  99%                - pel-profile-indentation-test-of
     19,188,030  92%                 - call-interactively
     19,188,030  92%                  - apply
     19,188,030  92%                   - call-interactively@ido-cr+-record-current-command
     19,188,030  92%                    - #<primitive-function call-interactively>
     19,188,030  92%                     - funcall-interactively
     19,188,014  92%                      - seed7-complete-statement-or-indent
     19,188,014  92%                       - seed7-indent-region
     19,188,014  92%                        - seed7--indent-one-line
     19,188,014  92%                         - seed7-calc-indent
      6,068,425  29%                          - seed7-line-is-defun-end
      2,919,488  14%                           - seed7-end-of-defun
      2,371,558  11%                            - seed7-top-block-name
      2,371,558  11%                             - seed7--to-top
      2,247,934  10%                              - seed7-re-search-backward
      2,234,928  10%                               - run-with-timer
      2,234,928  10%                                - run-at-time
        862,992   4%                                 - timer-activate
        862,992   4%                                  - timer--activate
        862,992   4%                                     timer--time-less-p
        840,864   4%                                   timer-relative-time
        531,072   2%                                 - timer-set-time
        531,072   2%                                    timer--time-setter
         13,006   0%                               - seed7-inside-comment-p
         13,006   0%                                - syntax-ppss
         13,006   0%                                 - syntax-propertize
         13,006   0%                                    seed7-mode-syntax-propertize
        123,624   0%                              - run-with-timer
        123,624   0%                               - run-at-time
         47,736   0%                                - timer-activate
         47,736   0%                                 - timer--activate
         47,736   0%                                    timer--time-less-p
         46,512   0%                                  timer-relative-time
         29,376   0%                                - timer-set-time
         29,376   0%                                   timer--time-setter
        239,346   1%                            - seed7-re-search-forward
        113,321   0%                             - seed7-inside-comment-p
        113,321   0%                              - syntax-ppss
        113,321   0%                               - syntax-propertize
        113,321   0%                                  seed7-mode-syntax-propertize
         25,545   0%                             - internal--syntax-propertize
         25,545   0%                              - syntax-propertize
         25,545   0%                                 seed7-mode-syntax-propertize
        123,624   0%                            - seed7-re-search-backward
        123,624   0%                             - run-with-timer
        123,624   0%                              - run-at-time
         47,736   0%                               - timer-activate
         47,736   0%                                - timer--activate
         47,736   0%                                   timer--time-less-p
         46,512   0%                                 timer-relative-time
         29,376   0%                               - timer-set-time
         29,376   0%                                  timer--time-setter
         32,736   0%                              match-string
          8,184   0%                              match-string-no-properties
      1,713,263   8%                           - seed7-beg-of-defun
        864,987   4%                            - seed7-re-search-backward
        716,696   3%                             - run-with-timer
        716,696   3%                              - run-at-time
        276,744   1%                               - timer-activate
        276,744   1%                                - timer--activate
        276,744   1%                                   timer--time-less-p
        269,648   1%                                 timer-relative-time
        170,304   0%                               - timer-set-time
        170,304   0%                                  timer--time-setter
        148,291   0%                               re-search-backward
        269,176   1%                            - seed7-top-block-name
        143,968   0%                             - seed7--to-top
        104,376   0%                              - seed7-re-search-backward
         54,136   0%                               - run-with-timer
         54,136   0%                                - run-at-time
         20,904   0%                                 - timer-activate
         20,904   0%                                  - timer--activate
         20,904   0%                                     timer--time-less-p
         20,368   0%                                   timer-relative-time
         12,864   0%                                 - timer-set-time
         12,864   0%                                    timer--time-setter
         50,240   0%                                 re-search-backward
         39,592   0%                              - run-with-timer
         39,592   0%                               - run-at-time
         15,288   0%                                - timer-activate
         15,288   0%                                 - timer--activate
         15,288   0%                                    timer--time-less-p
         14,896   0%                                  timer-relative-time
          9,408   0%                                - timer-set-time
          9,408   0%                                   timer--time-setter
        125,208   0%                             - seed7--block-name
        125,208   0%                                seed7-re-search-forward
        255,741   1%                            - seed7-re-search-backward-closest
        255,741   1%                             - seed7-re-search-backward
        166,861   0%                                re-search-backward
         88,880   0%                              - run-with-timer
         88,880   0%                               - run-at-time
         34,320   0%                                - timer-activate
         34,320   0%                                 - timer--activate
         34,320   0%                                    timer--time-less-p
         33,440   0%                                  timer-relative-time
         21,120   0%                                - timer-set-time
         21,120   0%                                   timer--time-setter
         24,552   0%                              match-string
         16,368   0%                              match-string-no-properties
        910,122   4%                           - seed7-line-starts-with-any
        910,122   4%                              seed7-line-starts-with
        355,936   1%                             looking-back
        124,976   0%                           - seed7-move-to-line
        124,976   0%                            - seed7-to-previous-non-empty-line
          4,144   0%                               seed7-inside-comment-p
         23,552   0%                           - seed7--current-line-nth-word
         23,552   0%                            - thing-at-point
         23,552   0%                             - bounds-of-thing-at-point
         23,552   0%                                re-search-forward
         21,088   0%                           - seed7--safe-current-line-defun-start-indent
         21,088   0%                            - seed7-to-block-backward
         21,088   0%                             - seed7-re-search-backward
         11,312   0%                              - run-with-timer
         11,312   0%                               - run-at-time
          4,368   0%                                - timer-activate
          4,368   0%                                 - timer--activate
          4,368   0%                                    timer--time-less-p
          4,256   0%                                  timer-relative-time
          2,688   0%                                - timer-set-time
          2,688   0%                                   timer--time-setter
          9,776   0%                                re-search-backward
      5,859,734  28%                          - seed7-line-inside-a-block-cached
      5,859,734  28%                           - seed7-line-inside-a-block
      2,934,706  14%                            - seed7-calc-indent
      1,320,722   6%                             - seed7-line-inside-a-block-cached
      1,320,722   6%                              - seed7-line-inside-a-block
      1,181,346   5%                               - seed7--safe-enclosing-block-bounds
      1,181,346   5%                                - seed7--block-end-pos-for
      1,084,628   5%                                 - seed7-to-block-forward
      1,024,000   4%                                  - seed7-end-of-defun
        952,240   4%                                   - seed7-top-block-name
        951,216   4%                                    - seed7--to-top
        912,448   4%                                     - seed7-re-search-backward
        911,424   4%                                      - run-with-timer
        911,424   4%                                       - run-at-time
        351,936   1%                                        - timer-activate
        351,936   1%                                         - timer--activate
        351,936   1%                                            timer--time-less-p
        342,912   1%                                          timer-relative-time
        216,576   1%                                        - timer-set-time
        216,576   1%                                           timer--time-setter
          1,024   0%                                        re-search-backward
         38,768   0%                                     - run-with-timer
         38,768   0%                                      - run-at-time
         14,976   0%                                       - timer-activate
         14,976   0%                                        - timer--activate
         14,976   0%                                           timer--time-less-p
         14,576   0%                                         timer-relative-time
          9,216   0%                                       - timer-set-time
          9,216   0%                                          timer--time-setter
          1,024   0%                                    - seed7--block-name
          1,024   0%                                       seed7-re-search-forward
         38,784   0%                                   - seed7-re-search-backward
         38,784   0%                                    - run-with-timer
         38,784   0%                                     - run-at-time
         14,976   0%                                      - timer-activate
         14,976   0%                                       - timer--activate
         14,976   0%                                          timer--time-less-p
         14,592   0%                                        timer-relative-time
          9,216   0%                                      - timer-set-time
          9,216   0%                                         timer--time-setter
         19,744   0%                                     seed7-re-search-forward
         35,052   0%                                    seed7-re-search-forward
         16,368   0%                                  - seed7--current-line-nth-word
         16,368   0%                                   - thing-at-point
          8,184   0%                                    - bounds-of-thing-at-point
          8,184   0%                                     - #<byte-code-function 653>
          8,184   0%                                      - forward-thing
          8,184   0%                                         format
          8,184   0%                                    seed7--end-regexp-for
          1,024   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         71,118   0%                                 - seed7--line-ends-a-statement-p
         40,398   0%                                    looking-at
         30,720   0%                                  - forward-sexp
         30,720   0%                                     seed7--forward-sexp-function
          1,024   0%                                 - seed7-re-search-forward-closest
          1,024   0%                                    seed7-re-search-forward
        111,744   0%                               - seed7-re-search-backward
        100,192   0%                                - run-with-timer
        100,192   0%                                 - run-at-time
         38,688   0%                                  - timer-activate
         38,688   0%                                   - timer--activate
         38,688   0%                                      timer--time-less-p
         37,696   0%                                    timer-relative-time
         23,808   0%                                  - timer-set-time
         23,808   0%                                     timer--time-setter
         11,552   0%                                  re-search-backward
         19,448   0%                                 replace-regexp-in-string
        940,144   4%                             - seed7-line-is-defun-end
        448,992   2%                              - seed7-end-of-defun
        379,056   1%                               - seed7-top-block-name
        370,872   1%                                - seed7--to-top
        349,056   1%                                 - seed7-re-search-backward
        349,056   1%                                  - run-with-timer
        349,056   1%                                   - run-at-time
        134,784   0%                                    - timer-activate
        134,784   0%                                     - timer--activate
        134,784   0%                                        timer--time-less-p
        131,328   0%                                      timer-relative-time
         82,944   0%                                    - timer-set-time
         82,944   0%                                       timer--time-setter
         21,816   0%                                 - run-with-timer
         21,816   0%                                  - run-at-time
          8,424   0%                                   - timer-activate
          8,424   0%                                    - timer--activate
          8,424   0%                                       timer--time-less-p
          8,208   0%                                     timer-relative-time
          5,184   0%                                   - timer-set-time
          5,184   0%                                      timer--time-setter
          8,184   0%                                - seed7--block-name
          8,184   0%                                   match-string
         21,816   0%                               - seed7-re-search-backward
         21,816   0%                                - run-with-timer
         21,816   0%                                 - run-at-time
          8,424   0%                                  - timer-activate
          8,424   0%                                   - timer--activate
          8,424   0%                                      timer--time-less-p
          8,208   0%                                    timer-relative-time
          5,184   0%                                  - timer-set-time
          5,184   0%                                     timer--time-setter
         18,432   0%                                 seed7-re-search-forward
          8,184   0%                                 match-string
        310,528   1%                              - seed7-beg-of-defun
        169,208   0%                               - seed7-re-search-backward
        146,248   0%                                - run-with-timer
        146,248   0%                                 - run-at-time
         56,472   0%                                  - timer-activate
         56,472   0%                                   - timer--activate
         56,472   0%                                      timer--time-less-p
         55,024   0%                                    timer-relative-time
         34,752   0%                                  - timer-set-time
         34,752   0%                                     timer--time-setter
         22,960   0%                                  re-search-backward
         55,536   0%                               - seed7-top-block-name
         31,776   0%                                - seed7--block-name
         31,776   0%                                   seed7-re-search-forward
         23,760   0%                                - seed7--to-top
         16,488   0%                                 - seed7-re-search-backward
          9,216   0%                                    re-search-backward
          7,272   0%                                  - run-with-timer
          7,272   0%                                   - run-at-time
          2,808   0%                                    - timer-activate
          2,808   0%                                     - timer--activate
          2,808   0%                                        timer--time-less-p
          2,736   0%                                      timer-relative-time
          1,728   0%                                    - timer-set-time
          1,728   0%                                       timer--time-setter
          7,272   0%                                 - run-with-timer
          7,272   0%                                  - run-at-time
          2,808   0%                                   - timer-activate
          2,808   0%                                    - timer--activate
          2,808   0%                                       timer--time-less-p
          2,736   0%                                     timer-relative-time
          1,728   0%                                   - timer-set-time
          1,728   0%                                      timer--time-setter
         36,640   0%                               - seed7-re-search-backward-closest
         36,640   0%                                - seed7-re-search-backward
         20,480   0%                                   re-search-backward
         16,160   0%                                 - run-with-timer
         16,160   0%                                  - run-at-time
          6,240   0%                                   - timer-activate
          6,240   0%                                    - timer--activate
          6,240   0%                                       timer--time-less-p
          6,080   0%                                     timer-relative-time
          3,840   0%                                   - timer-set-time
          3,840   0%                                      timer--time-setter
        142,736   0%                              - seed7-line-starts-with-any
        142,736   0%                                 seed7-line-starts-with
         36,864   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
        419,576   2%                             - seed7-line-inside-parens-pair-column
        419,576   2%                              - seed7-line-inside-parens-pair
        415,480   1%                               - seed7-re-search-backward
        403,192   1%                                - run-with-timer
        403,192   1%                                 - run-at-time
        155,688   0%                                  - timer-activate
        155,688   0%                                   - timer--activate
        155,688   0%                                      timer--time-less-p
        151,696   0%                                    timer-relative-time
         95,808   0%                                  - timer-set-time
         95,808   0%                                     timer--time-setter
         12,288   0%                                  re-search-backward
          4,096   0%                               - forward-sexp
          4,096   0%                                  seed7--forward-sexp-function
         43,800   0%                             - seed7-line-after-short-func-end
          2,856   0%                              - seed7-to-block-backward
          1,832   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            808   0%                                - run-with-timer
            808   0%                                 - run-at-time
            312   0%                                  - timer-activate
            312   0%                                   - timer--activate
            312   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,024   0%                               - seed7--current-line-nth-word
          1,024   0%                                - thing-at-point
          1,024   0%                                 - bounds-of-thing-at-point
          1,024   0%                                    re-search-forward
         38,024   0%                             - seed7-line-at-endof-array-definition-block
         31,808   0%                              - seed7-line-code-ends-with
         31,808   0%                               - seed7-re-search-backward
         19,392   0%                                - run-with-timer
         19,392   0%                                 - run-at-time
          7,488   0%                                  - timer-activate
          7,488   0%                                   - timer--activate
          7,488   0%                                      timer--time-less-p
          7,296   0%                                    timer-relative-time
          4,608   0%                                  - timer-set-time
          4,608   0%                                     timer--time-setter
         12,416   0%                                  re-search-backward
          3,232   0%                              - backward-sexp
          3,232   0%                               - forward-sexp
          3,232   0%                                - seed7--forward-sexp-function
          1,616   0%                                 - seed7--at-array-definition-end-line-p
          1,616   0%                                  - seed7-line-code-ends-with
          1,616   0%                                   - seed7-re-search-backward
          1,616   0%                                    - run-with-timer
          1,616   0%                                     - run-at-time
            624   0%                                      - timer-activate
            624   0%                                       - timer--activate
            624   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          1,616   0%                                 - seed7--at-set-definition-end-line-p
          1,616   0%                                  - seed7-line-code-ends-with
          1,616   0%                                   - seed7-re-search-backward
          1,616   0%                                    - run-with-timer
          1,616   0%                                     - run-at-time
            624   0%                                      - timer-activate
            624   0%                                       - timer--activate
            624   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          1,152   0%                                looking-at
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
            808   0%                              - seed7-re-search-backward
            808   0%                               - run-with-timer
            808   0%                                - run-at-time
            312   0%                                 - timer-activate
            312   0%                                  - timer--activate
            312   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
         24,200   0%                             - seed7-line-inside-array-definition-block
         24,200   0%                              - seed7-re-search-backward
         13,696   0%                                 re-search-backward
         10,504   0%                               - run-with-timer
         10,504   0%                                - run-at-time
          4,056   0%                                 - timer-activate
          4,056   0%                                  - timer--activate
          4,056   0%                                     timer--time-less-p
          3,952   0%                                   timer-relative-time
