      7,663,437  99% - ...
      7,663,437  99%  - #<primitive-function call-interactively>
      7,663,437  99%   - funcall-interactively
      7,663,437  99%    - smex
      7,663,437  99%     - smex-read-and-run
      7,663,437  99%      - execute-extended-command
      7,663,437  99%       - command-execute
      7,663,437  99%        - call-interactively
      7,663,437  99%         - apply
      7,663,437  99%          - call-interactively@ido-cr+-record-current-command
      7,663,437  99%           - #<primitive-function call-interactively>
      7,663,437  99%            - funcall-interactively
      7,663,437  99%             - pel-profile-all
      7,663,437  99%              - pel-profile-dir
      7,663,437  99%               - pel-profile-indent
      7,663,437  99%                - pel-profile-indentation-test-of
      6,087,105  79%                 - call-interactively
      6,087,105  79%                  - apply
      6,087,105  79%                   - call-interactively@ido-cr+-record-current-command
      6,087,105  79%                    - #<primitive-function call-interactively>
      6,087,105  79%                     - funcall-interactively
      6,087,089  79%                      - seed7-complete-statement-or-indent
      6,087,089  79%                       - seed7-indent-region
      6,087,089  79%                        - seed7--indent-one-line
      6,054,137  78%                         - seed7-calc-indent
      2,013,738  26%                          - seed7-line-is-defun-end
        847,612  11%                           - seed7-end-of-defun
        557,350   7%                            - seed7-top-block-name
        540,878   7%                             - seed7--to-top
        472,846   6%                              - seed7-re-search-backward
        399,056   5%                               - run-with-timer
        399,056   5%                                - run-at-time
        199,136   2%                                 - timer-activate
        199,136   2%                                  - timer--activate
        199,136   2%                                     timer--time-less-p
        114,912   1%                                   timer-relative-time
         72,576   0%                                 - timer-set-time
         72,576   0%                                    timer--time-setter
         12,432   0%                                   timer-create
         37,296   0%                               - seed7-inside-string-p
          8,288   0%                                - syntax-ppss
          8,288   0%                                   make-closure
         36,494   0%                               - seed7-inside-comment-p
         32,350   0%                                - syntax-ppss
         19,918   0%                                 - syntax-propertize
         19,918   0%                                    seed7-mode-syntax-propertize
         12,432   0%                                   make-closure
         68,032   0%                              - run-with-timer
         68,032   0%                               - run-at-time
         35,296   0%                                - timer-activate
         35,296   0%                                 - timer--activate
         35,296   0%                                    timer--time-less-p
         20,064   0%                                  timer-relative-time
         12,672   0%                                - timer-set-time
         12,672   0%                                   timer--time-setter
         12,328   0%                             - seed7--block-name
          8,184   0%                                match-string
          4,144   0%                              - seed7-re-search-forward
          4,144   0%                               - seed7-inside-comment-p
          4,144   0%                                - syntax-ppss
          4,144   0%                                   make-closure
        151,678   1%                            - seed7-re-search-forward
