     29,863,820  99% - ...
     29,863,820  99%  - #<primitive-function call-interactively>
     29,863,820  99%   - funcall-interactively
     29,863,820  99%    - smex
     29,863,820  99%     - smex-read-and-run
     29,863,820  99%      - execute-extended-command
     29,863,820  99%       - command-execute
     29,863,820  99%        - call-interactively
     29,863,820  99%         - apply
     29,863,820  99%          - call-interactively@ido-cr+-record-current-command
     29,863,820  99%           - #<primitive-function call-interactively>
     29,863,820  99%            - funcall-interactively
     29,863,820  99%             - pel-profile-all
     29,863,820  99%              - pel-profile-dir
     29,863,820  99%               - pel-profile-indent
     29,863,820  99%                - pel-profile-indentation-test-of
     28,294,288  94%                 - call-interactively
     28,294,288  94%                  - apply
     28,294,288  94%                   - call-interactively@ido-cr+-record-current-command
     28,294,288  94%                    - #<primitive-function call-interactively>
     28,294,288  94%                     - funcall-interactively
     28,294,272  94%                      - seed7-complete-statement-or-indent
     28,294,272  94%                       - seed7-indent-region
     28,294,272  94%                        - seed7--indent-one-line
     28,294,272  94%                         - seed7-calc-indent
      9,550,477  31%                          - seed7-line-is-defun-end
      5,444,151  18%                           - seed7-end-of-defun
      5,103,296  17%                            - seed7-top-block-name
      5,103,296  17%                             - seed7--to-top
      4,991,008  16%                              - seed7-re-search-backward
      4,991,008  16%                               - run-with-timer
      4,991,008  16%                                - run-at-time
      2,433,632   8%                                 - timer-activate
      2,433,632   8%                                  - timer--activate
      2,433,632   8%                                     timer--time-less-p
      1,567,424   5%                                   timer-relative-time
        989,952   3%                                 - timer-set-time
        989,952   3%                                    timer--time-setter
        112,288   0%                              - run-with-timer
        112,288   0%                               - run-at-time
         54,752   0%                                - timer-activate
         54,752   0%                                 - timer--activate
         54,752   0%                                    timer--time-less-p
         35,264   0%                                  timer-relative-time
         22,272   0%                                - timer-set-time
         22,272   0%                                   timer--time-setter
        158,433   0%                            - seed7-re-search-forward
         92,897   0%                             - seed7-inside-comment-p
         92,897   0%                              - syntax-ppss
         92,897   0%                               - syntax-propertize
         92,897   0%                                  seed7-mode-syntax-propertize
        112,288   0%                            - seed7-re-search-backward
        112,288   0%                             - run-with-timer
        112,288   0%                              - run-at-time
         54,752   0%                               - timer-activate
         54,752   0%                                - timer--activate
         54,752   0%                                   timer--time-less-p
         35,264   0%                                 timer-relative-time
