        3420  94% - ...
        3420  94%  - #<primitive-function call-interactively>
        3420  94%   - funcall-interactively
        3420  94%    - pel-profile-all
        3420  94%     - pel-profile-dir
        3420  94%      - pel-profile-indent
        3420  94%       - pel-profile-indentation-test-of
        3420  94%        - call-interactively
        3420  94%         - apply
        3420  94%          - call-interactively@ido-cr+-record-current-command
        3420  94%           - #<primitive-function call-interactively>
        3420  94%            - funcall-interactively
        3419  94%             - seed7-complete-statement-or-indent
        3419  94%              - seed7-indent-region
        3419  94%               - seed7--indent-one-line
        3419  94%                - seed7-calc-indent
        2794  76%                 - seed7--indent-search-boundary
        2794  76%                  - seed7--indent-search-boundary-uncached
        2772  76%                   - syntax-ppss
        2764  76%                      parse-partial-sexp
           2   0%                      syntax-ppss--update-stats
           1   0%                      syntax-ppss--data
           1   0%                      #<byte-code-function B0B>
           1   0%                      syntax-table
           3   0%                     seed7-to-indent
         281   7%                 - seed7-line-inside-a-block-cached
         281   7%                  - seed7-line-inside-a-block
         202   5%                   - seed7--safe-enclosing-block-bounds
         202   5%                    - seed7--block-end-pos-for
         202   5%                     - seed7-to-block-forward
         156   4%                      - seed7-end-of-defun
         153   4%                       - seed7-top-block-name
         153   4%                        - seed7--to-top
         153   4%                         - seed7-re-search-backward
          95   2%                          - seed7-inside-comment-p
          95   2%                           - syntax-ppss
          93   2%                              parse-partial-sexp
           2   0%                            - syntax-propertize
           2   0%                               seed7-mode-syntax-propertize
          51   1%                          - run-with-timer
          51   1%                           - run-at-time
          35   0%                            - timer-activate
          35   0%                             - timer--activate
          35   0%                                timer--time-less-p
          12   0%                            - timer-set-time
          12   0%                               timer--time-setter
           3   0%                              timer-relative-time
           7   0%                            re-search-backward
           2   0%                       - seed7-re-search-backward
           2   0%                        - run-with-timer
           2   0%                         - run-at-time
           2   0%                          - timer-set-time
           2   0%                             timer--time-setter
           1   0%                         seed7-re-search-forward
          42   1%                      - seed7-re-search-forward
          21   0%                       - seed7-inside-string-p
          21   0%                        - syntax-ppss
          21   0%                           parse-partial-sexp
          16   0%                       - seed7-inside-comment-p
          16   0%                        - syntax-ppss
          14   0%                           parse-partial-sexp
           1   0%                           make-closure
           2   0%                      - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   0%                       - seed7-inside-line-indent-before-comment-p
           1   0%                          seed7-to-indent
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           1   0%                      - seed7--current-line-nth-word
           1   0%                       - thing-at-point
           1   0%                        - bounds-of-thing-at-point
           1   0%                         - #<byte-code-function B9C>
           1   0%                          - forward-thing
           1   0%                             format
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
          58   1%                   - seed7-re-search-backward
          37   1%                    - seed7-inside-comment-p
          37   1%                     - syntax-ppss
          36   0%                        parse-partial-sexp
          15   0%                    - run-with-timer
          15   0%                     - run-at-time
           8   0%                      - timer-activate
           8   0%                       - timer--activate
           8   0%                          timer--time-less-p
           5   0%                      - timer-set-time
           5   0%                         timer--time-setter
           2   0%                        timer-relative-time
           5   0%                      re-search-backward
           1   0%                    - seed7-inside-string-p
           1   0%                       syntax-ppss
          18   0%                   - seed7-calc-indent
          18   0%                    - seed7-line-inside-a-block-cached
          18   0%                     - seed7-line-inside-a-block
          18   0%                      - seed7--safe-enclosing-block-bounds
          18   0%                       - seed7--block-end-pos-for
          18   0%                        - seed7-to-block-forward
          18   0%                         - seed7-end-of-defun
          16   0%                          - seed7-top-block-name
          16   0%                           - seed7--to-top
          16   0%                            - seed7-re-search-backward
          10   0%                             - seed7-inside-comment-p
          10   0%                              - syntax-ppss
          10   0%                                 parse-partial-sexp
           6   0%                             - run-with-timer
           6   0%                              - run-at-time
           4   0%                               - timer-activate
           4   0%                                - timer--activate
           4   0%                                   timer--time-less-p
           2   0%                                 timer-relative-time
           1   0%                          - seed7-re-search-backward
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                             - timer-set-time
           1   0%                                timer--time-setter
           1   0%                            seed7-re-search-forward
           2   0%                     replace-regexp-in-string
         146   4%                 - seed7-line-inside-parens-pair-column
         146   4%                  - seed7-line-inside-parens-pair
         137   3%                   - seed7-re-search-backward
          76   2%                    - seed7-inside-comment-p
          76   2%                     - syntax-ppss
