  6,881,923,517  98% - ...
  6,881,923,517  98%  - #<primitive-function call-interactively>
  6,881,923,517  98%   - funcall-interactively
  6,881,923,517  98%    - smex
  6,881,923,517  98%     - smex-read-and-run
  6,881,923,517  98%      - execute-extended-command
  6,881,923,517  98%       - command-execute
  6,881,923,517  98%        - call-interactively
  6,881,923,517  98%         - apply
  6,881,923,517  98%          - call-interactively@ido-cr+-record-current-command
  6,881,923,517  98%           - #<primitive-function call-interactively>
  6,881,923,517  98%            - funcall-interactively
  6,881,923,517  98%             - pel-profile-all
  6,881,923,517  98%              - pel-profile-dir
  6,881,923,517  98%               - pel-profile-indent
  6,881,923,517  98%                - pel-profile-indentation-test-of
  6,880,342,721  98%                 - call-interactively
  6,880,342,721  98%                  - apply
  6,880,342,721  98%                   - call-interactively@ido-cr+-record-current-command
  6,880,342,721  98%                    - #<primitive-function call-interactively>
  6,880,342,721  98%                     - funcall-interactively
  6,880,342,705  98%                      - seed7-complete-statement-or-indent
  6,880,342,705  98%                       - seed7-indent-region
  6,880,342,705  98%                        - seed7--indent-one-line
  6,877,757,041  98%                         - seed7-calc-indent
  4,638,901,992  66%                          - seed7-line-inside-parens-pair-column
  4,638,901,992  66%                           - seed7-line-inside-parens-pair
  4,628,391,820  66%                            - seed7-re-search-backward
  3,994,775,436  57%                             - run-with-timer
  3,994,775,436  57%                              - run-at-time
  2,023,375,023  29%                               - timer-set-time
  2,023,281,992  29%                                  timer--time-setter
  1,971,278,993  28%                               - timer-activate
  1,971,278,993  28%                                - timer--activate
  1,971,114,521  28%                                 - timer--time-less-p
      1,925,231   0%                                    timer--time
        121,420   0%                                 timer-set-function
    610,714,642   8%                             - seed7-inside-comment-p
      3,647,650   0%                              - syntax-ppss
      3,401,160   0%                                 parse-partial-sexp
         55,212   0%                                 #<byte-code-function 1D5>
         42,716   0%                                 syntax-table
     21,276,852   0%                               re-search-backward
      1,526,514   0%                             - seed7-inside-string-p
      1,526,514   0%                              - syntax-ppss
      1,410,056   0%                                 parse-partial-sexp
         14,874   0%                                 syntax-table
          2,709   0%                                 #<byte-code-function 914>
      6,566,028   0%                            - forward-sexp
      6,355,688   0%                               seed7--forward-sexp-function
      2,469,952   0%                            - seed7-line-inside-syntax-parens-pair
      1,223,328   0%                             - forward-sexp
      1,223,328   0%                              - seed7--forward-sexp-function
         24,864   0%                               - internal--syntax-propertize
         16,576   0%                                - syntax-propertize
          4,144   0%                                   seed7-mode-syntax-propertize
        625,024   0%                             - syntax-ppss
        559,440   0%                                make-closure
         65,584   0%                                parse-partial-sexp
  1,060,039,880  15%                          - seed7--indent-search-boundary
  1,033,550,891  14%                           - seed7--indent-search-boundary-uncached
  1,014,885,156  14%                            - syntax-ppss
    974,813,840  14%                               make-closure
     35,947,232   0%                               parse-partial-sexp
        371,948   0%                               #<byte-code-function 569>
        177,808   0%                               syntax-table
        387,207   0%                              seed7-to-indent
    326,943,339   4%                          - seed7-line-is-defun-end
    167,319,539   2%                           - seed7-end-of-defun
    139,132,857   1%                            - seed7-top-block-name
    138,612,417   1%                             - seed7--to-top
    137,542,929   1%                              - seed7-re-search-backward
    107,289,016   1%                               - run-with-timer
    107,289,016   1%                                - run-at-time
     52,963,344   0%                                 - timer-activate
     52,963,344   0%                                  - timer--activate
     52,930,552   0%                                   - timer--time-less-p
        426,296   0%                                      timer--time
     29,050,120   0%                                   timer-relative-time
     20,103,840   0%                                 - timer-set-time
     20,103,840   0%                                    timer--time-setter
      5,171,712   0%                                   timer-create
     19,668,328   0%                               - seed7-inside-string-p
      3,408,712   0%                                - syntax-ppss
      3,240,608   0%                                   make-closure
        168,104   0%                                 - parse-partial-sexp
          4,144   0%                                  - internal--syntax-propertize
          4,144   0%                                     syntax-propertize
      6,826,977   0%                               - seed7-inside-comment-p
      3,474,481   0%                                - syntax-ppss
      3,041,696   0%                                   make-closure
        258,552   0%                                   parse-partial-sexp
        174,233   0%                                 - syntax-propertize
        174,233   0%                                    seed7-mode-syntax-propertize
      3,754,464   0%                                 make-closure
          4,144   0%                                 re-search-backward
        839,584   0%                              - run-with-timer
        839,584   0%                               - run-at-time
        331,376   0%                                - timer-activate
        331,376   0%                                 - timer--activate
        331,376   0%                                    timer--time-less-p
        278,464   0%                                  timer-relative-time
        180,016   0%                                - timer-set-time
        180,016   0%                                   timer--time-setter
         49,728   0%                                  timer-create
         33,152   0%                                make-closure
        483,144   0%                             - seed7--block-name
        414,400   0%                              - seed7-re-search-forward
        343,952   0%                               - seed7-inside-string-p
         29,008   0%                                - syntax-ppss
         29,008   0%                                   make-closure
         70,448   0%                               - seed7-inside-comment-p
         53,872   0%                                - syntax-ppss
         53,872   0%                                   make-closure
         23,368   0%                                match-string
     23,270,462   0%                            - seed7-re-search-forward
     12,108,912   0%                             - seed7-inside-comment-p
      9,717,824   0%                              - syntax-ppss
      8,011,576   0%                               - syntax-propertize
      5,103,278   0%                                  seed7-mode-syntax-propertize
         15,786   0%                                - #<byte-code-function 115>
          8,288   0%                                   syntax-propertize-wholelines
      1,607,872   0%                                 make-closure
         65,584   0%                                 parse-partial-sexp
     10,304,688   0%                             - seed7-inside-string-p
      1,685,528   0%                              - syntax-ppss
      1,587,152   0%                                 make-closure
         98,376   0%                                 parse-partial-sexp
         49,942   0%                             - internal--syntax-propertize
         49,942   0%                              - syntax-propertize
         45,798   0%                                 seed7-mode-syntax-propertize
