     10,407,173  99% - ...
     10,407,173  99%  - #<primitive-function call-interactively>
     10,407,173  99%   - funcall-interactively
     10,407,173  99%    - smex
     10,407,173  99%     - smex-read-and-run
     10,407,173  99%      - execute-extended-command
     10,407,173  99%       - command-execute
     10,407,173  99%        - call-interactively
     10,407,173  99%         - apply
     10,407,173  99%          - call-interactively@ido-cr+-record-current-command
     10,407,173  99%           - #<primitive-function call-interactively>
     10,407,173  99%            - funcall-interactively
     10,407,173  99%             - pel-profile-all
     10,407,173  99%              - pel-profile-dir
     10,407,173  99%               - pel-profile-indent
     10,407,173  99%                - pel-profile-indentation-test-of
      8,839,129  84%                 - call-interactively
      8,839,129  84%                  - apply
      8,839,129  84%                   - call-interactively@ido-cr+-record-current-command
      8,839,129  84%                    - #<primitive-function call-interactively>
      8,839,129  84%                     - funcall-interactively
      8,839,113  84%                      - seed7-complete-statement-or-indent
      8,839,113  84%                       - seed7-indent-region
      8,839,113  84%                        - seed7--indent-one-line
      8,830,825  84%                         - seed7-calc-indent
      2,211,980  21%                          - seed7-line-inside-a-block-cached
      2,211,980  21%                           - seed7-line-inside-a-block
      1,385,546  13%                            - seed7--safe-enclosing-block-bounds
      1,377,258  13%                             - seed7--block-end-pos-for
      1,353,610  13%                              - seed7-to-block-forward
        705,121   6%                               - seed7-re-search-forward
        248,640   2%                                - seed7-inside-string-p
         58,016   0%                                 - syntax-ppss
         58,016   0%                                    make-closure
        208,249   2%                                - seed7-inside-comment-p
        183,385   1%                                 - syntax-ppss
        129,513   1%                                  - syntax-propertize
        108,793   1%                                     seed7-mode-syntax-propertize
         53,872   0%                                    make-closure
        312,328   3%                               - seed7--current-line-nth-word
        299,896   2%                                - thing-at-point
        291,712   2%                                 - bounds-of-thing-at-point
        132,608   1%                                    make-closure
         74,592   0%                                  - seq-some
         74,592   0%                                     make-closure
         32,736   0%                                  - #<byte-code-function 1F8>
         32,736   0%                                   - forward-thing
         32,736   0%                                      format
          2,048   0%                                    re-search-forward
        223,216   2%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         41,440   0%                                - seed7-inside-comment-p
         12,432   0%                                 - syntax-ppss
         12,432   0%                                    make-closure
