     51,788,300  99% - ...
     51,788,300  99%  - #<primitive-function call-interactively>
     51,788,300  99%   - funcall-interactively
     51,788,300  99%    - smex
     51,788,300  99%     - smex-read-and-run
     51,788,300  99%      - execute-extended-command
     51,788,300  99%       - command-execute
     51,788,300  99%        - call-interactively
     51,788,300  99%         - apply
     51,788,300  99%          - call-interactively@ido-cr+-record-current-command
     51,788,300  99%           - #<primitive-function call-interactively>
     51,788,300  99%            - funcall-interactively
     51,788,300  99%             - pel-profile-all
     51,788,300  99%              - pel-profile-dir
     51,788,300  99%               - pel-profile-indent
     51,788,300  99%                - pel-profile-indentation-test-of
     50,218,768  96%                 - call-interactively
     50,218,768  96%                  - apply
     50,218,768  96%                   - call-interactively@ido-cr+-record-current-command
     50,218,768  96%                    - #<primitive-function call-interactively>
     50,218,768  96%                     - funcall-interactively
     50,218,752  96%                      - seed7-complete-statement-or-indent
     50,218,752  96%                       - seed7-indent-region
     50,218,752  96%                        - seed7--indent-one-line
     50,218,752  96%                         - seed7-calc-indent
     22,118,075  42%                          - seed7-line-is-defun-end
     11,018,287  21%                           - seed7-end-of-defun
      8,884,096  17%                            - seed7-top-block-name
      8,868,800  17%                             - seed7--to-top
      8,520,320  16%                              - seed7-re-search-backward
      8,520,320  16%                               - run-with-timer
      8,520,320  16%                                - run-at-time
      4,154,544   8%                                 - timer-activate
      4,154,544   8%                                  - timer--activate
      4,154,544   8%                                     timer--time-less-p
      2,675,792   5%                                   timer-relative-time
      1,689,984   3%                                 - timer-set-time
      1,689,984   3%                                    timer--time-setter
        348,480   0%                              - run-with-timer
        348,480   0%                               - run-at-time
        169,920   0%                                - timer-activate
        169,920   0%                                 - timer--activate
        169,920   0%                                    timer--time-less-p
        109,440   0%                                  timer-relative-time
         69,120   0%                                - timer-set-time
         69,120   0%                                   timer--time-setter
         15,296   0%                             - seed7--block-name
          7,112   0%                                match-string
        662,904   1%                              match-string-no-properties
        565,954   1%                            - seed7-re-search-forward
