          70  63% - ...
          70  63%  - pel-profile-all
          70  63%   - pel-profile-dir
          70  63%    - pel-profile-indent
          70  63%     - pel-profile-indentation-test-of
          70  63%      - call-interactively
          70  63%       - apply
          70  63%        - call-interactively@ido-cr+-record-current-command
          70  63%         - #<primitive-function call-interactively>
          70  63%          - funcall-interactively
          41  36%           - seed7-complete-statement-or-indent
          41  36%            - seed7-indent-region
          41  36%             - seed7--indent-one-line
          41  36%              - seed7-calc-indent
          17  15%               - seed7-comment-column
          13  11%                - seed7-calc-indent
           4   3%                 - seed7-line-is-defun-end
           4   3%                  - seed7-move-to-line
           4   3%                   - seed7-to-previous-non-empty-line
           4   3%                    - seed7-inside-comment-p
           4   3%                     - syntax-ppss
           4   3%                        parse-partial-sexp
           4   3%                 - seed7-line-at-endof-set-definition-block
           4   3%                  - seed7-move-to-line
           4   3%                   - seed7-to-previous-non-empty-line
           4   3%                    - seed7-inside-comment-p
           4   3%                     - syntax-ppss
           4   3%                        parse-partial-sexp
           3   2%                 - seed7-line-starts-with-open-paren-after-logic-operator
           3   2%                  - seed7-move-to-line
           3   2%                   - seed7-to-previous-non-empty-line
           2   1%                    - seed7-inside-comment-p
           2   1%                     - syntax-ppss
           2   1%                        parse-partial-sexp
           2   1%                 - seed7-line-after-func-return-logic-operator-column
           2   1%                  - seed7-move-to-line
           2   1%                   - seed7-to-previous-non-empty-line
           2   1%                    - seed7-inside-comment-p
           2   1%                     - syntax-ppss
           2   1%                        parse-partial-sexp
           4   3%                - seed7-line-code-ends-with
           3   2%                 - seed7-move-to-line
           3   2%                  - seed7-to-previous-non-empty-line
           3   2%                   - seed7-inside-comment-p
           3   2%                    - syntax-ppss
           3   2%                       parse-partial-sexp
           1   0%                 - seed7-re-search-backward
           1   0%                  - seed7-inside-string-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
          10   9%               - seed7-line-inside-parens-pair-column
          10   9%                - seed7-line-inside-parens-pair
          10   9%                 - seed7-re-search-backward
           4   3%                  - run-with-timer
           4   3%                   - run-at-time
           2   1%                    - timer-set-time
           2   1%                       timer--time-setter
           1   0%                    - timer-activate
           1   0%                     - timer--activate
           1   0%                        timer--time-less-p
           1   0%                      timer-relative-time
           3   2%                  - seed7-inside-comment-p
           3   2%                   - syntax-ppss
           2   1%                      parse-partial-sexp
           1   0%                      syntax-ppss--update-stats
           2   1%                  - seed7-inside-string-p
           2   1%                   - syntax-ppss
           2   1%                      parse-partial-sexp
           1   0%                    re-search-backward
           5   4%               - seed7-line-is-defun-end
           3   2%                - seed7-beg-of-defun
           3   2%                 - seed7-re-search-backward-closest
           3   2%                  - seed7-re-search-backward
           2   1%                   - run-with-timer
           2   1%                    - run-at-time
           1   0%                     - timer-set-time
           1   0%                        timer--time-setter
           1   0%                       timer-relative-time
           1   0%                     re-search-backward
           2   1%                - seed7-move-to-line
           2   1%                 - seed7-to-previous-non-empty-line
           2   1%                  - seed7-inside-comment-p
           2   1%                   - syntax-ppss
           2   1%                      parse-partial-sexp
           2   1%               - seed7-line-inside-assign-statement-continuation
           1   0%                - seed7-assign-op-pos
           1   0%                 - seed7-re-search-backward
           1   0%                  - run-with-timer
           1   0%                   - run-at-time
           1   0%                      timer-relative-time
           1   0%                - seed7-statement-end-pos
           1   0%                 - seed7-forward-char-pos
           1   0%                  - seed7-re-search-forward
           1   0%                   - seed7-inside-string-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           1   0%               - seed7-line-starts-with
           1   0%                - seed7-move-to-line
           1   0%                 - seed7-to-previous-non-empty-line
           1   0%                  - seed7-inside-comment-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           1   0%               - seed7-line-at-endof-set-definition-block
           1   0%                - seed7-line-code-ends-with
           1   0%                 - seed7-re-search-backward
           1   0%                  - seed7-inside-comment-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           1   0%               - seed7-line-at-endof-array-definition-block
           1   0%                - seed7-line-code-ends-with
           1   0%                 - seed7-re-search-backward
           1   0%                  - run-with-timer
           1   0%                   - run-at-time
           1   0%                    - timer-set-time
           1   0%                       timer--time-setter
           1   0%               - seed7-line-inside-until-logic-expression
           1   0%                - seed7-re-search-backward
           1   0%                 - run-with-timer
           1   0%                  - run-at-time
           1   0%                   - timer-activate
           1   0%                    - timer--activate
           1   0%                       timer--time-less-p
           1   0%               - seed7-line-after-func-return-logic-operator-column
           1   0%                - seed7-move-to-line
           1   0%                 - seed7-to-previous-non-empty-line
           1   0%                  - seed7-inside-comment-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           1   0%               - seed7-line-inside-logic-check-expression
           1   0%                - seed7-to-previous-line-starts-with
           1   0%                 - seed7-re-search-backward
           1   0%                  - run-with-timer
           1   0%                   - run-at-time
           1   0%                    - timer-activate
           1   0%                     - timer--activate
           1   0%                        timer--time-less-p
           1   0%               - seed7-line-inside-set-definition-block
           1   0%                - seed7-re-search-backward
           1   0%                   re-search-backward
          29  26%           - pel-profile-all
          29  26%            - pel-profile-dir
          29  26%             - pel-profile-indent
          29  26%              - pel-profile-indentation-test-of
          29  26%               - call-interactively
          29  26%                - apply
          29  26%                 - call-interactively@ido-cr+-record-current-command
          29  26%                  - #<primitive-function call-interactively>
          29  26%                   - funcall-interactively
          29  26%                    - seed7-complete-statement-or-indent
          29  26%                     - seed7-indent-region
          29  26%                      - seed7--indent-one-line
          29  26%                       - seed7-calc-indent
          18  16%                        - seed7--indent-search-boundary
          18  16%                         - seed7--indent-search-boundary-uncached
          18  16%                          - syntax-ppss
          17  15%                             parse-partial-sexp
          10   9%                        - seed7-line-inside-a-block-cached
           9   8%                         - seed7-line-inside-a-block
           5   4%                          - seed7-re-search-backward
           5   4%                           - seed7-inside-comment-p
           5   4%                            - syntax-ppss
           5   4%                               parse-partial-sexp
           3   2%                          - seed7--safe-enclosing-block-bounds
           3   2%                           - seed7--block-end-pos-for
           3   2%                            - seed7-to-block-forward
           2   1%                             - seed7-re-search-forward
           1   0%                              - seed7-inside-comment-p
           1   0%                               - syntax-ppss
           1   0%                                  parse-partial-sexp
           1   0%                             - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
