     10,772,010  99% - ...
     10,772,010  99%  - #<primitive-function call-interactively>
     10,772,010  99%   - funcall-interactively
     10,772,010  99%    - smex
     10,772,010  99%     - smex-read-and-run
     10,772,010  99%      - execute-extended-command
     10,772,010  99%       - command-execute
     10,772,010  99%        - call-interactively
     10,772,010  99%         - apply
     10,772,010  99%          - call-interactively@ido-cr+-record-current-command
     10,772,010  99%           - #<primitive-function call-interactively>
     10,772,010  99%            - funcall-interactively
     10,772,010  99%             - pel-profile-all
     10,772,010  99%              - pel-profile-dir
     10,772,010  99%               - pel-profile-indent
     10,772,010  99%                - pel-profile-indentation-test-of
      9,208,110  85%                 - call-interactively
      9,208,110  85%                  - apply
      9,208,110  85%                   - call-interactively@ido-cr+-record-current-command
      9,208,110  85%                    - #<primitive-function call-interactively>
      9,208,110  85%                     - funcall-interactively
      9,208,094  85%                      - seed7-complete-statement-or-indent
      9,208,094  85%                       - seed7-indent-region
      9,208,094  85%                        - seed7--indent-one-line
      9,208,094  85%                         - seed7-calc-indent
      3,382,458  31%                          - seed7-line-is-defun-end
      1,505,731  13%                           - seed7-end-of-defun
      1,258,400  11%                            - seed7-top-block-name
      1,258,400  11%                             - seed7--to-top
      1,182,896  10%                              - seed7-re-search-backward
      1,182,896  10%                               - run-with-timer
      1,182,896  10%                                - run-at-time
        576,784   5%                                 - timer-activate
        576,784   5%                                  - timer--activate
        576,784   5%                                     timer--time-less-p
        371,488   3%                                   timer-relative-time
        234,624   2%                                 - timer-set-time
        234,624   2%                                    timer--time-setter
         75,504   0%                              - run-with-timer
         75,504   0%                               - run-at-time
         36,816   0%                                - timer-activate
         36,816   0%                                 - timer--activate
         36,816   0%                                    timer--time-less-p
         23,712   0%                                  timer-relative-time
         14,976   0%                                - timer-set-time
         14,976   0%                                   timer--time-setter
         91,667   0%                            - seed7-re-search-forward
         30,235   0%                             - seed7-inside-comment-p
         30,235   0%                              - syntax-ppss
         30,235   0%                               - syntax-propertize
         30,235   0%                                  seed7-mode-syntax-propertize
         75,504   0%                            - seed7-re-search-backward
         75,504   0%                             - run-with-timer
         75,504   0%                              - run-at-time
         36,816   0%                               - timer-activate
         36,816   0%                                - timer--activate
         36,816   0%                                   timer--time-less-p
         23,712   0%                                 timer-relative-time
         14,976   0%                               - timer-set-time
         14,976   0%                                  timer--time-setter
          9,200   0%                              match-string
        902,269   8%                           - seed7-beg-of-defun
        282,435   2%                            - seed7-re-search-backward
        183,920   1%                             - run-with-timer
        183,920   1%                              - run-at-time
         89,680   0%                               - timer-activate
         89,680   0%                                - timer--activate
         89,680   0%                                   timer--time-less-p
         57,760   0%                                 timer-relative-time
         36,480   0%                               - timer-set-time
         36,480   0%                                  timer--time-setter
         98,515   0%                               re-search-backward
        208,543   1%                            - seed7-re-search-backward-closest
        208,543   1%                             - seed7-re-search-backward
        123,359   1%                                re-search-backward
         85,184   0%                              - run-with-timer
         85,184   0%                               - run-at-time
         41,536   0%                                - timer-activate
         41,536   0%                                 - timer--activate
         41,536   0%                                    timer--time-less-p
         26,752   0%                                  timer-relative-time
         16,896   0%                                - timer-set-time
         16,896   0%                                   timer--time-setter
        130,321   1%                            - seed7-top-block-name
         77,600   0%                             - seed7--to-top
         52,432   0%                              - seed7-re-search-backward
         27,264   0%                                 re-search-backward
         25,168   0%                               - run-with-timer
         25,168   0%                                - run-at-time
         12,272   0%                                 - timer-activate
         12,272   0%                                  - timer--activate
         12,272   0%                                     timer--time-less-p
          7,904   0%                                   timer-relative-time
          4,992   0%                                 - timer-set-time
          4,992   0%                                    timer--time-setter
         25,168   0%                              - run-with-timer
         25,168   0%                               - run-at-time
         12,272   0%                                - timer-activate
         12,272   0%                                 - timer--activate
         12,272   0%                                    timer--time-less-p
          7,904   0%                                  timer-relative-time
          4,992   0%                                - timer-set-time
          4,992   0%                                   timer--time-setter
         52,721   0%                             - seed7--block-name
         52,721   0%                                seed7-re-search-forward
         16,368   0%                              match-string-no-properties
          8,184   0%                            - user-error
          8,184   0%                               format-message
          2,032   0%                              match-string
        605,746   5%                           - seed7-line-starts-with-any
        605,746   5%                              seed7-line-starts-with
        241,912   2%                             looking-back
         64,512   0%                           - seed7-move-to-line
         64,512   0%                              seed7-to-previous-non-empty-line
         37,864   0%                           - seed7--current-line-nth-word
         37,864   0%                            - thing-at-point
         37,864   0%                             - bounds-of-thing-at-point
         21,496   0%                                re-search-forward
         16,368   0%                              - #<byte-code-function 64F>
         16,368   0%                               - forward-thing
         16,368   0%                                  format
         24,424   0%                           - seed7--safe-current-line-defun-start-indent
         24,424   0%                            - seed7-to-block-backward
         24,424   0%                             - seed7-re-search-backward
         20,328   0%                              - run-with-timer
         20,328   0%                               - run-at-time
          9,912   0%                                - timer-activate
          9,912   0%                                 - timer--activate
          9,912   0%                                    timer--time-less-p
          6,384   0%                                  timer-relative-time
          4,032   0%                                - timer-set-time
          4,032   0%                                   timer--time-setter
          4,096   0%                                re-search-backward
      2,249,150  20%                          - seed7-line-inside-a-block-cached
      2,249,150  20%                           - seed7-line-inside-a-block
      1,450,119  13%                            - seed7--safe-enclosing-block-bounds
      1,450,119  13%                             - seed7--block-end-pos-for
      1,305,707  12%                              - seed7-to-block-forward
      1,138,930  10%                               - seed7-end-of-defun
        954,682   8%                                - seed7-top-block-name
        926,280   8%                                 - seed7--to-top
        863,360   7%                                  - seed7-re-search-backward
        829,576   7%                                   - run-with-timer
        829,576   7%                                    - run-at-time
        404,504   3%                                     - timer-activate
        404,504   3%                                      - timer--activate
        404,504   3%                                         timer--time-less-p
        260,528   2%                                       timer-relative-time
        164,544   1%                                     - timer-set-time
        164,544   1%                                        timer--time-setter
         20,472   0%                                   - seed7-inside-comment-p
         20,472   0%                                    - syntax-ppss
         20,472   0%                                     - syntax-propertize
         20,472   0%                                        seed7-mode-syntax-propertize
         13,312   0%                                     re-search-backward
         62,920   0%                                  - run-with-timer
         62,920   0%                                   - run-at-time
         30,680   0%                                    - timer-activate
         30,680   0%                                     - timer--activate
         30,680   0%                                        timer--time-less-p
         19,760   0%                                      timer-relative-time
         12,480   0%                                    - timer-set-time
         12,480   0%                                       timer--time-setter
         28,402   0%                                 - seed7--block-name
         27,386   0%                                    seed7-re-search-forward
          1,016   0%                                    match-string
         62,920   0%                                - seed7-re-search-backward
         62,920   0%                                 - run-with-timer
         62,920   0%                                  - run-at-time
         30,680   0%                                   - timer-activate
         30,680   0%                                    - timer--activate
         30,680   0%                                       timer--time-less-p
         19,760   0%                                     timer-relative-time
         12,480   0%                                   - timer-set-time
         12,480   0%                                      timer--time-setter
         61,528   0%                                - seed7-re-search-forward
         10,232   0%                                 - seed7-inside-comment-p
         10,232   0%                                  - syntax-ppss
         10,232   0%                                   - syntax-propertize
         10,232   0%                                      seed7-mode-syntax-propertize
          2,048   0%                                 - internal--syntax-propertize
          2,048   0%                                  - syntax-propertize
          2,048   0%                                     seed7-mode-syntax-propertize
          1,016   0%                                  match-string
         70,784   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         66,321   0%                                 seed7-re-search-forward
         21,488   0%                               - seed7--current-line-nth-word
         21,488   0%                                - thing-at-point
         12,288   0%                                 - bounds-of-thing-at-point
         12,288   0%                                    re-search-forward
          8,184   0%                               - seed7--end-regexp-for
          8,184   0%                                  seed7--type-regexp
         74,652   0%                              - seed7--line-ends-a-statement-p
         49,948   0%                                 looking-at
         24,704   0%                               - forward-sexp
         24,704   0%                                  seed7--forward-sexp-function
          1,024   0%                              - seed7-re-search-forward-closest
          1,024   0%                                 seed7-re-search-forward
        482,714   4%                            - seed7-calc-indent
        138,425   1%                             - seed7-line-inside-a-block-cached
        138,425   1%                              - seed7-line-inside-a-block
        103,017   0%                               - seed7--safe-enclosing-block-bounds
        103,017   0%                                - seed7--block-end-pos-for
         70,257   0%                                 - seed7-to-block-forward
         67,185   0%                                  - seed7-end-of-defun
         51,420   0%                                   - seed7-top-block-name
         49,424   0%                                    - seed7--to-top
         46,520   0%                                     - seed7-re-search-backward
         45,496   0%                                      - run-with-timer
         45,496   0%                                       - run-at-time
         22,184   0%                                        - timer-activate
         22,184   0%                                         - timer--activate
         22,184   0%                                            timer--time-less-p
         14,288   0%                                          timer-relative-time
          9,024   0%                                        - timer-set-time
          9,024   0%                                           timer--time-setter
          1,024   0%                                        re-search-backward
          2,904   0%                                     - run-with-timer
          2,904   0%                                      - run-at-time
          1,416   0%                                       - timer-activate
          1,416   0%                                        - timer--activate
          1,416   0%                                           timer--time-less-p
            912   0%                                         timer-relative-time
            576   0%                                       - timer-set-time
            576   0%                                          timer--time-setter
          1,996   0%                                    - seed7--block-name
          1,996   0%                                       seed7-re-search-forward
          9,789   0%                                   - seed7-re-search-forward
          5,693   0%                                    - seed7-inside-comment-p
          5,693   0%                                     - syntax-ppss
          5,693   0%                                      - syntax-propertize
          5,693   0%                                         seed7-mode-syntax-propertize
          2,904   0%                                   - seed7-re-search-backward
          2,904   0%                                    - run-with-timer
          2,904   0%                                     - run-at-time
          1,416   0%                                      - timer-activate
          1,416   0%                                       - timer--activate
          1,416   0%                                          timer--time-less-p
            912   0%                                        timer-relative-time
            576   0%                                      - timer-set-time
            576   0%                                         timer--time-setter
          2,048   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          1,024   0%                                    seed7-re-search-forward
         16,376   0%                                 - seed7--line-ends-a-statement-p
         14,328   0%                                    looking-at
          2,048   0%                                  - forward-sexp
          2,048   0%                                     seed7--forward-sexp-function
          4,096   0%                                 - seed7-re-search-forward-closest
          4,096   0%                                    seed7-re-search-forward
         30,288   0%                               - seed7-re-search-backward
         25,168   0%                                - run-with-timer
         25,168   0%                                 - run-at-time
         12,272   0%                                  - timer-activate
         12,272   0%                                   - timer--activate
         12,272   0%                                      timer--time-less-p
          7,904   0%                                    timer-relative-time
          4,992   0%                                  - timer-set-time
          4,992   0%                                     timer--time-setter
          5,120   0%                                  re-search-backward
          5,120   0%                                 replace-regexp-in-string
        109,872   1%                             - seed7-line-at-endof-array-definition-block
         46,464   0%                              - backward-sexp
         46,464   0%                               - forward-sexp
         46,464   0%                                - seed7--forward-sexp-function
         23,232   0%                                 - seed7--at-array-definition-end-line-p
         23,232   0%                                  - seed7-line-code-ends-with
         23,232   0%                                   - seed7-re-search-backward
         23,232   0%                                    - run-with-timer
         23,232   0%                                     - run-at-time
         11,328   0%                                      - timer-activate
         11,328   0%                                       - timer--activate
         11,328   0%                                          timer--time-less-p
          7,296   0%                                        timer-relative-time
          4,608   0%                                      - timer-set-time
          4,608   0%                                         timer--time-setter
         23,232   0%                                 - seed7--at-set-definition-end-line-p
         23,232   0%                                  - seed7-line-code-ends-with
         23,232   0%                                   - seed7-re-search-backward
         23,232   0%                                    - run-with-timer
         23,232   0%                                     - run-at-time
         11,328   0%                                      - timer-activate
         11,328   0%                                       - timer--activate
         11,328   0%                                          timer--time-less-p
          7,296   0%                                        timer-relative-time
          4,608   0%                                      - timer-set-time
          4,608   0%                                         timer--time-setter
         38,480   0%                              - seed7-line-code-ends-with
         38,480   0%                               - seed7-re-search-backward
         25,168   0%                                - run-with-timer
         25,168   0%                                 - run-at-time
         12,272   0%                                  - timer-activate
         12,272   0%                                   - timer--activate
         12,272   0%                                      timer--time-less-p
          7,904   0%                                    timer-relative-time
          4,992   0%                                  - timer-set-time
          4,992   0%                                     timer--time-setter
         13,312   0%                                  re-search-backward
         12,288   0%                                looking-at
         11,616   0%                              - seed7-re-search-backward
         11,616   0%                               - run-with-timer
         11,616   0%                                - run-at-time
          5,664   0%                                 - timer-activate
          5,664   0%                                  - timer--activate
          5,664   0%                                     timer--time-less-p
          3,648   0%                                   timer-relative-time
          2,304   0%                                 - timer-set-time
          2,304   0%                                    timer--time-setter
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
         46,480   0%                             - seed7-line-after-short-func-end
         30,096   0%                              - seed7-to-block-backward
         21,912   0%                               - seed7-re-search-backward
         11,264   0%                                  re-search-backward
         10,648   0%                                - run-with-timer
         10,648   0%                                 - run-at-time
          5,192   0%                                  - timer-activate
          5,192   0%                                   - timer--activate
          5,192   0%                                      timer--time-less-p
          3,344   0%                                    timer-relative-time
          2,112   0%                                  - timer-set-time
          2,112   0%                                     timer--time-setter
          8,184   0%                               - seed7--current-line-nth-word
          8,184   0%                                - thing-at-point
          8,184   0%                                 - bounds-of-thing-at-point
          8,184   0%                                  - #<byte-code-function D16>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
         28,664   0%                             - seed7-line-is-defun-end
         15,360   0%                                looking-back
          8,184   0%                              - seed7--current-line-nth-word
          8,184   0%                               - thing-at-point
          8,184   0%                                - bounds-of-thing-at-point
          8,184   0%                                 - #<byte-code-function FCB>
          8,184   0%                                  - forward-thing
          8,184   0%                                     format
          5,120   0%                              - seed7-move-to-line
          5,120   0%                                 seed7-to-previous-non-empty-line
         26,553   0%                             - seed7-line-inside-array-definition-block
         26,553   0%                              - seed7-re-search-backward
         13,969   0%                                 re-search-backward
         12,584   0%                               - run-with-timer
         12,584   0%                                - run-at-time
          6,136   0%                                 - timer-activate
          6,136   0%                                  - timer--activate
          6,136   0%                                     timer--time-less-p
          3,952   0%                                   timer-relative-time
          2,496   0%                                 - timer-set-time
          2,496   0%                                    timer--time-setter
         26,408   0%                             - seed7-line-inside-set-definition-block
         26,408   0%                              - seed7-re-search-backward
         13,824   0%                                 re-search-backward
         12,584   0%                               - run-with-timer
