          16 100% - ...
          16 100%  - pel-profile-indent
          16 100%   - pel-profile-indentation-test-of
          16 100%    - call-interactively
          16 100%     - apply
          16 100%      - call-interactively@ido-cr+-record-current-command
          16 100%       - #<primitive-function call-interactively>
          16 100%        - funcall-interactively
          16 100%         - seed7-complete-statement-or-indent
          16 100%          - seed7-indent-region
          16 100%           - seed7--indent-one-line
          16 100%            - seed7-calc-indent
           8  50%             - seed7-comment-column
           7  43%              - seed7-calc-indent
           2  12%               - seed7-line-after-short-func-end
           2  12%                - seed7-move-to-line
           2  12%                 - seed7-to-previous-non-empty-line
           2  12%                  - seed7-inside-comment-p
           2  12%                   - syntax-ppss
           2  12%                      parse-partial-sexp
           2  12%               - seed7-line-after-func-return-logic-operator-column
           2  12%                - seed7-move-to-line
           2  12%                 - seed7-to-previous-non-empty-line
           2  12%                  - seed7-inside-comment-p
           2  12%                   - syntax-ppss
           2  12%                      parse-partial-sexp
           1   6%               - seed7-line-inside-parens-pair-column
           1   6%                - seed7-line-inside-parens-pair
           1   6%                 - seed7-re-search-backward
           1   6%                  - seed7-inside-comment-p
           1   6%                   - syntax-ppss
           1   6%                      parse-partial-sexp
           1   6%               - seed7-line-starts-with-open-paren-after-logic-operator
           1   6%                - seed7-move-to-line
           1   6%                   seed7-to-previous-non-empty-line
           1   6%               - seed7-line-is-defun-end
           1   6%                - seed7-move-to-line
           1   6%                 - seed7-to-previous-non-empty-line
           1   6%                  - seed7-inside-comment-p
           1   6%                   - syntax-ppss
           1   6%                      parse-partial-sexp
           1   6%              - seed7-line-code-ends-with
           1   6%               - seed7-move-to-line
           1   6%                - seed7-to-previous-non-empty-line
           1   6%                 - seed7-inside-comment-p
           1   6%                  - syntax-ppss
           1   6%                     parse-partial-sexp
           3  18%             - seed7-line-inside-parens-pair-column
           3  18%              - seed7-line-inside-parens-pair
           3  18%               - seed7-re-search-backward
           2  12%                - seed7-inside-comment-p
           2  12%                 - syntax-ppss
           2  12%                    parse-partial-sexp
           1   6%                - run-with-timer
           1   6%                 - run-at-time
           1   6%                  - timer-set-time
           1   6%                     timer--time-setter
           2  12%             - seed7-line-at-endof-array-definition-block
           2  12%              - backward-sexp
           2  12%               - forward-sexp
           2  12%                - seed7--forward-sexp-function
           2  12%                 - seed7--at-array-definition-end-line-p
           2  12%                  - seed7-line-code-ends-with
           2  12%                   - seed7-re-search-backward
           2  12%                    - run-with-timer
           2  12%                     - run-at-time
           2  12%                      - timer-set-time
           2  12%                         timer--time-setter
           1   6%             - seed7-line-starts-with
           1   6%              - seed7-move-to-line
           1   6%               - seed7-to-previous-non-empty-line
           1   6%                - seed7-inside-comment-p
           1   6%                 - syntax-ppss
           1   6%                    parse-partial-sexp
           1   6%             - seed7-line-inside-a-block-cached
           1   6%              - seed7-line-inside-a-block
           1   6%               - seed7-re-search-backward
           1   6%                - run-with-timer
           1   6%                 - run-at-time
           1   6%                    timer-relative-time
           1   6%             - seed7--current-line-nth-word
           1   6%              - thing-at-point
           1   6%               - bounds-of-thing-at-point
           1   6%                - #<byte-code-function 2CB>
           1   6%                 - forward-thing
           1   6%                  - forward-word
           1   6%                     internal--syntax-propertize
