         446  82% - ...
         446  82%  - apply
         446  82%   - call-interactively@ido-cr+-record-current-command
         446  82%    - #<primitive-function call-interactively>
         446  82%     - funcall-interactively
         445  82%      - pel-profile-all
         445  82%       - pel-profile-dir
         445  82%        - pel-profile-indent
         445  82%         - pel-profile-indentation-test-of
         445  82%          - call-interactively
         445  82%           - apply
         445  82%            - call-interactively@ido-cr+-record-current-command
         445  82%             - #<primitive-function call-interactively>
         445  82%              - funcall-interactively
         445  82%               - seed7-complete-statement-or-indent
         445  82%                - seed7-indent-region
         445  82%                 - seed7--indent-one-line
         445  82%                  - seed7-calc-indent
         170  31%                   - seed7--indent-search-boundary
         170  31%                    - seed7--indent-search-boundary-uncached
         165  30%                     - syntax-ppss
         163  30%                        parse-partial-sexp
           1   0%                        syntax-table
           2   0%                       seed7-to-indent
         125  23%                   - seed7-line-is-defun-end
          90  16%                    - seed7-end-of-defun
          77  14%                     - seed7-top-block-name
          77  14%                      - seed7--to-top
          76  14%                       - seed7-re-search-backward
          62  11%                        - seed7-inside-comment-p
          62  11%                         - syntax-ppss
          61  11%                            parse-partial-sexp
           9   1%                        - run-with-timer
           9   1%                         - run-at-time
           4   0%                          - timer-activate
           4   0%                           - timer--activate
           4   0%                              timer--time-less-p
           3   0%                          - timer-set-time
           3   0%                             timer--time-setter
           2   0%                            timer-relative-time
           2   0%                          re-search-backward
           2   0%                        - seed7-inside-string-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                          make-closure
          13   2%                     - seed7-re-search-forward
           6   1%                      - seed7-inside-comment-p
           6   1%                       - syntax-ppss
           3   0%                        - syntax-propertize
           2   0%                           seed7-mode-syntax-propertize
           3   0%                          parse-partial-sexp
           5   0%                      - seed7-inside-string-p
           5   0%                       - syntax-ppss
           5   0%                          parse-partial-sexp
          17   3%                    - seed7-beg-of-defun
          14   2%                     - seed7-re-search-backward
          12   2%                      - seed7-inside-comment-p
          12   2%                       - syntax-ppss
          12   2%                          parse-partial-sexp
           1   0%                        re-search-backward
           1   0%                      - run-with-timer
           1   0%                       - run-at-time
           1   0%                        - timer-activate
           1   0%                         - timer--activate
           1   0%                            timer--time-less-p
           2   0%                     - seed7-re-search-backward-closest
           2   0%                      - seed7-re-search-backward
           2   0%                         re-search-backward
           1   0%                     - seed7-top-block-name
           1   0%                      - seed7--to-top
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
          10   1%                    - seed7--indent-search-boundary-uncached
           9   1%                     - syntax-ppss
           9   1%                        parse-partial-sexp
           7   1%                    - seed7-move-to-line
           7   1%                     - seed7-to-previous-non-empty-line
           7   1%                      - seed7-inside-comment-p
           7   1%                       - syntax-ppss
           7   1%                          parse-partial-sexp
           1   0%                    - seed7-line-starts-with-any
           1   0%                     - seed7-line-starts-with
           1   0%                        seed7-move-to-line
          63  11%                   - seed7-comment-column
          52   9%                    - seed7-calc-indent
          15   2%                     - seed7--indent-search-boundary
          15   2%                      - seed7--indent-search-boundary-uncached
          15   2%                       - syntax-ppss
          15   2%                          parse-partial-sexp
          11   2%                     - seed7-line-inside-parens-pair-column
          11   2%                      - seed7-line-inside-parens-pair
          11   2%                       - seed7-re-search-backward
          11   2%                        - seed7-inside-comment-p
          11   2%                         - syntax-ppss
          11   2%                            parse-partial-sexp
           5   0%                     - seed7-line-is-defun-end
           2   0%                      - seed7-end-of-defun
           1   0%                       - seed7-re-search-forward
           1   0%                        - seed7-inside-string-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                       - seed7-top-block-name
