     32,677,480  99% - ...
     32,677,480  99%  - #<primitive-function call-interactively>
     32,677,480  99%   - funcall-interactively
     32,677,480  99%    - smex
     32,677,480  99%     - smex-read-and-run
     32,677,480  99%      - execute-extended-command
     32,677,480  99%       - command-execute
     32,677,480  99%        - call-interactively
     32,677,480  99%         - apply
     32,677,480  99%          - call-interactively@ido-cr+-record-current-command
     32,677,480  99%           - #<primitive-function call-interactively>
     32,677,480  99%            - funcall-interactively
     32,677,480  99%             - pel-profile-all
     32,677,480  99%              - pel-profile-dir
     32,677,480  99%               - pel-profile-indent
     32,677,480  99%                - pel-profile-indentation-test-of
     31,107,948  95%                 - call-interactively
     31,107,948  95%                  - apply
     31,107,948  95%                   - call-interactively@ido-cr+-record-current-command
     31,107,948  95%                    - #<primitive-function call-interactively>
     31,107,948  95%                     - funcall-interactively
     31,107,932  95%                      - seed7-complete-statement-or-indent
     31,107,932  95%                       - seed7-indent-region
     31,107,932  95%                        - seed7--indent-one-line
     31,107,932  95%                         - seed7-calc-indent
      6,726,743  20%                          - seed7-line-is-defun-end
      1,817,658   5%                           - seed7-end-of-defun
      1,555,175   4%                            - seed7-top-block-name
      1,555,175   4%                             - seed7--to-top
      1,473,863   4%                              - seed7-re-search-backward
      1,460,712   4%                               - run-with-timer
      1,460,712   4%                                - run-at-time
        712,248   2%                                 - timer-activate
        712,248   2%                                  - timer--activate
        712,248   2%                                     timer--time-less-p
        458,736   1%                                   timer-relative-time
        289,728   0%                                 - timer-set-time
        289,728   0%                                    timer--time-setter
         13,151   0%                               - seed7-inside-comment-p
         13,151   0%                                - syntax-ppss
         13,151   0%                                 - syntax-propertize
         13,151   0%                                    seed7-mode-syntax-propertize
         81,312   0%                              - run-with-timer
         81,312   0%                               - run-at-time
         39,648   0%                                - timer-activate
         39,648   0%                                 - timer--activate
         39,648   0%                                    timer--time-less-p
         25,536   0%                                  timer-relative-time
         16,128   0%                                - timer-set-time
         16,128   0%                                   timer--time-setter
         81,312   0%                            - seed7-re-search-backward
         81,312   0%                             - run-with-timer
         81,312   0%                              - run-at-time
         39,648   0%                               - timer-activate
         39,648   0%                                - timer--activate
         39,648   0%                                   timer--time-less-p
         25,536   0%                                 timer-relative-time
         16,128   0%                               - timer-set-time
         16,128   0%                                  timer--time-setter
         78,811   0%                            - seed7-re-search-forward
         23,387   0%                             - seed7-inside-comment-p
         23,387   0%                              - syntax-ppss
         23,387   0%                               - syntax-propertize
         23,387   0%                                  seed7-mode-syntax-propertize
         24,552   0%                              match-string-no-properties
         16,368   0%                              match-string
      1,696,191   5%                             looking-back
      1,440,303   4%                           - seed7-line-starts-with-any
      1,440,303   4%                              seed7-line-starts-with
      1,149,798   3%                           - seed7-beg-of-defun
        478,386   1%                            - seed7-re-search-backward
        359,128   1%                             - run-with-timer
        359,128   1%                              - run-at-time
        175,112   0%                               - timer-activate
        175,112   0%                                - timer--activate
        175,112   0%                                   timer--time-less-p
        112,784   0%                                 timer-relative-time
         71,232   0%                               - timer-set-time
         71,232   0%                                  timer--time-setter
        119,258   0%                               re-search-backward
        217,569   0%                            - seed7-re-search-backward-closest
        217,569   0%                             - seed7-re-search-backward
        134,337   0%                                re-search-backward
         83,232   0%                              - run-with-timer
         83,232   0%                               - run-at-time
         40,592   0%                                - timer-activate
         40,592   0%                                 - timer--activate
         40,592   0%                                    timer--time-less-p
         26,128   0%                                  timer-relative-time
         16,512   0%                                - timer-set-time
         16,512   0%                                   timer--time-setter
        162,293   0%                            - seed7-top-block-name
         90,600   0%                             - seed7--to-top
         64,464   0%                              - seed7-re-search-backward
         38,328   0%                                 re-search-backward
         26,136   0%                               - run-with-timer
         26,136   0%                                - run-at-time
         12,744   0%                                 - timer-activate
         12,744   0%                                  - timer--activate
         12,744   0%                                     timer--time-less-p
          8,208   0%                                   timer-relative-time
          5,184   0%                                 - timer-set-time
          5,184   0%                                    timer--time-setter
         26,136   0%                              - run-with-timer
         26,136   0%                               - run-at-time
         12,744   0%                                - timer-activate
         12,744   0%                                 - timer--activate
         12,744   0%                                    timer--time-less-p
          8,208   0%                                  timer-relative-time
          5,184   0%                                - timer-set-time
          5,184   0%                                   timer--time-setter
         71,693   0%                             - seed7--block-name
         71,693   0%                                seed7-re-search-forward
         32,736   0%                              match-string-no-properties
         16,368   0%                              match-string
        506,872   1%                           - seed7-move-to-line
        506,872   1%                              seed7-to-previous-non-empty-line
         71,624   0%                           - seed7--current-line-nth-word
         71,624   0%                            - thing-at-point
         55,256   0%                             - bounds-of-thing-at-point
         32,736   0%                              - #<byte-code-function 7CE>
         32,736   0%                               - forward-thing
         32,736   0%                                  format
         14,336   0%                                re-search-forward
          8,184   0%                              - #<byte-code-function B11>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
         44,297   0%                           - seed7--safe-current-line-defun-start-indent
         44,297   0%                            - seed7-to-block-backward
         44,297   0%                             - seed7-re-search-backward
         33,880   0%                              - run-with-timer
         33,880   0%                               - run-at-time
         16,520   0%                                - timer-activate
         16,520   0%                                 - timer--activate
         16,520   0%                                    timer--time-less-p
         10,640   0%                                  timer-relative-time
          6,720   0%                                - timer-set-time
          6,720   0%                                   timer--time-setter
         10,417   0%                                re-search-backward
      6,267,841  19%                          - seed7-line-inside-a-block-cached
      6,267,841  19%                           - seed7-line-inside-a-block
      3,837,398  11%                            - seed7--safe-enclosing-block-bounds
      3,837,398  11%                             - seed7--block-end-pos-for
      3,617,894  11%                              - seed7-to-block-forward
      1,683,557   5%                               - seed7-end-of-defun
      1,536,509   4%                                - seed7-top-block-name
      1,518,189   4%                                 - seed7--to-top
      1,440,749   4%                                  - seed7-re-search-backward
      1,408,440   4%                                   - run-with-timer
      1,408,440   4%                                    - run-at-time
        686,760   2%                                     - timer-activate
        686,760   2%                                      - timer--activate
        686,760   2%                                         timer--time-less-p
        442,320   1%                                       timer-relative-time
        279,360   0%                                     - timer-set-time
        279,360   0%                                        timer--time-setter
         24,117   0%                                   - seed7-inside-comment-p
         24,117   0%                                    - syntax-ppss
         24,117   0%                                     - syntax-propertize
         24,117   0%                                        seed7-mode-syntax-propertize
          8,192   0%                                     re-search-backward
         77,440   0%                                  - run-with-timer
         77,440   0%                                   - run-at-time
         37,760   0%                                    - timer-activate
         37,760   0%                                     - timer--activate
         37,760   0%                                        timer--time-less-p
         24,320   0%                                      timer-relative-time
         15,360   0%                                    - timer-set-time
         15,360   0%                                       timer--time-setter
         18,320   0%                                 - seed7--block-name
         18,320   0%                                    seed7-re-search-forward
         77,440   0%                                - seed7-re-search-backward
         77,440   0%                                 - run-with-timer
         77,440   0%                                  - run-at-time
         37,760   0%                                   - timer-activate
         37,760   0%                                    - timer--activate
         37,760   0%                                       timer--time-less-p
         24,320   0%                                     timer-relative-time
         15,360   0%                                   - timer-set-time
         15,360   0%                                      timer--time-setter
         23,552   0%                                  seed7-re-search-forward
          8,184   0%                                  match-string
      1,165,313   3%                               - seed7-re-search-forward
        310,366   0%                                - seed7-inside-comment-p
        310,366   0%                                 - syntax-ppss
        310,366   0%                                  - syntax-propertize
        310,366   0%                                     seed7-mode-syntax-propertize
        495,864   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        240,424   0%                               - seed7--current-line-nth-word
        240,424   0%                                - thing-at-point
        183,136   0%                                 - bounds-of-thing-at-point
        106,392   0%                                  - #<byte-code-function 306>
        106,392   0%                                   - forward-thing
        106,392   0%                                      format
         57,288   0%                                  - #<byte-code-function BE6>
         57,288   0%                                   - forward-thing
         57,288   0%                                      format
         19,456   0%                                    re-search-forward
         32,736   0%                                 seed7--end-regexp-for
        130,432   0%                              - seed7--line-ends-a-statement-p
         95,616   0%                                 looking-at
         34,816   0%                               - forward-sexp
         34,816   0%                                  seed7--forward-sexp-function
         78,832   0%                              - seed7-to-next-line-starts-with
         62,464   0%                                 seed7-re-search-forward
          1,024   0%                              - seed7-re-search-forward-closest
          1,024   0%                                 seed7-re-search-forward
      1,632,603   4%                            - seed7-re-search-backward
      1,022,208   3%                             - run-with-timer
      1,022,208   3%                              - run-at-time
        498,432   1%                               - timer-activate
        498,432   1%                                - timer--activate
        498,432   1%                                   timer--time-less-p
        321,024   0%                                 timer-relative-time
        202,752   0%                               - timer-set-time
        202,752   0%                                  timer--time-setter
        610,395   1%                               re-search-backward
        604,072   1%                            - replace-regexp-in-string
         40,920   0%                               concat
         93,488   0%                            - seed7-calc-indent
         19,120   0%                             - seed7-line-inside-a-block-cached
         19,120   0%                              - seed7-line-inside-a-block
          9,216   0%                               - seed7--safe-enclosing-block-bounds
