     27,789,520  99% - ...
     27,789,520  99%  - #<primitive-function call-interactively>
     27,789,520  99%   - funcall-interactively
     27,789,520  99%    - smex
     27,789,520  99%     - smex-read-and-run
     27,789,520  99%      - execute-extended-command
     27,789,520  99%       - command-execute
     27,789,520  99%        - call-interactively
     27,789,520  99%         - apply
     27,789,520  99%          - call-interactively@ido-cr+-record-current-command
     27,789,520  99%           - #<primitive-function call-interactively>
     27,789,520  99%            - funcall-interactively
     27,789,520  99%             - pel-profile-all
     27,789,520  99%              - pel-profile-dir
     27,789,520  99%               - pel-profile-indent
     27,789,520  99%                - pel-profile-indentation-test-of
     26,225,620  94%                 - call-interactively
     26,225,620  94%                  - apply
     26,225,620  94%                   - call-interactively@ido-cr+-record-current-command
     26,225,620  94%                    - #<primitive-function call-interactively>
     26,225,620  94%                     - funcall-interactively
     26,225,604  94%                      - seed7-complete-statement-or-indent
     26,225,604  94%                       - seed7-indent-region
     26,225,604  94%                        - seed7--indent-one-line
     26,204,884  94%                         - seed7-calc-indent
      7,422,836  26%                          - seed7-line-inside-a-block-cached
      7,410,404  26%                           - seed7-line-inside-a-block
      5,206,823  18%                            - seed7--safe-enclosing-block-bounds
      5,202,679  18%                             - seed7--block-end-pos-for
      4,966,135  17%                              - seed7-to-block-forward
      3,362,003  12%                               - seed7-end-of-defun
      2,839,678  10%                                - seed7-top-block-name
      2,701,781   9%                                 - seed7--to-top
      2,549,877   9%                                  - seed7-re-search-backward
      2,159,128   7%                                   - run-with-timer
      2,159,128   7%                                    - run-at-time
        835,528   3%                                     - timer-activate
        835,528   3%                                      - timer--activate
        835,528   3%                                         timer--time-less-p
        785,840   2%                                       timer-relative-time
        504,608   1%                                     - timer-set-time
        504,608   1%                                        timer--time-setter
         33,152   0%                                       timer-create
        234,493   0%                                   - seed7-inside-comment-p
        217,917   0%                                    - syntax-ppss
        193,053   0%                                     - syntax-propertize
        184,765   0%                                        seed7-mode-syntax-propertize
         24,864   0%                                       make-closure
         91,168   0%                                   - seed7-inside-string-p
         20,720   0%                                    - syntax-ppss
         20,720   0%                                       make-closure
         48,512   0%                                     re-search-backward
         16,576   0%                                     make-closure
        151,904   0%                                  - run-with-timer
        151,904   0%                                   - run-at-time
         58,656   0%                                    - timer-activate
         58,656   0%                                     - timer--activate
         58,656   0%                                        timer--time-less-p
         57,152   0%                                      timer-relative-time
         36,096   0%                                    - timer-set-time
         36,096   0%                                       timer--time-setter
        137,897   0%                                 - seed7--block-name
        101,017   0%                                  - seed7-re-search-forward
         12,432   0%                                   - seed7-inside-string-p
          4,144   0%                                    - syntax-ppss
          4,144   0%                                       make-closure
          4,144   0%                                   - seed7-inside-comment-p
          4,144   0%                                    - syntax-ppss
          4,144   0%                                       make-closure
         16,368   0%                                    match-string
        250,869   0%                                - seed7-re-search-forward
          4,144   0%                                 - seed7-inside-string-p
          4,144   0%                                  - syntax-ppss
          4,144   0%                                     make-closure
          2,048   0%                                 - seed7-inside-comment-p
          2,048   0%                                  - syntax-ppss
          2,048   0%                                   - syntax-propertize
          2,048   0%                                      seed7-mode-syntax-propertize
        168,480   0%                                - seed7-re-search-backward
        151,904   0%                                 - run-with-timer
        151,904   0%                                  - run-at-time
         58,656   0%                                   - timer-activate
         58,656   0%                                    - timer--activate
         58,656   0%                                       timer--time-less-p
         57,152   0%                                     timer-relative-time
         36,096   0%                                   - timer-set-time
         36,096   0%                                      timer--time-setter
          8,288   0%                                   seed7-inside-string-p
          8,288   0%                                 - seed7-inside-comment-p
          4,144   0%                                  - syntax-ppss
          4,144   0%                                     make-closure
        753,644   2%                               - seed7-re-search-forward
         62,160   0%                                - seed7-inside-string-p
         16,576   0%                                 - syntax-ppss
         16,576   0%                                    make-closure
         24,864   0%                                - seed7-inside-comment-p
         12,432   0%                                 - syntax-ppss
         12,432   0%                                    make-closure
        474,528   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         16,576   0%                                  seed7-inside-line-indent-before-comment-p
          8,288   0%                                - seed7-inside-comment-p
          8,288   0%                                 - syntax-ppss
          8,288   0%                                    make-closure
        297,640   1%                               - seed7--current-line-nth-word
        285,208   1%                                - thing-at-point
        252,472   0%                                 - bounds-of-thing-at-point
         90,024   0%                                  - #<byte-code-function AAF>
         90,024   0%                                   - forward-thing
         90,024   0%                                      format
         82,880   0%                                    make-closure
         24,864   0%                                  - seq-some
         24,864   0%                                     make-closure
         17,408   0%                                    re-search-forward
         32,736   0%                                 seed7--end-regexp-for
         20,720   0%                               - seed7-inside-comment-p
         12,432   0%                                - syntax-ppss
         12,432   0%                                   make-closure
         16,576   0%                               - seed7-inside-line-indent-before-comment-p
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
        228,352   0%                              - seed7--line-ends-a-statement-p
        144,384   0%                                 looking-at
         83,968   0%                               - forward-sexp
         83,968   0%                                  seed7--forward-sexp-function
          8,192   0%                              - seed7-to-next-line-starts-with
          8,192   0%                                 seed7-re-search-forward
      1,459,981   5%                            - seed7-re-search-backward
        761,968   2%                             - run-with-timer
        761,968   2%                              - run-at-time
        298,000   1%                               - timer-activate
        298,000   1%                                - timer--activate
        298,000   1%                                   timer--time-less-p
        274,208   0%                                 timer-relative-time
        173,184   0%                               - timer-set-time
        173,184   0%                                  timer--time-setter
         16,576   0%                                 timer-create
        602,701   2%                               re-search-backward
         74,592   0%                             - seed7-inside-string-p
          8,288   0%                              - syntax-ppss
          8,288   0%                                 make-closure
         12,432   0%                               make-closure
          8,288   0%                               seed7-inside-comment-p
        564,968   2%                            - replace-regexp-in-string
         24,552   0%                               concat
         70,784   0%                              seed7--indent-offset-for
         29,008   0%                              seed7--on-lineof
         25,488   0%                            - seed7-calc-indent
          4,096   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
          2,640   0%                             - seed7-line-inside-a-block-cached
          2,640   0%                              - seed7-line-inside-a-block
          2,640   0%                               - seed7-re-search-backward
          1,616   0%                                - run-with-timer
          1,616   0%                                 - run-at-time
            624   0%                                  - timer-activate
            624   0%                                   - timer--activate
            624   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,640   0%                             - seed7-line-at-endof-array-definition-block
          2,640   0%                              - seed7-line-code-ends-with
          2,640   0%                               - seed7-re-search-backward
          1,616   0%                                - run-with-timer
          1,616   0%                                 - run-at-time
            624   0%                                  - timer-activate
            624   0%                                   - timer--activate
            624   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,048   0%                               seed7-line-after-short-func-end
          1,832   0%                             - seed7-line-inside-array-definition-block
          1,832   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            808   0%                               - run-with-timer
            808   0%                                - run-at-time
            312   0%                                 - timer-activate
            312   0%                                  - timer--activate
            312   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,832   0%                             - seed7-line-inside-set-definition-block
          1,832   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            808   0%                               - run-with-timer
            808   0%                                - run-at-time
            312   0%                                 - timer-activate
            312   0%                                  - timer--activate
            312   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
