     11,883,356  99% - ...
     11,883,356  99%  - #<primitive-function call-interactively>
     11,883,356  99%   - funcall-interactively
     11,883,356  99%    - smex
     11,883,356  99%     - smex-read-and-run
     11,883,356  99%      - execute-extended-command
     11,883,356  99%       - command-execute
     11,883,356  99%        - call-interactively
     11,883,356  99%         - apply
     11,883,356  99%          - call-interactively@ido-cr+-record-current-command
     11,883,356  99%           - #<primitive-function call-interactively>
     11,883,356  99%            - funcall-interactively
     11,883,356  99%             - pel-profile-all
     11,883,356  99%              - pel-profile-dir
     11,883,356  99%               - pel-profile-indent
     11,883,356  99%                - pel-profile-indentation-test-of
     10,319,456  86%                 - call-interactively
     10,319,456  86%                  - apply
     10,319,456  86%                   - call-interactively@ido-cr+-record-current-command
     10,319,456  86%                    - #<primitive-function call-interactively>
     10,319,456  86%                     - funcall-interactively
     10,319,440  86%                      - seed7-complete-statement-or-indent
     10,319,440  86%                       - seed7-indent-region
     10,319,440  86%                        - seed7--indent-one-line
     10,319,440  86%                         - seed7-calc-indent
      3,115,339  26%                          - seed7-line-inside-a-block-cached
      3,115,339  26%                           - seed7-line-inside-a-block
      1,551,452  13%                            - seed7-calc-indent
      1,034,328   8%                             - seed7-line-inside-parens-pair-column
      1,034,328   8%                              - seed7-line-inside-parens-pair
      1,030,232   8%                               - seed7-re-search-backward
      1,025,112   8%                                - run-with-timer
      1,025,112   8%                                 - run-at-time
        499,848   4%                                  - timer-activate
        499,848   4%                                   - timer--activate
        499,848   4%                                      timer--time-less-p
        321,936   2%                                    timer-relative-time
        203,328   1%                                  - timer-set-time
        203,328   1%                                     timer--time-setter
          5,120   0%                                  re-search-backward
          4,096   0%                               - forward-sexp
          4,096   0%                                  seed7--forward-sexp-function
        247,633   2%                             - seed7-line-inside-a-block-cached
        247,633   2%                              - seed7-line-inside-a-block
        209,481   1%                               - seed7--safe-enclosing-block-bounds
        209,481   1%                                - seed7--block-end-pos-for
        184,913   1%                                 - seed7-to-block-forward
        170,629   1%                                  - seed7-end-of-defun
        146,005   1%                                   - seed7-top-block-name
        132,409   1%                                    - seed7--to-top
        120,793   1%                                     - seed7-re-search-backward
        107,448   0%                                      - run-with-timer
        107,448   0%                                       - run-at-time
         52,392   0%                                        - timer-activate
         52,392   0%                                         - timer--activate
         52,392   0%                                            timer--time-less-p
         33,744   0%                                          timer-relative-time
         21,312   0%                                        - timer-set-time
         21,312   0%                                           timer--time-setter
         10,273   0%                                      - seed7-inside-comment-p
         10,273   0%                                       - syntax-ppss
         10,273   0%                                        - syntax-propertize
         10,273   0%                                           seed7-mode-syntax-propertize
          3,072   0%                                        re-search-backward
         11,616   0%                                     - run-with-timer
         11,616   0%                                      - run-at-time
          5,664   0%                                       - timer-activate
          5,664   0%                                        - timer--activate
          5,664   0%                                           timer--time-less-p
          3,648   0%                                         timer-relative-time
          2,304   0%                                       - timer-set-time
          2,304   0%                                          timer--time-setter
         13,596   0%                                    - seed7--block-name
         13,596   0%                                       seed7-re-search-forward
         11,616   0%                                   - seed7-re-search-backward
         11,616   0%                                    - run-with-timer
         11,616   0%                                     - run-at-time
          5,664   0%                                      - timer-activate
          5,664   0%                                       - timer--activate
          5,664   0%                                          timer--time-less-p
          3,648   0%                                        timer-relative-time
          2,304   0%                                      - timer-set-time
          2,304   0%                                         timer--time-setter
          8,192   0%                                     seed7-re-search-forward
          9,164   0%                                    seed7-re-search-forward
          3,072   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          2,048   0%                                  - seed7--current-line-nth-word
          2,048   0%                                   - thing-at-point
          2,048   0%                                    - bounds-of-thing-at-point
          2,048   0%                                       re-search-forward
         18,424   0%                                 - seed7--line-ends-a-statement-p
         12,280   0%                                  - forward-sexp
         12,280   0%                                     seed7--forward-sexp-function
          6,144   0%                                    looking-at
         25,872   0%                               - seed7-re-search-backward
         21,296   0%                                - run-with-timer
         21,296   0%                                 - run-at-time
         10,384   0%                                  - timer-activate
         10,384   0%                                   - timer--activate
         10,384   0%                                      timer--time-less-p
          6,688   0%                                    timer-relative-time
          4,224   0%                                  - timer-set-time
          4,224   0%                                     timer--time-setter
          4,576   0%                                  re-search-backward
         12,280   0%                               - replace-regexp-in-string
          8,184   0%                                  concat
        146,058   1%                             - seed7-line-is-defun-end
         72,050   0%                              - seed7-beg-of-defun
         26,626   0%                               - seed7-re-search-backward
         19,360   0%                                - run-with-timer
         19,360   0%                                 - run-at-time
          9,440   0%                                  - timer-activate
          9,440   0%                                   - timer--activate
          9,440   0%                                      timer--time-less-p
          6,080   0%                                    timer-relative-time
          3,840   0%                                  - timer-set-time
          3,840   0%                                     timer--time-setter
