         295  84% - ...
         295  84%  - pel-profile-dir
         295  84%   - pel-profile-indent
         295  84%    - pel-profile-indentation-test-of
         295  84%     - call-interactively
         295  84%      - apply
         295  84%       - call-interactively@ido-cr+-record-current-command
         295  84%        - #<primitive-function call-interactively>
         295  84%         - funcall-interactively
         251  71%          - pel-profile-all
         251  71%           - pel-profile-dir
         251  71%            - pel-profile-indent
         251  71%             - pel-profile-indentation-test-of
         251  71%              - call-interactively
         251  71%               - apply
         251  71%                - call-interactively@ido-cr+-record-current-command
         251  71%                 - #<primitive-function call-interactively>
         251  71%                  - funcall-interactively
         251  71%                   - seed7-complete-statement-or-indent
         251  71%                    - seed7-indent-region
         251  71%                     - seed7--indent-one-line
         251  71%                      - seed7-calc-indent
         166  47%                       - seed7--indent-search-boundary
         166  47%                        - seed7--indent-search-boundary-uncached
         163  46%                         - syntax-ppss
         162  46%                            parse-partial-sexp
          35  10%                       - seed7-line-inside-a-block-cached
          35  10%                        - seed7-line-inside-a-block
          21   6%                         - seed7--safe-enclosing-block-bounds
          21   6%                          - seed7--block-end-pos-for
          21   6%                           - seed7-to-block-forward
          14   4%                            - seed7-end-of-defun
          12   3%                             - seed7-top-block-name
          12   3%                              - seed7--to-top
          12   3%                               - seed7-re-search-backward
           7   2%                                - seed7-inside-comment-p
           7   2%                                 - syntax-ppss
           7   2%                                    parse-partial-sexp
           3   0%                                  re-search-backward
           2   0%                                - run-with-timer
           2   0%                                 - run-at-time
           2   0%                                  - timer-activate
           2   0%                                   - timer--activate
           2   0%                                      timer--time-less-p
           2   0%                             - seed7-re-search-backward
           2   0%                              - run-with-timer
           2   0%                               - run-at-time
           2   0%                                - timer-activate
           2   0%                                 - timer--activate
           2   0%                                    timer--time-less-p
           6   1%                            - seed7-re-search-forward
           4   1%                             - seed7-inside-string-p
           4   1%                              - syntax-ppss
           4   1%                                 parse-partial-sexp
           1   0%                             - seed7-inside-comment-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
           1   0%                              seed7--current-line-nth-word
          12   3%                         - seed7-re-search-backward
           7   2%                          - seed7-inside-comment-p
           7   2%                           - syntax-ppss
           7   2%                              parse-partial-sexp
           2   0%                          - run-with-timer
           2   0%                           - run-at-time
           2   0%                            - timer-activate
           2   0%                             - timer--activate
           2   0%                                timer--time-less-p
           2   0%                          - seed7-inside-string-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           1   0%                            re-search-backward
           2   0%                         - seed7-calc-indent
           2   0%                          - seed7-line-at-endof-array-definition-block
           1   0%                           - seed7-move-to-line
           1   0%                            - seed7-to-previous-non-empty-line
           1   0%                             - seed7-inside-comment-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
           1   0%                           - seed7-line-code-ends-with
           1   0%                            - seed7-re-search-backward
           1   0%                             - run-with-timer
           1   0%                              - run-at-time
           1   0%                               - timer-activate
           1   0%                                - timer--activate
           1   0%                                   timer--time-less-p
          35  10%                       - seed7-line-is-defun-end
          25   7%                        - seed7-end-of-defun
          17   4%                         - seed7-top-block-name
          17   4%                          - seed7--to-top
          16   4%                           - seed7-re-search-backward
          12   3%                            - seed7-inside-comment-p
          12   3%                             - syntax-ppss
          12   3%                                parse-partial-sexp
           4   1%                            - run-with-timer
           4   1%                             - run-at-time
           2   0%                              - timer-set-time
           2   0%                                 timer--time-setter
           2   0%                              - timer-activate
           2   0%                               - timer--activate
           2   0%                                  timer--time-less-p
