     21,646,527  99% - ...
     21,646,527  99%  - #<primitive-function call-interactively>
     21,646,527  99%   - funcall-interactively
     21,646,527  99%    - smex
     21,646,527  99%     - smex-read-and-run
     21,646,527  99%      - execute-extended-command
     21,646,527  99%       - command-execute
     21,646,527  99%        - call-interactively
     21,646,527  99%         - apply
     21,646,527  99%          - call-interactively@ido-cr+-record-current-command
     21,646,527  99%           - #<primitive-function call-interactively>
     21,646,527  99%            - funcall-interactively
     21,646,527  99%             - pel-profile-all
     21,646,527  99%              - pel-profile-dir
     21,646,527  99%               - pel-profile-indent
     21,646,527  99%                - pel-profile-indentation-test-of
     20,082,627  92%                 - call-interactively
     20,082,627  92%                  - apply
     20,082,627  92%                   - call-interactively@ido-cr+-record-current-command
     20,082,627  92%                    - #<primitive-function call-interactively>
     20,082,627  92%                     - funcall-interactively
     20,082,611  92%                      - seed7-complete-statement-or-indent
     20,082,611  92%                       - seed7-indent-region
     20,082,611  92%                        - seed7--indent-one-line
     20,082,611  92%                         - seed7-calc-indent
      7,498,543  34%                          - seed7-line-is-defun-end
      4,460,662  20%                           - seed7-end-of-defun
      3,586,312  16%                            - seed7-top-block-name
      3,552,560  16%                             - seed7--to-top
      3,300,880  15%                              - seed7-re-search-backward
      3,300,880  15%                               - run-with-timer
      3,300,880  15%                                - run-at-time
      1,609,520   7%                                 - timer-activate
      1,609,520   7%                                  - timer--activate
      1,609,520   7%                                     timer--time-less-p
      1,036,640   4%                                   timer-relative-time
        654,720   3%                                 - timer-set-time
        654,720   3%                                    timer--time-setter
        251,680   1%                              - run-with-timer
        251,680   1%                               - run-at-time
        122,720   0%                                - timer-activate
        122,720   0%                                 - timer--activate
        122,720   0%                                    timer--time-less-p
         79,040   0%                                  timer-relative-time
         49,920   0%                                - timer-set-time
         49,920   0%                                   timer--time-setter
         33,752   0%                             - seed7--block-name
         25,568   0%                                match-string
        333,225   1%                            - seed7-re-search-forward
        199,977   0%                             - seed7-inside-comment-p
        199,977   0%                              - syntax-ppss
        199,977   0%                               - syntax-propertize
        199,977   0%                                  seed7-mode-syntax-propertize
        251,680   1%                            - seed7-re-search-backward
        251,680   1%                             - run-with-timer
        251,680   1%                              - run-at-time
        122,720   0%                               - timer-activate
        122,720   0%                                - timer--activate
        122,720   0%                                   timer--time-less-p
         79,040   0%                                 timer-relative-time
         49,920   0%                               - timer-set-time
         49,920   0%                                  timer--time-setter
         28,616   0%                              match-string
         24,552   0%                              match-string-no-properties
      1,647,175   7%                           - seed7-beg-of-defun
        481,180   2%                            - seed7-re-search-backward
        329,120   1%                             - run-with-timer
        329,120   1%                              - run-at-time
        160,480   0%                               - timer-activate
        160,480   0%                                - timer--activate
        160,480   0%                                   timer--time-less-p
        103,360   0%                                 timer-relative-time
         65,280   0%                               - timer-set-time
         65,280   0%                                  timer--time-setter
        152,060   0%                               re-search-backward
        390,372   1%                            - seed7-top-block-name
        221,306   1%                             - seed7--to-top
        158,386   0%                              - seed7-re-search-backward
