      4,511,086  99% - ...
      4,511,086  99%  - #<primitive-function call-interactively>
      4,511,086  99%   - funcall-interactively
      4,511,086  99%    - smex
      4,511,086  99%     - smex-read-and-run
      4,511,086  99%      - execute-extended-command
      4,511,086  99%       - command-execute
      4,511,086  99%        - call-interactively
      4,511,086  99%         - apply
      4,511,086  99%          - call-interactively@ido-cr+-record-current-command
      4,511,086  99%           - #<primitive-function call-interactively>
      4,511,086  99%            - funcall-interactively
      4,511,086  99%             - pel-profile-all
      4,511,086  99%              - pel-profile-dir
      4,511,086  99%               - pel-profile-indent
      4,511,086  99%                - pel-profile-indentation-test-of
      2,947,186  65%                 - call-interactively
      2,947,186  65%                  - apply
      2,947,186  65%                   - call-interactively@ido-cr+-record-current-command
      2,947,186  65%                    - #<primitive-function call-interactively>
      2,947,186  65%                     - funcall-interactively
      2,947,170  65%                      - seed7-complete-statement-or-indent
      2,947,170  65%                       - seed7-indent-region
      2,947,170  65%                        - seed7--indent-one-line
      2,947,170  65%                         - seed7-calc-indent
        780,970  17%                          - seed7-line-is-defun-end
        400,570   8%                           - seed7-beg-of-defun
        208,740   4%                            - seed7-re-search-backward
        158,752   3%                             - run-with-timer
        158,752   3%                              - run-at-time
         77,408   1%                               - timer-activate
         77,408   1%                                - timer--activate
         77,408   1%                                   timer--time-less-p
         49,856   1%                                 timer-relative-time
         31,488   0%                               - timer-set-time
         31,488   0%                                  timer--time-setter
         49,988   1%                               re-search-backward
        103,870   2%                            - seed7-re-search-backward-closest
        103,870   2%                             - seed7-re-search-backward
         65,150   1%                                re-search-backward
         38,720   0%                              - run-with-timer
         38,720   0%                               - run-at-time
         18,880   0%                                - timer-activate
         18,880   0%                                 - timer--activate
         18,880   0%                                    timer--time-less-p
         12,160   0%                                  timer-relative-time
          7,680   0%                                - timer-set-time
          7,680   0%                                   timer--time-setter
        257,560   5%                           - seed7-line-starts-with-any
        257,560   5%                              seed7-line-starts-with
         76,800   1%                             looking-back
         26,624   0%                           - seed7-move-to-line
         26,624   0%                              seed7-to-previous-non-empty-line
         19,416   0%                           - seed7--safe-current-line-defun-start-indent
         19,416   0%                            - seed7-to-block-backward
         19,416   0%                             - seed7-re-search-backward
         18,392   0%                              - run-with-timer
         18,392   0%                               - run-at-time
          8,968   0%                                - timer-activate
          8,968   0%                                 - timer--activate
          8,968   0%                                    timer--time-less-p
          5,776   0%                                  timer-relative-time
          3,648   0%                                - timer-set-time
          3,648   0%                                   timer--time-setter
          1,024   0%                                re-search-backward
        732,513  16%                          - seed7-line-inside-a-block-cached
        732,513  16%                           - seed7-line-inside-a-block
        572,356  12%                            - seed7--safe-enclosing-block-bounds
        572,356  12%                             - seed7--block-end-pos-for
        523,012  11%                              - seed7-to-block-forward
        423,164   9%                               - seed7-end-of-defun
        351,460   7%                                - seed7-top-block-name
        340,272   7%                                 - seed7--to-top
        305,424   6%                                  - seed7-re-search-backward
        296,208   6%                                   - run-with-timer
        296,208   6%                                    - run-at-time
        144,432   3%                                     - timer-activate
        144,432   3%                                      - timer--activate
        144,432   3%                                         timer--time-less-p
         93,024   2%                                       timer-relative-time
         58,752   1%                                     - timer-set-time
         58,752   1%                                        timer--time-setter
          9,216   0%                                     re-search-backward
         34,848   0%                                  - run-with-timer
         34,848   0%                                   - run-at-time
         16,992   0%                                    - timer-activate
         16,992   0%                                     - timer--activate
         16,992   0%                                        timer--time-less-p
         10,944   0%                                      timer-relative-time
          6,912   0%                                    - timer-set-time
          6,912   0%                                       timer--time-setter
         11,188   0%                                 - seed7--block-name
         11,188   0%                                    seed7-re-search-forward
         34,848   0%                                - seed7-re-search-backward
         34,848   0%                                 - run-with-timer
         34,848   0%                                  - run-at-time
         16,992   0%                                   - timer-activate
         16,992   0%                                    - timer--activate
         16,992   0%                                       timer--time-less-p
         10,944   0%                                     timer-relative-time
          6,912   0%                                   - timer-set-time
          6,912   0%                                      timer--time-setter
         18,432   0%                                  seed7-re-search-forward
         37,888   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         34,328   0%                                 seed7-re-search-forward
         27,632   0%                               - seed7--current-line-nth-word
         27,632   0%                                - thing-at-point
         19,448   0%                                 - bounds-of-thing-at-point
         11,264   0%                                    re-search-forward
          8,184   0%                                  - #<byte-code-function 8DA>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
         45,248   1%                              - seed7--line-ends-a-statement-p
         30,912   0%                                 looking-at
         14,336   0%                               - forward-sexp
         14,336   0%                                  seed7--forward-sexp-function
         95,605   2%                            - seed7-re-search-backward
         48,173   1%                               re-search-backward
         47,432   1%                             - run-with-timer
         47,432   1%                              - run-at-time
         23,128   0%                               - timer-activate
         23,128   0%                                - timer--activate
         23,128   0%                                   timer--time-less-p
         14,896   0%                                 timer-relative-time
          9,408   0%                               - timer-set-time
          9,408   0%                                  timer--time-setter
         46,072   1%                              replace-regexp-in-string
         16,432   0%                            - seed7-calc-indent
          3,072   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          2,184   0%                             - seed7-line-inside-array-definition-block
          2,184   0%                              - seed7-re-search-backward
          1,216   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          2,184   0%                             - seed7-line-inside-set-definition-block
          2,184   0%                              - seed7-re-search-backward
          1,216   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-assign-statement-continuation
          1,992   0%                              - seed7-assign-op-pos
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,992   0%                             - seed7-line-inside-parens-pair-column
          1,992   0%                              - seed7-line-inside-parens-pair
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,936   0%                             - seed7-line-inside-a-block-cached
          1,936   0%                              - seed7-line-inside-a-block
          1,936   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-starts-with
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          2,048   0%                              seed7--indent-offset-for
        324,166   7%                          - seed7-comment-column
        293,878   6%                           - seed7-calc-indent
         64,087   1%                            - seed7-line-at-endof-array-definition-block
         64,087   1%                             - seed7-move-to-line
         64,087   1%                              - seed7-to-previous-non-empty-line
         64,087   1%                               - seed7-inside-comment-p
         64,087   1%                                - syntax-ppss
         64,087   1%                                   #<byte-code-function F9C>
