         110  73% - ...
         110  73%  - apply
         110  73%   - call-interactively@ido-cr+-record-current-command
         110  73%    - #<primitive-function call-interactively>
         110  73%     - funcall-interactively
         104  69%      - pel-profile-all
         104  69%       - pel-profile-dir
         104  69%        - pel-profile-indent
         104  69%         - pel-profile-indentation-test-of
         104  69%          - call-interactively
         104  69%           - apply
         104  69%            - call-interactively@ido-cr+-record-current-command
         104  69%             - #<primitive-function call-interactively>
         104  69%              - funcall-interactively
         104  69%               - seed7-complete-statement-or-indent
         104  69%                - seed7-indent-region
         104  69%                 - seed7--indent-one-line
         103  69%                  - seed7-calc-indent
          43  28%                   - seed7--indent-search-boundary
          43  28%                    - seed7--indent-search-boundary-uncached
          39  26%                     - syntax-ppss
          39  26%                        parse-partial-sexp
          34  22%                   - seed7-line-inside-nested-parens-pairs-column
          34  22%                    - seed7-line-inside-nested-parens-pairs
          34  22%                     - seed7-line-inside-parens-pair
          33  22%                      - seed7-re-search-backward
          33  22%                       - run-with-timer
          33  22%                        - run-at-time
          22  14%                         - timer-activate
          22  14%                          - timer--activate
          22  14%                             timer--time-less-p
          11   7%                         - timer-set-time
          11   7%                            timer--time-setter
           1   0%                      - seed7-line-inside-syntax-parens-pair
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
          10   6%                   - seed7-line-inside-array-definition-block
           9   6%                    - seed7-re-search-backward
           8   5%                     - run-with-timer
           8   5%                      - run-at-time
           5   3%                       - timer-activate
           5   3%                        - timer--activate
           5   3%                           timer--time-less-p
           3   2%                       - timer-set-time
           3   2%                          timer--time-setter
           1   0%                     - seed7-inside-string-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                    - forward-sexp
           1   0%                       seed7--forward-sexp-function
           5   3%                   - seed7-line-at-endof-array-definition-block
           2   1%                    - backward-sexp
           2   1%                     - forward-sexp
           2   1%                      - seed7--forward-sexp-function
           1   0%                       - seed7--at-array-definition-end-line-p
           1   0%                        - seed7-line-code-ends-with
           1   0%                         - seed7-re-search-backward
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           2   1%                    - seed7-move-to-line
           2   1%                     - seed7-to-previous-non-empty-line
           2   1%                      - seed7-inside-comment-p
           2   1%                       - syntax-ppss
           2   1%                          parse-partial-sexp
           1   0%                    - seed7-re-search-backward
           1   0%                     - run-with-timer
           1   0%                      - run-at-time
           1   0%                       - timer-set-time
           1   0%                          timer--time-setter
           4   2%                   - seed7-comment-column
           3   2%                    - seed7-calc-indent
           1   0%                     - seed7-line-after-short-func-end
           1   0%                      - seed7-move-to-line
           1   0%                       - seed7-to-previous-non-empty-line
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                     - seed7-line-after-func-return-logic-operator-column
           1   0%                      - seed7-move-to-line
           1   0%                       - seed7-to-previous-non-empty-line
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                     - seed7-line-inside-a-block-cached
           1   0%                      - seed7-line-inside-a-block
           1   0%                       - seed7-re-search-backward
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           1   0%                    - seed7-line-code-ends-with
           1   0%                     - seed7-move-to-line
           1   0%                      - seed7-to-previous-non-empty-line
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           4   2%                   - seed7-line-is-defun-end
           4   2%                    - seed7-beg-of-defun
           4   2%                     - seed7-re-search-backward-closest
           4   2%                      - seed7-re-search-backward
           3   2%                       - run-with-timer
           3   2%                        - run-at-time
           3   2%                         - timer-activate
           3   2%                          - timer--activate
           3   2%                             timer--time-less-p
           1   0%                         re-search-backward
           2   1%                   - seed7-line-inside-a-block-cached
           2   1%                    - seed7-line-inside-a-block
           2   1%                     - seed7-re-search-backward
           2   1%                        re-search-backward
           1   0%                   - seed7-line-inside-set-definition-block
           1   0%                    - seed7-re-search-backward
           1   0%                       re-search-backward
           1   0%                    jit-lock-after-change
           6   4%      - seed7-complete-statement-or-indent
           6   4%       - seed7-indent-region
           6   4%        - seed7--indent-one-line
           6   4%         - seed7-calc-indent
           6   4%          - seed7--current-line-nth-word
           6   4%           - thing-at-point
           6   4%            - bounds-of-thing-at-point
           6   4%             - #<byte-code-function 9C2>
           6   4%              - forward-thing
           6   4%               - forward-word
           6   4%                - internal--syntax-propertize
           6   4%                 - syntax-propertize
           5   3%                    seed7-mode-syntax-propertize
          39  26%   Automatic GC
