      8,529,693  99% - ...
      8,529,693  99%  - #<primitive-function call-interactively>
      8,529,693  99%   - funcall-interactively
      8,529,693  99%    - smex
      8,529,693  99%     - smex-read-and-run
      8,529,693  99%      - execute-extended-command
      8,529,693  99%       - command-execute
      8,529,693  99%        - call-interactively
      8,529,693  99%         - apply
      8,529,693  99%          - call-interactively@ido-cr+-record-current-command
      8,529,693  99%           - #<primitive-function call-interactively>
      8,529,693  99%            - funcall-interactively
      8,529,693  99%             - pel-profile-all
      8,529,693  99%              - pel-profile-dir
      8,529,693  99%               - pel-profile-indent
      8,529,693  99%                - pel-profile-indentation-test-of
      6,965,793  81%                 - call-interactively
      6,965,793  81%                  - apply
      6,965,793  81%                   - call-interactively@ido-cr+-record-current-command
      6,965,793  81%                    - #<primitive-function call-interactively>
      6,965,793  81%                     - funcall-interactively
      6,965,777  81%                      - seed7-complete-statement-or-indent
      6,965,777  81%                       - seed7-indent-region
      6,965,777  81%                        - seed7--indent-one-line
      6,965,777  81%                         - seed7-calc-indent
      2,643,968  30%                          - seed7-line-inside-nested-parens-pairs-column
      2,643,968  30%                           - seed7-line-inside-nested-parens-pairs
      2,643,968  30%                            - seed7-line-inside-parens-pair
      2,643,968  30%                             - seed7-re-search-backward
      2,601,984  30%                              - run-with-timer
      2,601,984  30%                               - run-at-time
      1,268,736  14%                                - timer-activate
      1,268,736  14%                                 - timer--activate
      1,268,736  14%                                    timer--time-less-p
        817,152   9%                                  timer-relative-time
        516,096   6%                                - timer-set-time
        516,096   6%                                   timer--time-setter
         41,984   0%                                re-search-backward
      1,481,885  17%                          - seed7-line-inside-array-definition-block
      1,387,464  16%                           - seed7-re-search-backward
      1,342,600  15%                            - run-with-timer
      1,342,600  15%                             - run-at-time
        654,664   7%                              - timer-activate
        654,664   7%                               - timer--activate
        654,664   7%                                  timer--time-less-p
        421,632   4%                                timer-relative-time
        266,304   3%                              - timer-set-time
        266,304   3%                                 timer--time-setter
         44,864   0%                              re-search-backward
         94,421   1%                           - forward-sexp
         94,421   1%                            - seed7--forward-sexp-function
          8,405   0%                             - internal--syntax-propertize
          8,405   0%                              - syntax-propertize
          8,405   0%                                 seed7-mode-syntax-propertize
      1,392,144  16%                          - seed7-line-is-defun-end
        602,106   7%                           - seed7-beg-of-defun
        221,920   2%                            - seed7-re-search-backward-closest
        221,920   2%                             - seed7-re-search-backward
        140,608   1%                                re-search-backward
         81,312   0%                              - run-with-timer
         81,312   0%                               - run-at-time
         39,648   0%                                - timer-activate
         39,648   0%                                 - timer--activate
         39,648   0%                                    timer--time-less-p
         25,536   0%                                  timer-relative-time
         16,128   0%                                - timer-set-time
         16,128   0%                                   timer--time-setter
        168,501   1%                            - seed7-re-search-backward
        127,845   1%                               re-search-backward
         40,656   0%                             - run-with-timer
         40,656   0%                              - run-at-time
         19,824   0%                               - timer-activate
         19,824   0%                                - timer--activate
         19,824   0%                                   timer--time-less-p
         12,768   0%                                 timer-relative-time
          8,064   0%                               - timer-set-time
          8,064   0%                                  timer--time-setter
        585,270   6%                           - seed7-line-starts-with-any
        585,270   6%                              seed7-line-starts-with
        161,760   1%                             looking-back
         43,008   0%                           - seed7-move-to-line
         43,008   0%                              seed7-to-previous-non-empty-line
        506,466   5%                          - seed7--current-line-nth-word
