          88  68% - ...
          88  68%  - pel-profile-dir
          88  68%   - pel-profile-indent
          88  68%    - pel-profile-indentation-test-of
          88  68%     - call-interactively
          88  68%      - apply
          88  68%       - call-interactively@ido-cr+-record-current-command
          88  68%        - #<primitive-function call-interactively>
          88  68%         - funcall-interactively
          45  34%          - pel-profile-all
          45  34%           - pel-profile-dir
          45  34%            - pel-profile-indent
          45  34%             - pel-profile-indentation-test-of
          45  34%              - call-interactively
          45  34%               - apply
          45  34%                - call-interactively@ido-cr+-record-current-command
          45  34%                 - #<primitive-function call-interactively>
          45  34%                  - funcall-interactively
          45  34%                   - seed7-complete-statement-or-indent
          45  34%                    - seed7-indent-region
          45  34%                     - seed7--indent-one-line
          45  34%                      - seed7-calc-indent
          22  17%                       - seed7--indent-search-boundary
          21  16%                        - seed7--indent-search-boundary-uncached
          20  15%                         - syntax-ppss
          20  15%                            parse-partial-sexp
          14  10%                       - seed7-line-inside-parens-pair-column
          14  10%                        - seed7-line-inside-parens-pair
          10   7%                         - seed7-re-search-backward
           5   3%                          - run-with-timer
           5   3%                           - run-at-time
           2   1%                              timer-relative-time
           2   1%                            - timer-set-time
           2   1%                               timer--time-setter
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           3   2%                          - seed7-inside-comment-p
           3   2%                           - syntax-ppss
           3   2%                              parse-partial-sexp
           2   1%                          - seed7-inside-string-p
           2   1%                           - syntax-ppss
           2   1%                              parse-partial-sexp
           1   0%                         - seed7-line-inside-syntax-parens-pair
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                         - forward-sexp
           1   0%                            seed7--forward-sexp-function
           4   3%                       - seed7-line-inside-argument-list-section
           3   2%                        - seed7-re-search-backward
           2   1%                         - run-with-timer
           2   1%                          - run-at-time
           2   1%                           - timer-activate
           2   1%                            - timer--activate
           2   1%                               timer--time-less-p
           1   0%                           re-search-backward
           1   0%                        - seed7-line-is-procfunc-beg-of-decl
           1   0%                           seed7-line-starts-with
           2   1%                       - seed7-current-line-start-inside-comment-p
           2   1%                        - seed7-inside-comment-p
           2   1%                         - syntax-ppss
           2   1%                            parse-partial-sexp
           2   1%                       - seed7-line-inside-set-definition-block
           2   1%                        - seed7-re-search-backward
           2   1%                           re-search-backward
           1   0%                       - seed7-line-inside-until-logic-expression
           1   0%                        - seed7-re-search-backward
           1   0%                           make-closure
          43  33%          - seed7-complete-statement-or-indent
          43  33%           - seed7-indent-region
          43  33%            - seed7--indent-one-line
          43  33%             - seed7-calc-indent
          25  19%              - seed7-line-inside-a-block-cached
          25  19%               - seed7-line-inside-a-block
          19  14%                - seed7--safe-enclosing-block-bounds
          19  14%                 - seed7--block-end-pos-for
          19  14%                  - seed7-to-block-forward
          16  12%                   - seed7-re-search-forward
           9   6%                    - seed7-inside-comment-p
           9   6%                     - syntax-ppss
           9   6%                        parse-partial-sexp
           5   3%                    - seed7-inside-string-p
           5   3%                     - syntax-ppss
           5   3%                        parse-partial-sexp
           2   1%                   - seed7--current-line-nth-word
           1   0%                    - thing-at-point
           1   0%                     - bounds-of-thing-at-point
           1   0%                        make-closure
           1   0%                   - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   0%                      seed7-inside-line-indent-before-comment-p
           5   3%                - seed7-re-search-backward
           4   3%                 - seed7-inside-comment-p
           4   3%                  - syntax-ppss
           4   3%                     parse-partial-sexp
           1   0%                   re-search-backward
           1   0%                - seed7-calc-indent
           1   0%                 - seed7-line-inside-assign-statement-continuation
           1   0%                  - seed7-assign-op-pos
           1   0%                   - seed7-re-search-backward
           1   0%                      re-search-backward
          12   9%              - seed7-comment-column
          12   9%               - seed7-calc-indent
           3   2%                - seed7-line-inside-parens-pair-column
           3   2%                 - seed7-line-inside-parens-pair
           3   2%                  - seed7-re-search-backward
           3   2%                   - seed7-inside-comment-p
           3   2%                    - syntax-ppss
           3   2%                       parse-partial-sexp
           3   2%                - seed7-line-starts-with-open-paren-after-logic-operator
           3   2%                 - seed7-move-to-line
           3   2%                  - seed7-to-previous-non-empty-line
           3   2%                   - seed7-inside-comment-p
           3   2%                    - syntax-ppss
           3   2%                       parse-partial-sexp
           3   2%                - seed7-line-after-func-return-logic-operator-column
           3   2%                 - seed7-move-to-line
           3   2%                  - seed7-to-previous-non-empty-line
           3   2%                   - seed7-inside-comment-p
           3   2%                    - syntax-ppss
           3   2%                       parse-partial-sexp
           2   1%                - seed7-line-is-defun-end
           2   1%                 - seed7-move-to-line
           2   1%                  - seed7-to-previous-non-empty-line
           2   1%                   - seed7-inside-comment-p
           2   1%                    - syntax-ppss
           2   1%                       parse-partial-sexp
           1   0%                - seed7-line-at-endof-set-definition-block
           1   0%                 - seed7-move-to-line
           1   0%                  - seed7-to-previous-non-empty-line
           1   0%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           2   1%              - seed7-line-inside-logic-check-expression
           1   0%               - seed7-re-search-forward
           1   0%                - seed7-inside-string-p
           1   0%                 - syntax-ppss
           1   0%                    parse-partial-sexp
           1   0%               - seed7-to-previous-line-starts-with
           1   0%                - seed7-re-search-backward
           1   0%                 - seed7-inside-comment-p
           1   0%                  - syntax-ppss
           1   0%                     parse-partial-sexp
           2   1%              - seed7--current-line-nth-word
           2   1%               - thing-at-point
           2   1%                - bounds-of-thing-at-point
           2   1%                 - #<byte-code-function 15D>
           2   1%                  - forward-thing
           2   1%                   - forward-word
           2   1%                    - internal--syntax-propertize
           1   0%                     - syntax-propertize
           1   0%                        seed7-mode-syntax-propertize
           1   0%              - seed7-line-inside-assign-statement-continuation
           1   0%               - seed7-assign-op-pos
           1   0%                - seed7-re-search-backward
           1   0%                 - run-with-timer
