         112  70% - ...
         112  70%  - call-interactively
         112  70%   - apply
         112  70%    - call-interactively@ido-cr+-record-current-command
         112  70%     - #<primitive-function call-interactively>
         112  70%      - funcall-interactively
         105  66%       - pel-profile-all
         105  66%        - pel-profile-dir
         105  66%         - pel-profile-indent
         105  66%          - pel-profile-indentation-test-of
         105  66%           - call-interactively
         105  66%            - apply
         105  66%             - call-interactively@ido-cr+-record-current-command
         105  66%              - #<primitive-function call-interactively>
         105  66%               - funcall-interactively
         105  66%                - seed7-complete-statement-or-indent
         105  66%                 - seed7-indent-region
         105  66%                  - seed7--indent-one-line
         105  66%                   - seed7-calc-indent
          38  24%                    - seed7-line-inside-parens-pair-column
          38  24%                     - seed7-line-inside-parens-pair
          38  24%                      - seed7-re-search-backward
          20  12%                       - run-with-timer
          20  12%                        - run-at-time
          10   6%                         - timer-activate
          10   6%                          - timer--activate
          10   6%                           - timer--time-less-p
           1   0%                              timer--time
           5   3%                           timer-relative-time
           5   3%                         - timer-set-time
           5   3%                            timer--time-setter
          10   6%                       - seed7-inside-string-p
          10   6%                        - syntax-ppss
          10   6%                           parse-partial-sexp
           8   5%                       - seed7-inside-comment-p
           8   5%                        - syntax-ppss
           8   5%                           parse-partial-sexp
          24  15%                    - seed7--indent-search-boundary
          24  15%                     - seed7--indent-search-boundary-uncached
          23  14%                      - syntax-ppss
          23  14%                         parse-partial-sexp
          11   6%                    - seed7-line-inside-a-block-cached
          11   6%                     - seed7-line-inside-a-block
           7   4%                      - seed7--safe-enclosing-block-bounds
           7   4%                       - seed7--block-end-pos-for
           6   3%                        - seed7-to-block-forward
           3   1%                         - seed7-end-of-defun
           3   1%                          - seed7-top-block-name
           2   1%                           - seed7--to-top
           2   1%                            - seed7-re-search-backward
           2   1%                             - seed7-inside-comment-p
           2   1%                              - syntax-ppss
           2   1%                                 parse-partial-sexp
           1   0%                           - seed7--block-name
           1   0%                              seed7-re-search-forward
           3   1%                         - seed7-re-search-forward
           2   1%                          - seed7-inside-comment-p
           2   1%                           - syntax-ppss
           2   1%                              parse-partial-sexp
           1   0%                        - seed7--line-ends-a-statement-p
           1   0%                           looking-at
           3   1%                      - seed7-re-search-backward
           2   1%                       - seed7-inside-comment-p
           2   1%                        - syntax-ppss
           2   1%                           parse-partial-sexp
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-set-time
           1   0%                            timer--time-setter
           1   0%                      - seed7-calc-indent
           1   0%                         seed7-line-starts-with
           9   5%                    - seed7-line-inside-assign-statement-continuation
           7   4%                     - seed7-assign-op-pos
           7   4%                      - seed7-re-search-backward
           4   2%                       - run-with-timer
           4   2%                        - run-at-time
           2   1%                         - timer-activate
           2   1%                          - timer--activate
           2   1%                             timer--time-less-p
           1   0%                           timer-relative-time
           1   0%                         - timer-set-time
           1   0%                            timer--time-setter
           2   1%                       - seed7-inside-comment-p
           2   1%                        - syntax-ppss
           2   1%                           parse-partial-sexp
           1   0%                         re-search-backward
           1   0%                     - seed7-statement-end-pos
           1   0%                      - seed7-forward-char-pos
           1   0%                       - seed7-re-search-forward
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           7   4%                    - seed7-comment-column
           4   2%                     - seed7-calc-indent
           1   0%                      - seed7-line-inside-parens-pair-column
           1   0%                       - seed7-line-inside-parens-pair
           1   0%                        - seed7-re-search-backward
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                      - seed7-line-at-endof-set-definition-block
           1   0%                       - seed7-move-to-line
           1   0%                        - seed7-to-previous-non-empty-line
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                      - seed7-line-after-short-func-end
           1   0%                       - seed7-move-to-line
           1   0%                        - seed7-to-previous-non-empty-line
           1   0%                           seed7-inside-comment-p
           1   0%                      - seed7-line-inside-array-definition-block
           1   0%                       - seed7-re-search-backward
           1   0%                          re-search-backward
           3   1%                     - seed7-line-code-ends-with
           2   1%                      - seed7-move-to-line
           2   1%                       - seed7-to-previous-non-empty-line
           2   1%                        - seed7-inside-comment-p
           2   1%                         - syntax-ppss
           2   1%                            parse-partial-sexp
           1   0%                      - seed7-re-search-backward
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           7   4%                    - seed7-line-is-defun-end
           3   1%                     - seed7-beg-of-defun
           2   1%                      - seed7-re-search-backward-closest
           2   1%                       - seed7-re-search-backward
           2   1%                        - run-with-timer
           2   1%                         - run-at-time
           2   1%                          - timer-activate
           2   1%                           - timer--activate
           2   1%                              timer--time-less-p
           1   0%                      - seed7-top-block-name
           1   0%                       - seed7--block-name
           1   0%                          seed7-re-search-forward
           2   1%                     - seed7-line-starts-with-any
           2   1%                        seed7-line-starts-with
           2   1%                     - seed7-end-of-defun
           1   0%                      - seed7-top-block-name
           1   0%                       - seed7--to-top
           1   0%                        - seed7-re-search-backward
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-set-time
           1   0%                              timer--time-setter
           1   0%                      - seed7-re-search-backward
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           2   1%                    - seed7-line-inside-set-definition-block
           2   1%                     - seed7-re-search-backward
           2   1%                      - run-with-timer
           2   1%                       - run-at-time
           1   0%                        - timer-set-time
           1   0%                           timer--time-setter
           1   0%                        - timer-activate
           1   0%                         - timer--activate
           1   0%                            timer--time-less-p
           2   1%                    - seed7-line-inside-argument-list-section
           2   1%                     - seed7-re-search-backward
           2   1%                      - run-with-timer
           2   1%                       - run-at-time
           1   0%                        - timer-set-time
           1   0%                           timer--time-setter
           1   0%                        - timer-activate
           1   0%                         - timer--activate
           1   0%                            timer--time-less-p
           2   1%                    - seed7-line-inside-func-return-statement
           2   1%                     - seed7-re-search-backward
           2   1%                      - run-with-timer
           2   1%                       - run-at-time
           2   1%                        - timer-activate
           2   1%                         - timer--activate
           2   1%                          - timer--time-less-p
           1   0%                             timer--time
           1   0%                    - seed7-line-inside-array-definition-block
           1   0%                     - seed7-re-search-backward
           1   0%                      - run-with-timer
           1   0%                       - run-at-time
           1   0%                        - timer-activate
           1   0%                         - timer--activate
           1   0%                            timer--time-less-p
           1   0%                    - seed7-line-inside-until-logic-expression
           1   0%                     - seed7-re-search-backward
           1   0%                      - run-with-timer
           1   0%                       - run-at-time
           1   0%                          timer-relative-time
           1   0%                    - seed7-line-after-func-return-logic-operator-column
           1   0%                     - seed7-move-to-line
           1   0%                      - seed7-to-previous-non-empty-line
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           7   4%       - seed7-complete-statement-or-indent
           7   4%        - seed7-indent-region
           7   4%         - seed7--indent-one-line
           7   4%          - seed7-calc-indent
           5   3%           - seed7--current-line-nth-word
           5   3%            - thing-at-point
           5   3%             - bounds-of-thing-at-point
           5   3%              - #<byte-code-function 741>
           5   3%               - forward-thing
           5   3%                - forward-word
           5   3%                 - internal--syntax-propertize
           5   3%                  - syntax-propertize
           5   3%                     seed7-mode-syntax-propertize
           1   0%           - seed7-line-inside-logic-check-expression
           1   0%            - seed7-to-previous-line-starts-with
           1   0%             - seed7-re-search-backward
           1   0%              - run-with-timer
           1   0%               - run-at-time
           1   0%                - timer-activate
           1   0%                 - timer--activate
           1   0%                    timer--time-less-p
           1   0%           - seed7-line-inside-until-logic-expression
           1   0%            - seed7-re-search-backward
           1   0%             - run-with-timer
           1   0%              - run-at-time
           1   0%               - timer-activate
           1   0%                - timer--activate
           1   0%                   timer--time-less-p
          46  29%   Automatic GC
