        3863  90% - ...
        3863  90%  - pel-profile-indentation-test-of
        3863  90%   - call-interactively
        3863  90%    - apply
        3863  90%     - call-interactively@ido-cr+-record-current-command
        3863  90%      - #<primitive-function call-interactively>
        3863  90%       - funcall-interactively
        3849  90%        - pel-profile-all
        3849  90%         - pel-profile-dir
        3849  90%          - pel-profile-indent
        3849  90%           - pel-profile-indentation-test-of
        3849  90%            - call-interactively
        3849  90%             - apply
        3849  90%              - call-interactively@ido-cr+-record-current-command
        3849  90%               - #<primitive-function call-interactively>
        3849  90%                - funcall-interactively
        3849  90%                 - seed7-complete-statement-or-indent
        3849  90%                  - seed7-indent-region
        3849  90%                   - seed7--indent-one-line
        3849  90%                    - seed7-calc-indent
        1323  31%                     - seed7--indent-search-boundary
        1322  31%                      - seed7--indent-search-boundary-uncached
        1310  30%                       - syntax-ppss
        1304  30%                          parse-partial-sexp
           2   0%                          syntax-ppss--data
           2   0%                          #<byte-code-function DD3>
           1   0%                          syntax-propertize
           1   0%                          set-syntax-table
           4   0%                         seed7-to-indent
        1088  25%                     - seed7-line-inside-parens-pair-column
        1088  25%                      - seed7-line-inside-parens-pair
        1055  24%                       - seed7-re-search-backward
         535  12%                        - run-with-timer
         535  12%                         - run-at-time
         365   8%                          - timer-activate
         365   8%                           - timer--activate
         365   8%                              timer--time-less-p
         147   3%                          - timer-set-time
         147   3%                             timer--time-setter
          22   0%                            timer-relative-time
           1   0%                          - timer-set-function
           1   0%                             timerp
         484  11%                        - seed7-inside-comment-p
         483  11%                         - syntax-ppss
         480  11%                            parse-partial-sexp
           1   0%                            #<byte-code-function C72>
           1   0%                            syntax-ppss--update-stats
          23   0%                        - seed7-inside-string-p
          20   0%                         - syntax-ppss
          17   0%                            parse-partial-sexp
           1   0%                            syntax-ppss--data
           1   0%                         - #<byte-code-function 330>
           1   0%                            set-match-data
           7   0%                          re-search-backward
           2   0%                          make-closure
           1   0%                        - #<byte-code-function 8E3>
           1   0%                         - cancel-timer
           1   0%                            timerp
           9   0%                       - forward-sexp
           9   0%                          seed7--forward-sexp-function
           7   0%                       - seed7-line-inside-syntax-parens-pair
           7   0%                        - syntax-ppss
           7   0%                           parse-partial-sexp
         664  15%                     - seed7-comment-column
         659  15%                      - seed7-calc-indent
         537  12%                       - seed7--indent-search-boundary
         537  12%                        - seed7--indent-search-boundary-uncached
         534  12%                         - syntax-ppss
         532  12%                            parse-partial-sexp
           1   0%                            #<byte-code-function 61A>
          76   1%                       - seed7-line-inside-parens-pair-column
          76   1%                        - seed7-line-inside-parens-pair
          73   1%                         - seed7-re-search-backward
          38   0%                          - run-with-timer
          38   0%                           - run-at-time
          22   0%                            - timer-activate
          22   0%                             - timer--activate
          22   0%                                timer--time-less-p
          14   0%                            - timer-set-time
          13   0%                               timer--time-setter
           2   0%                              timer-relative-time
          33   0%                          - seed7-inside-comment-p
          33   0%                           - syntax-ppss
          33   0%                              parse-partial-sexp
           1   0%                          - seed7-inside-string-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                            re-search-backward
           1   0%                         - seed7-line-inside-syntax-parens-pair
           1   0%                          - syntax-ppss
           1   0%                             make-closure
           1   0%                         - forward-sexp
           1   0%                            seed7--forward-sexp-function
          17   0%                       - seed7-line-is-defun-end
          12   0%                        - seed7-end-of-defun
           8   0%                         - seed7-top-block-name
           8   0%                          - seed7--to-top
           8   0%                           - seed7-re-search-backward
           7   0%                            - seed7-inside-comment-p
           7   0%                             - syntax-ppss
           7   0%                                parse-partial-sexp
           1   0%                            - run-with-timer
           1   0%                             - run-at-time
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
           2   0%                         - seed7-re-search-forward
           1   0%                          - internal--syntax-propertize
           1   0%                           - syntax-propertize
           1   0%                              seed7-mode-syntax-propertize
           2   0%                         - seed7-re-search-backward
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           3   0%                        - seed7-move-to-line
           3   0%                         - seed7-to-previous-non-empty-line
           3   0%                          - seed7-inside-comment-p
           3   0%                           - syntax-ppss
           3   0%                              parse-partial-sexp
           2   0%                        - seed7-beg-of-defun
           1   0%                         - seed7-re-search-backward-closest
           1   0%                          - seed7-re-search-backward
           1   0%                             re-search-backward
           1   0%                         - seed7-re-search-backward
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           9   0%                       - seed7-line-inside-a-block-cached
           9   0%                        - seed7-line-inside-a-block
           7   0%                         - seed7-re-search-backward
           4   0%                          - seed7-inside-comment-p
           4   0%                           - syntax-ppss
           4   0%                              parse-partial-sexp
           3   0%                          - run-with-timer
           3   0%                           - run-at-time
           3   0%                            - timer-activate
           3   0%                             - timer--activate
           3   0%                                timer--time-less-p
           2   0%                         - seed7--safe-enclosing-block-bounds
           2   0%                          - seed7--block-end-pos-for
           2   0%                           - seed7-to-block-forward
           1   0%                            - seed7--current-line-nth-word
           1   0%                             - thing-at-point
           1   0%                              - bounds-of-thing-at-point
           1   0%                               - #<byte-code-function E22>
           1   0%                                  forward-thing
           1   0%                            - seed7-re-search-forward
           1   0%                             - seed7-inside-string-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
           4   0%                       - seed7-line-inside-array-definition-block
           4   0%                        - seed7-re-search-backward
           2   0%                         - seed7-inside-comment-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-set-time
           1   0%                              timer--time-setter
           1   0%                           re-search-backward
           4   0%                       - seed7-line-inside-logic-check-expression
           3   0%                        - seed7-to-previous-line-starts-with
           3   0%                         - seed7-re-search-backward
           2   0%                          - run-with-timer
           2   0%                           - run-at-time
           1   0%                            - timer-set-time
           1   0%                               timer--time-setter
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                            re-search-backward
           1   0%                        - seed7-re-search-forward
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
