         156  74% - ...
         156  74%  - pel-profile-dir
         156  74%   - pel-profile-indent
         156  74%    - pel-profile-indentation-test-of
         156  74%     - call-interactively
         156  74%      - apply
         156  74%       - call-interactively@ido-cr+-record-current-command
         156  74%        - #<primitive-function call-interactively>
         156  74%         - funcall-interactively
         137  65%          - pel-profile-all
         137  65%           - pel-profile-dir
         137  65%            - pel-profile-indent
         137  65%             - pel-profile-indentation-test-of
         137  65%              - call-interactively
         137  65%               - apply
         137  65%                - call-interactively@ido-cr+-record-current-command
         137  65%                 - #<primitive-function call-interactively>
         137  65%                  - funcall-interactively
         137  65%                   - seed7-complete-statement-or-indent
         137  65%                    - seed7-indent-region
         137  65%                     - seed7--indent-one-line
         137  65%                      - seed7-calc-indent
          70  33%                       - seed7--indent-search-boundary
          70  33%                        - seed7--indent-search-boundary-uncached
          67  32%                         - syntax-ppss
          67  32%                            parse-partial-sexp
          28  13%                       - seed7-line-inside-nested-parens-pairs-column
          28  13%                        - seed7-line-inside-nested-parens-pairs
          28  13%                         - seed7-line-inside-parens-pair
          25  11%                          - seed7-re-search-backward
          25  11%                           - run-with-timer
          25  11%                            - run-at-time
          13   6%                             - timer-activate
          13   6%                              - timer--activate
          13   6%                                 timer--time-less-p
          11   5%                             - timer-set-time
          11   5%                                timer--time-setter
           1   0%                               timer-relative-time
           3   1%                          - seed7-line-inside-syntax-parens-pair
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                           - forward-sexp
           1   0%                              seed7--forward-sexp-function
          16   7%                       - seed7-line-inside-array-definition-block
          13   6%                        - seed7-re-search-backward
          10   4%                         - run-with-timer
          10   4%                          - run-at-time
           8   3%                           - timer-activate
           8   3%                            - timer--activate
           8   3%                               timer--time-less-p
           1   0%                           - timer-set-time
           1   0%                              timer--time-setter
           1   0%                             timer-relative-time
           2   0%                           re-search-backward
           1   0%                         - seed7-inside-string-p
           1   0%                          - syntax-ppss
           1   0%                             syntax-table
           3   1%                        - forward-sexp
           3   1%                           seed7--forward-sexp-function
           8   3%                       - seed7-line-at-endof-array-definition-block
           4   1%                        - seed7-line-code-ends-with
           4   1%                         - seed7-re-search-backward
           4   1%                          - run-with-timer
           4   1%                           - run-at-time
           3   1%                            - timer-activate
           3   1%                             - timer--activate
           3   1%                                timer--time-less-p
           1   0%                            - timer-set-time
           1   0%                               timer--time-setter
           3   1%                        - backward-sexp
           3   1%                         - forward-sexp
           3   1%                          - seed7--forward-sexp-function
           1   0%                           - seed7--at-set-definition-end-line-p
           1   0%                            - seed7-line-code-ends-with
           1   0%                             - seed7-re-search-backward
           1   0%                              - run-with-timer
           1   0%                               - run-at-time
           1   0%                                - timer-set-time
           1   0%                                   timer--time-setter
           1   0%                           - seed7--at-array-definition-end-line-p
           1   0%                            - seed7-line-code-ends-with
           1   0%                             - seed7-re-search-backward
           1   0%                              - run-with-timer
           1   0%                               - run-at-time
           1   0%                                - timer-activate
           1   0%                                 - timer--activate
           1   0%                                    timer--time-less-p
           1   0%                        - seed7-re-search-backward
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-activate
           1   0%                            - timer--activate
           1   0%                               timer--time-less-p
           7   3%                       - seed7-line-is-defun-end
           7   3%                        - seed7-beg-of-defun
           5   2%                         - seed7-re-search-backward-closest
           5   2%                          - seed7-re-search-backward
           3   1%                           - run-with-timer
           3   1%                            - run-at-time
           2   0%                             - timer-activate
           2   0%                              - timer--activate
           2   0%                                 timer--time-less-p
           1   0%                             - timer-set-time
           1   0%                                timer--time-setter
           2   0%                             re-search-backward
           1   0%                         - seed7-re-search-backward
           1   0%                            re-search-backward
           3   1%                       - seed7-current-line-start-inside-comment-p
           3   1%                        - seed7-inside-comment-p
           3   1%                         - syntax-ppss
           3   1%                            parse-partial-sexp
           3   1%                       - seed7-line-inside-assign-statement-continuation
           3   1%                        - seed7-assign-op-pos
           3   1%                         - seed7-re-search-backward
           3   1%                            re-search-backward
           1   0%                       - seed7-line-inside-a-block-cached
           1   0%                        - seed7-line-inside-a-block
           1   0%                         - seed7-re-search-backward
           1   0%                            re-search-backward
          19   9%          - seed7-complete-statement-or-indent
          19   9%           - seed7-indent-region
          19   9%            - seed7--indent-one-line
          19   9%             - seed7-calc-indent
          12   5%              - seed7--current-line-nth-word
          12   5%               - thing-at-point
          12   5%                - bounds-of-thing-at-point
          12   5%                 - #<byte-code-function 9AD>
          12   5%                  - forward-thing
          12   5%                   - forward-word
          12   5%                    - internal--syntax-propertize
          12   5%                     - syntax-propertize
          10   4%                        seed7-mode-syntax-propertize
           1   0%                      - #<byte-code-function 6A3>
           1   0%                       - syntax-propertize-wholelines
           1   0%                          syntax--lbp
           3   1%              - seed7-comment-column
           3   1%               - seed7-calc-indent
           1   0%                - seed7-line-inside-parens-pair-column
           1   0%                 - seed7-line-inside-parens-pair
           1   0%                  - seed7-re-search-backward
           1   0%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           1   0%                - seed7-line-inside-a-block-cached
           1   0%                 - seed7-line-inside-a-block
           1   0%                  - seed7-re-search-backward
           1   0%                   - run-with-timer
           1   0%                    - run-at-time
           1   0%                       timer-relative-time
           1   0%                - seed7-line-after-short-func-end
           1   0%                 - seed7-move-to-line
           1   0%                  - seed7-to-previous-non-empty-line
           1   0%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           2   0%              - seed7-line-inside-set-definition-block
           2   0%               - seed7-re-search-backward
           2   0%                - run-with-timer
           2   0%                 - run-at-time
           1   0%                  - timer-set-time
           1   0%                     timer--time-setter
           1   0%                  - timer-activate
           1   0%                   - timer--activate
           1   0%                      timer--time-less-p
           1   0%              - seed7-line-inside-parens-pair-column
           1   0%               - seed7-line-inside-parens-pair
           1   0%                - seed7-re-search-backward
           1   0%                 - seed7-inside-comment-p
           1   0%                  - syntax-ppss
           1   0%                     parse-partial-sexp
           1   0%              - seed7--indent-search-boundary
           1   0%               - seed7--indent-search-boundary-uncached
           1   0%                - syntax-ppss
           1   0%                   syntax-ppss--data
          53  25%   Automatic GC
