      6,421,285  99% - ...
      6,421,285  99%  - #<primitive-function call-interactively>
      6,421,285  99%   - funcall-interactively
      6,421,285  99%    - smex
      6,421,285  99%     - smex-read-and-run
      6,421,285  99%      - execute-extended-command
      6,421,285  99%       - command-execute
      6,421,285  99%        - call-interactively
      6,421,285  99%         - apply
      6,421,285  99%          - call-interactively@ido-cr+-record-current-command
      6,421,285  99%           - #<primitive-function call-interactively>
      6,421,285  99%            - funcall-interactively
      6,421,285  99%             - pel-profile-all
      6,421,285  99%              - pel-profile-dir
      6,421,285  99%               - pel-profile-indent
      6,421,285  99%                - pel-profile-indentation-test-of
      4,860,201  75%                 - call-interactively
      4,860,201  75%                  - apply
      4,860,201  75%                   - call-interactively@ido-cr+-record-current-command
      4,860,201  75%                    - #<primitive-function call-interactively>
      4,860,201  75%                     - funcall-interactively
      4,860,185  75%                      - seed7-complete-statement-or-indent
      4,860,185  75%                       - seed7-indent-region
      4,860,185  75%                        - seed7--indent-one-line
      4,860,185  75%                         - seed7-calc-indent
        816,783  12%                          - seed7-line-inside-a-block-cached
        816,783  12%                           - seed7-line-inside-a-block
        468,047   7%                            - seed7--safe-enclosing-block-bounds
        468,047   7%                             - seed7--block-end-pos-for
        417,887   6%                              - seed7-to-block-forward
        215,167   3%                               - seed7-end-of-defun
        147,463   2%                                - seed7-top-block-name
        124,408   1%                                 - seed7--to-top
         97,304   1%                                  - seed7-re-search-backward
         88,088   1%                                   - run-with-timer
         88,088   1%                                    - run-at-time
         42,952   0%                                     - timer-activate
         42,952   0%                                      - timer--activate
         42,952   0%                                         timer--time-less-p
         27,664   0%                                       timer-relative-time
         17,472   0%                                     - timer-set-time
         17,472   0%                                        timer--time-setter
          7,168   0%                                     re-search-backward
          2,048   0%                                   - seed7-inside-comment-p
          2,048   0%                                    - syntax-ppss
          2,048   0%                                     - syntax-propertize
          2,048   0%                                        seed7-mode-syntax-propertize
         27,104   0%                                  - run-with-timer
         27,104   0%                                   - run-at-time
         13,216   0%                                    - timer-activate
         13,216   0%                                     - timer--activate
         13,216   0%                                        timer--time-less-p
          8,512   0%                                      timer-relative-time
          5,376   0%                                    - timer-set-time
          5,376   0%                                       timer--time-setter
