          83  83% - ...
          83  83%  - pel-profile-indentation-test-of
          83  83%   - call-interactively
          83  83%    - apply
          83  83%     - call-interactively@ido-cr+-record-current-command
          83  83%      - #<primitive-function call-interactively>
          83  83%       - funcall-interactively
          74  74%        - pel-profile-all
          74  74%         - pel-profile-dir
          74  74%          - pel-profile-indent
          74  74%           - pel-profile-indentation-test-of
          74  74%            - call-interactively
          74  74%             - apply
          74  74%              - call-interactively@ido-cr+-record-current-command
          74  74%               - #<primitive-function call-interactively>
          74  74%                - funcall-interactively
          74  74%                 - seed7-complete-statement-or-indent
          74  74%                  - seed7-indent-region
          74  74%                   - seed7--indent-one-line
          73  73%                    - seed7-calc-indent
          31  31%                     - seed7--indent-search-boundary
          31  31%                      - seed7--indent-search-boundary-uncached
          30  30%                       - syntax-ppss
          29  29%                          parse-partial-sexp
           1   1%                          make-closure
          22  22%                     - seed7-line-inside-a-block-cached
          22  22%                      - seed7-line-inside-a-block
          15  15%                       - seed7--safe-enclosing-block-bounds
          15  15%                        - seed7--block-end-pos-for
          14  14%                         - seed7-to-block-forward
          11  11%                          - seed7-re-search-forward
           9   9%                           - seed7-inside-string-p
           9   9%                            - syntax-ppss
           9   9%                               parse-partial-sexp
           2   2%                           - seed7-inside-comment-p
           2   2%                            - syntax-ppss
           2   2%                               parse-partial-sexp
           1   1%                          - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   1%                           - seed7-inside-comment-p
           1   1%                            - syntax-ppss
           1   1%                               parse-partial-sexp
           1   1%                          - seed7-inside-line-indent-before-comment-p
           1   1%                             seed7-to-indent
           1   1%                          - seed7-inside-comment-p
           1   1%                           - syntax-ppss
           1   1%                              parse-partial-sexp
           6   6%                       - seed7-re-search-backward
           6   6%                        - seed7-inside-comment-p
           6   6%                         - syntax-ppss
           5   5%                            parse-partial-sexp
           1   1%                            make-closure
           1   1%                       - seed7-calc-indent
           1   1%                        - seed7-line-is-defun-end
           1   1%                         - seed7-line-starts-with-any
           1   1%                            seed7-line-starts-with
           7   7%                     - seed7-comment-column
           4   4%                      - seed7-calc-indent
           2   2%                       - seed7-line-starts-with-open-paren-after-logic-operator
           2   2%                        - seed7-move-to-line
           2   2%                         - seed7-to-previous-non-empty-line
           2   2%                          - seed7-inside-comment-p
           2   2%                           - syntax-ppss
           2   2%                              parse-partial-sexp
           1   1%                       - seed7-line-inside-parens-pair-column
           1   1%                        - seed7-line-inside-parens-pair
           1   1%                         - seed7-re-search-backward
           1   1%                          - seed7-inside-comment-p
           1   1%                           - syntax-ppss
           1   1%                              parse-partial-sexp
