     32,687,228  99% - ...
     32,687,228  99%  - #<primitive-function call-interactively>
     32,687,228  99%   - funcall-interactively
     32,687,228  99%    - smex
     32,687,228  99%     - smex-read-and-run
     32,687,228  99%      - execute-extended-command
     32,687,228  99%       - command-execute
     32,687,228  99%        - call-interactively
     32,687,228  99%         - apply
     32,687,228  99%          - call-interactively@ido-cr+-record-current-command
     32,687,228  99%           - #<primitive-function call-interactively>
     32,687,228  99%            - funcall-interactively
     32,687,228  99%             - pel-profile-all
     32,687,228  99%              - pel-profile-dir
     32,687,228  99%               - pel-profile-indent
     32,687,228  99%                - pel-profile-indentation-test-of
     31,117,696  94%                 - call-interactively
     31,117,696  94%                  - apply
     31,117,696  94%                   - call-interactively@ido-cr+-record-current-command
     31,117,696  94%                    - #<primitive-function call-interactively>
     31,117,696  94%                     - funcall-interactively
     31,117,680  94%                      - seed7-complete-statement-or-indent
     31,117,680  94%                       - seed7-indent-region
     31,117,680  94%                        - seed7--indent-one-line
     31,117,680  94%                         - seed7-calc-indent
     14,335,471  43%                          - seed7-line-is-defun-end
     10,110,559  30%                           - seed7-end-of-defun
      8,991,000  27%                            - seed7-top-block-name
      8,967,520  27%                             - seed7--to-top
      8,729,392  26%                              - seed7-re-search-backward
      8,729,392  26%                               - run-with-timer
      8,729,392  26%                                - run-at-time
      4,256,496  12%                                 - timer-activate
      4,256,496  12%                                  - timer--activate
      4,256,496  12%                                     timer--time-less-p
      2,741,440   8%                                   timer-relative-time
      1,731,456   5%                                 - timer-set-time
      1,731,456   5%                                    timer--time-setter
        238,128   0%                              - run-with-timer
        238,128   0%                               - run-at-time
        116,112   0%                                - timer-activate
        116,112   0%                                 - timer--activate
        116,112   0%                                    timer--time-less-p
         74,784   0%                                  timer-relative-time
         47,232   0%                                - timer-set-time
         47,232   0%                                   timer--time-setter
         23,480   0%                             - seed7--block-name
         15,296   0%                                match-string
        399,761   1%                            - seed7-re-search-forward
        230,929   0%                             - seed7-inside-comment-p
        230,929   0%                              - syntax-ppss
        230,929   0%                               - syntax-propertize
        230,929   0%                                  seed7-mode-syntax-propertize
        238,128   0%                            - seed7-re-search-backward
        238,128   0%                             - run-with-timer
        238,128   0%                              - run-at-time
        116,112   0%                               - timer-activate
        116,112   0%                                - timer--activate
        116,112   0%                                   timer--time-less-p
         74,784   0%                                 timer-relative-time
         47,232   0%                               - timer-set-time
         47,232   0%                                  timer--time-setter
        130,944   0%                              match-string-no-properties
        106,112   0%                              match-string
      2,219,645   6%                           - seed7-beg-of-defun
        712,503   2%                            - seed7-re-search-backward
        472,384   1%                             - run-with-timer
        472,384   1%                              - run-at-time
        230,336   0%                               - timer-activate
        230,336   0%                                - timer--activate
        230,336   0%                                   timer--time-less-p
        148,352   0%                                 timer-relative-time
         93,696   0%                               - timer-set-time
         93,696   0%                                  timer--time-setter
        240,119   0%                               re-search-backward
        470,811   1%                            - seed7-top-block-name
        247,813   0%                             - seed7--to-top
        168,437   0%                              - seed7-re-search-backward
         89,061   0%                                 re-search-backward
         79,376   0%                               - run-with-timer
         79,376   0%                                - run-at-time
         38,704   0%                                 - timer-activate
         38,704   0%                                  - timer--activate
         38,704   0%                                     timer--time-less-p
         24,928   0%                                   timer-relative-time
         15,744   0%                                 - timer-set-time
         15,744   0%                                    timer--time-setter
         79,376   0%                              - run-with-timer
         79,376   0%                               - run-at-time
         38,704   0%                                - timer-activate
         38,704   0%                                 - timer--activate
         38,704   0%                                    timer--time-less-p
         24,928   0%                                  timer-relative-time
         15,744   0%                                - timer-set-time
         15,744   0%                                   timer--time-setter
        222,998   0%                             - seed7--block-name
        222,998   0%                                seed7-re-search-forward
        435,677   1%                            - seed7-re-search-backward-closest
        435,677   1%                             - seed7-re-search-backward
        265,309   0%                                re-search-backward
        170,368   0%                              - run-with-timer
        170,368   0%                               - run-at-time
