    892,999,435  99% - ...
    892,999,435  99%  - #<primitive-function call-interactively>
    892,999,435  99%   - funcall-interactively
    892,999,435  99%    - smex
    892,999,435  99%     - smex-read-and-run
    892,999,435  99%      - execute-extended-command
    892,999,435  99%       - command-execute
    892,999,435  99%        - call-interactively
    892,999,435  99%         - apply
    892,999,435  99%          - call-interactively@ido-cr+-record-current-command
    892,999,435  99%           - #<primitive-function call-interactively>
    892,999,435  99%            - funcall-interactively
    892,999,435  99%             - pel-profile-all
    892,999,435  99%              - pel-profile-dir
    892,999,435  99%               - pel-profile-indent
    892,999,435  99%                - pel-profile-indentation-test-of
    891,396,111  99%                 - call-interactively
    891,396,111  99%                  - apply
    891,396,111  99%                   - call-interactively@ido-cr+-record-current-command
    891,396,111  99%                    - #<primitive-function call-interactively>
    891,396,111  99%                     - funcall-interactively
    891,396,095  99%                      - seed7-complete-statement-or-indent
    891,396,095  99%                       - seed7-indent-region
    891,396,095  99%                        - seed7--indent-one-line
    891,244,710  99%                         - seed7-calc-indent
    245,856,157  27%                          - seed7-line-is-defun-end
    131,190,913  14%                           - seed7-end-of-defun
    112,612,175  12%                            - seed7-top-block-name
    112,348,399  12%                             - seed7--to-top
    110,927,983  12%                              - seed7-re-search-backward
    101,793,600  11%                               - run-with-timer
    101,793,600  11%                                - run-at-time
     49,741,488   5%                                 - timer-activate
     49,741,488   5%                                  - timer--activate
     49,741,488   5%                                     timer--time-less-p
     30,528,800   3%                                   timer-relative-time
     19,878,144   2%                                 - timer-set-time
     19,878,144   2%                                    timer--time-setter
      1,645,168   0%                                   timer-create
      5,988,080   0%                               - seed7-inside-string-p
        803,936   0%                                - syntax-ppss
        803,936   0%                                   make-closure
      1,915,535   0%                               - seed7-inside-comment-p
        867,103   0%                                - syntax-ppss
        799,792   0%                                   make-closure
         67,311   0%                                 - syntax-propertize
         67,311   0%                                    seed7-mode-syntax-propertize
      1,230,768   0%                                 make-closure
      1,403,840   0%                              - run-with-timer
      1,403,840   0%                               - run-at-time
        684,928   0%                                - timer-activate
        684,928   0%                                 - timer--activate
        684,928   0%                                    timer--time-less-p
        430,464   0%                                  timer-relative-time
        271,872   0%                                - timer-set-time
        271,872   0%                                   timer--time-setter
         16,576   0%                                  timer-create
         16,576   0%                                make-closure
        251,344   0%                             - seed7--block-name
        132,608   0%                              - seed7-re-search-forward
        128,464   0%                               - seed7-inside-string-p
         24,864   0%                                - syntax-ppss
         24,864   0%                                   make-closure
          4,144   0%                                 seed7-inside-comment-p
         69,424   0%                                match-string
      9,283,371   1%                            - seed7-re-search-forward
      4,156,432   0%                             - seed7-inside-string-p
        737,632   0%                              - syntax-ppss
        737,632   0%                                 make-closure
      3,921,335   0%                             - seed7-inside-comment-p
      3,167,127   0%                              - syntax-ppss
      2,499,943   0%                               - syntax-propertize
      1,737,447   0%                                  seed7-mode-syntax-propertize
        667,184   0%                                 make-closure
        282,236   0%                             - internal--syntax-propertize
        282,236   0%                              - syntax-propertize
        282,236   0%                                 seed7-mode-syntax-propertize
      4,419,360   0%                              match-string-no-properties
      2,134,552   0%                              match-string
      1,569,600   0%                            - seed7-re-search-backward
      1,416,272   0%                             - run-with-timer
      1,416,272   0%                              - run-at-time
        709,792   0%                               - timer-activate
        709,792   0%                                - timer--activate
        709,792   0%                                   timer--time-less-p
        430,464   0%                                 timer-relative-time
        271,872   0%                               - timer-set-time
        271,872   0%                                  timer--time-setter
          4,144   0%                                 timer-create
        120,176   0%                             - seed7-inside-string-p
          8,288   0%                              - syntax-ppss
          8,288   0%                                 make-closure
         20,720   0%                               make-closure
         12,432   0%                             - seed7-inside-comment-p
          8,288   0%                              - syntax-ppss
          8,288   0%                                 make-closure
         16,368   0%                              seed7--no-defun-found-msg-for
          8,184   0%                            - user-error
          8,184   0%                               format-message
     58,845,243   6%                           - seed7-beg-of-defun
     45,889,639   5%                            - seed7-re-search-backward
     43,166,353   4%                             - run-with-timer
     43,166,353   4%                              - run-at-time
     21,092,608   2%                               - timer-activate
     21,092,608   2%                                - timer--activate
     21,092,608   2%                                   timer--time-less-p
     13,339,488   1%                                 timer-relative-time
      8,495,408   0%                               - timer-set-time
      8,495,408   0%                                  timer--time-setter
        236,208   0%                                 timer-create
          2,641   0%                                 timer-set-function
      1,335,863   0%                               re-search-backward
        895,104   0%                             - seed7-inside-string-p
        190,624   0%                              - syntax-ppss
        190,624   0%                                 make-closure
        319,862   0%                             - seed7-inside-comment-p
        190,753   0%                              - syntax-ppss
        190,624   0%                                 make-closure
            129   0%                                 syntax-table
        172,457   0%                               make-closure
      3,142,656   0%                              match-string-no-properties
      2,780,534   0%                            - seed7-top-block-name
      1,479,253   0%                             - seed7--to-top
      1,030,133   0%                              - seed7-re-search-backward
        572,725   0%                                 re-search-backward
        428,400   0%                               - run-with-timer
        428,400   0%                                - run-at-time
        208,992   0%                                 - timer-activate
        208,992   0%                                  - timer--activate
        208,992   0%                                     timer--time-less-p
        131,936   0%                                   timer-relative-time
         87,472   0%                                 - timer-set-time
         87,472   0%                                    timer--time-setter
         20,720   0%                                 seed7-inside-string-p
          4,144   0%                                 seed7-inside-comment-p
          4,144   0%                                 make-closure
        432,544   0%                              - run-with-timer
        432,544   0%                               - run-at-time
        208,992   0%                                - timer-activate
        208,992   0%                                 - timer--activate
        208,992   0%                                    timer--time-less-p
        131,936   0%                                  timer-relative-time
         87,472   0%                                - timer-set-time
         87,472   0%                                   timer--time-setter
          4,144   0%                                  timer-create
         16,576   0%                                make-closure
      1,301,281   0%                             - seed7--block-name
      1,280,769   0%                              - seed7-re-search-forward
         12,432   0%                                 seed7-inside-string-p
          8,184   0%                                match-string
      2,644,696   0%                            - seed7-re-search-backward-closest
      2,619,832   0%                             - seed7-re-search-backward
      1,671,800   0%                                re-search-backward
        910,736   0%                              - run-with-timer
        910,736   0%                               - run-at-time
        438,016   0%                                - timer-activate
        438,016   0%                                 - timer--activate
        438,016   0%                                    timer--time-less-p
        282,112   0%                                  timer-relative-time
        178,176   0%                                - timer-set-time
        178,176   0%                                   timer--time-setter
         12,432   0%                                  timer-create
         12,432   0%                                seed7-inside-string-p
         12,432   0%                                make-closure
         12,432   0%                              - seed7-inside-comment-p
          4,144   0%                               - syntax-ppss
          4,144   0%                                  make-closure
          8,288   0%                             - seq-filter
          8,288   0%                                make-closure
        828,568   0%                              match-string
     25,975,298   2%                             looking-back
     17,846,314   1%                           - seed7-line-starts-with-any
     17,846,314   1%                              seed7-line-starts-with
      8,128,815   0%                           - seed7-move-to-line
      8,128,815   0%                            - seed7-to-previous-non-empty-line
         53,039   0%                             - seed7-inside-comment-p
         36,463   0%                              - syntax-ppss
         33,152   0%                                 make-closure
          2,505   0%                                 #<byte-code-function 74B>
      2,496,720   0%                           - seed7--current-line-nth-word
      2,409,696   0%                            - thing-at-point
      2,027,696   0%                             - bounds-of-thing-at-point
        597,432   0%                              - #<byte-code-function F08>
        597,432   0%                               - forward-thing
        597,432   0%                                  format
        509,712   0%                                make-closure
        482,856   0%                              - #<byte-code-function E4A>
        482,856   0%                               - forward-thing
        482,856   0%                                  format
        222,208   0%                                re-search-forward
         82,880   0%                              - seq-some
         82,880   0%                                 make-closure
        912,799   0%                           - seed7--safe-current-line-defun-start-indent
        904,511   0%                            - seed7-to-block-backward
        748,447   0%                             - seed7-re-search-backward
        398,392   0%                              - run-with-timer
        398,392   0%                               - run-at-time
        194,360   0%                                - timer-activate
        194,360   0%                                 - timer--activate
        194,360   0%                                    timer--time-less-p
        122,512   0%                                  timer-relative-time
         77,376   0%                                - timer-set-time
         77,376   0%                                   timer--time-setter
          4,144   0%                                  timer-create
        337,623   0%                                re-search-backward
         12,432   0%                              - seed7-inside-string-p
          4,144   0%                               - syntax-ppss
          4,144   0%                                  make-closure
        139,488   0%                             - seed7--current-line-nth-word
        127,056   0%                              - thing-at-point
         86,192   0%                               - bounds-of-thing-at-point
         57,288   0%                                - #<byte-code-function D66>
         57,288   0%                                 - forward-thing
         57,288   0%                                    format
         16,576   0%                                  make-closure
          8,184   0%                                - #<byte-code-function 781>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
          4,144   0%                                - seq-some
          4,144   0%                                   make-closure
         12,432   0%                               seed7-inside-line-indent-before-comment-p
          4,144   0%                               seed7-inside-comment-p
          4,144   0%                              seed7-current-line-indent
        306,727   0%                           - seed7--indent-search-boundary-uncached
        306,727   0%                            - syntax-ppss
        306,656   0%                               make-closure
             71   0%                               #<byte-code-function F67>
    204,017,892  22%                          - seed7-line-inside-parens-pair-column
    204,017,892  22%                           - seed7-line-inside-parens-pair
    192,390,130  21%                            - seed7-re-search-backward
    166,805,456  18%                             - run-with-timer
    166,805,456  18%                              - run-at-time
     81,284,218   9%                               - timer-activate
     81,284,218   9%                                - timer--activate
     81,284,218   9%                                 - timer--time-less-p
            741   0%                                    timer--time
     49,683,056   5%                                 timer-relative-time
     31,938,192   3%                               - timer-set-time
     31,938,192   3%                                  timer--time-setter
      3,899,504   0%                                 timer-create
            486   0%                                 timer-set-function
      9,856,981   1%                             - seed7-inside-string-p
      2,646,421   0%                              - syntax-ppss
      2,643,872   0%                                 make-closure
      7,780,896   0%                               re-search-backward
      5,521,660   0%                             - seed7-inside-comment-p
      3,296,332   0%                              - syntax-ppss
      3,294,480   0%                                 make-closure
            810   0%                                 syntax-table
             77   0%                                 #<byte-code-function B65>
      2,425,137   0%                               make-closure
     10,904,786   1%                            - forward-sexp
     10,902,520   1%                               seed7--forward-sexp-function
        689,824   0%                            - seed7-line-inside-syntax-parens-pair
        606,944   0%                             - forward-sexp
        606,944   0%                                seed7--forward-sexp-function
         49,728   0%                             - syntax-ppss
         49,728   0%                                make-closure
    195,035,527  21%                          - seed7-line-inside-a-block-cached
    194,981,655  21%                           - seed7-line-inside-a-block
    139,608,436  15%                            - seed7--safe-enclosing-block-bounds
    139,438,532  15%                             - seed7--block-end-pos-for
    137,280,452  15%                              - seed7-to-block-forward
     87,719,392   9%                               - seed7-end-of-defun
     83,823,669   9%                                - seed7-top-block-name
     83,021,856   9%                                 - seed7--to-top
     81,745,248   9%                                  - seed7-re-search-backward
     80,685,574   8%                                   - run-with-timer
     80,685,574   8%                                    - run-at-time
     39,361,605   4%                                     - timer-activate
     39,361,605   4%                                      - timer--activate
     39,361,605   4%                                       - timer--time-less-p
            165   0%                                          timer--time
     25,204,608   2%                                       timer-relative-time
     15,953,199   1%                                     - timer-set-time
     15,951,872   1%                                        timer--time-setter
        165,760   0%                                       timer-create
            402   0%                                       timer-set-function
        545,149   0%                                   - seed7-inside-string-p
         85,165   0%                                    - syntax-ppss
         78,736   0%                                       make-closure
          4,144   0%                                     - parse-partial-sexp
          4,144   0%                                        internal--syntax-propertize
            767   0%                                       #<byte-code-function 5BF>
            485   0%                                       syntax-table
        284,233   0%                                   - seed7-inside-comment-p
        193,065   0%                                    - syntax-ppss
        106,668   0%                                     - syntax-propertize
        106,668   0%                                        seed7-mode-syntax-propertize
         82,880   0%                                       make-closure
          2,896   0%                                       #<byte-code-function E71>
            246   0%                                       syntax-table
        133,646   0%                                     re-search-backward
         95,980   0%                                     make-closure
      1,272,464   0%                                  - run-with-timer
      1,272,464   0%                                   - run-at-time
        631,280   0%                                    - timer-activate
        631,280   0%                                     - timer--activate
        631,280   0%                                        timer--time-less-p
        387,904   0%                                      timer-relative-time
        244,992   0%                                    - timer-set-time
        244,992   0%                                       timer--time-setter
          8,288   0%                                      timer-create
          4,144   0%                                    make-closure
        801,813   0%                                 - seed7--block-name
        637,205   0%                                  - seed7-re-search-forward
         58,016   0%                                     seed7-inside-string-p
          8,288   0%                                   - seed7-inside-comment-p
          8,288   0%                                    - syntax-ppss
          8,288   0%                                       make-closure
         70,440   0%                                    match-string
      1,694,175   0%                                - seed7-re-search-forward
        600,387   0%                                 - internal--syntax-propertize
        600,387   0%                                  - syntax-propertize
        592,099   0%                                     seed7-mode-syntax-propertize
        211,537   0%                                 - seed7-inside-comment-p
        207,393   0%                                  - syntax-ppss
        199,105   0%                                   - syntax-propertize
        199,105   0%                                      seed7-mode-syntax-propertize
          8,288   0%                                     make-closure
         53,872   0%                                 - seed7-inside-string-p
         12,432   0%                                  - syntax-ppss
         12,432   0%                                     make-closure
      1,342,912   0%                                - seed7-re-search-backward
      1,272,464   0%                                 - run-with-timer
      1,272,464   0%                                  - run-at-time
        614,704   0%                                   - timer-activate
        614,704   0%                                    - timer--activate
        614,704   0%                                       timer--time-less-p
        387,904   0%                                     timer-relative-time
        244,992   0%                                   - timer-set-time
        244,992   0%                                      timer--time-setter
         24,864   0%                                     timer-create
         58,016   0%                                 - seed7-inside-string-p
          8,288   0%                                  - syntax-ppss
          8,288   0%                                     make-closure
         12,432   0%                                 - seed7-inside-comment-p
          8,288   0%                                  - syntax-ppss
          8,288   0%                                     make-closure
        141,840   0%                                  match-string
     26,081,052   2%                               - seed7-re-search-forward
      7,835,553   0%                                - seed7-inside-comment-p
      7,421,153   0%                                 - syntax-ppss
      6,919,729   0%                                  - syntax-propertize
      6,820,273   0%                                     seed7-mode-syntax-propertize
        501,424   0%                                    make-closure
      2,266,768   0%                                - seed7-inside-string-p
        518,000   0%                                 - syntax-ppss
        518,000   0%                                    make-closure
     12,254,250   1%                               - seed7--current-line-nth-word
     11,660,976   1%                                - thing-at-point
      9,509,600   1%                                 - bounds-of-thing-at-point
      3,101,736   0%                                  - #<byte-code-function FAF>
      3,101,736   0%                                   - forward-thing
      3,101,736   0%                                      format
      2,764,048   0%                                    make-closure
      1,661,352   0%                                  - #<byte-code-function EB4>
      1,661,352   0%                                   - forward-thing
      1,661,352   0%                                      format
        743,680   0%                                  - seq-some
        741,776   0%                                     make-closure
          1,904   0%                                     seq-do
        211,072   0%                                    re-search-forward
      9,140,126   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        518,470   0%                                - seed7-inside-comment-p
        269,830   0%                                 - syntax-ppss
        269,360   0%                                    make-closure
            470   0%                                    syntax-table
        389,536   0%                                - seed7-inside-line-indent-before-comment-p
         16,576   0%                                 - seed7-inside-comment-p
          4,144   0%                                  - syntax-ppss
          4,144   0%                                     make-closure
        883,872   0%                                 seed7--end-regexp-for
        509,712   0%                               - seed7-inside-line-indent-before-comment-p
          8,288   0%                                - seed7-inside-comment-p
          8,288   0%                                 - syntax-ppss
          8,288   0%                                    make-closure
        464,128   0%                               - seed7-inside-comment-p
        269,360   0%                                - syntax-ppss
        269,360   0%                                   make-closure
      1,867,520   0%                              - seed7--line-ends-a-statement-p
      1,199,568   0%                                 looking-at
        663,808   0%                               - forward-sexp
        663,808   0%                                  seed7--forward-sexp-function
         63,488   0%                              - seed7-to-next-line-starts-with
         63,488   0%                                 seed7-re-search-forward
         21,632   0%                              - seed7-re-search-forward-closest
         21,632   0%                                 seed7-re-search-forward
     40,181,723   4%                            - seed7-re-search-backward
     27,214,958   3%                             - run-with-timer
     27,214,958   3%                              - run-at-time
     13,343,040   1%                               - timer-activate
     13,343,040   1%                                - timer--activate
     13,343,040   1%                                   timer--time-less-p
      8,220,160   0%                                 timer-relative-time
      5,249,790   0%                               - timer-set-time
      5,249,696   0%                                  timer--time-setter
        401,968   0%                                 timer-create
     10,836,749   1%                               re-search-backward
      1,375,808   0%                             - seed7-inside-string-p
